"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1983","-","-","-","-","-","-","-","-","-","-","-"
"2","1984","26.7","32.8","21.3","0.00","13.2","6","0","0","7","0","0"
"3","1985","27.0","32.9","21.8","0.00","13.7","9","0","0","13","0","0"
"4","1986","27.2","33.4","21.8","0.00","13.2","14","0","2","9","0","0"
"5","1987","27.3","33.7","21.9","0.00","12.5","12","0","6","10","0","0"
"6","1988","27.3","32.9","22.6","0.00","11.4","19","0","6","8","0","1"
"7","1989","26.9","32.7","21.9","-","10.9","26","0","3","17","0","0"
"8","1990","27.6","33.6","22.6","0.00","11.8","20","0","2","7","0","0"
"9","1991","27.0","32.8","22.0","-","11.0","29","0","6","21","0","0"
"10","1992","26.6","32.4","21.3","0.00","11.9","34","0","4","8","0","1"
"11","1993","27.3","33.2","22.3","-","11.8","24","0","4","17","0","0"
"12","1994","27.2","33.3","22.3","291.08","12.4","10","1","4","16","0","0"
"13","1995","27.4","33.1","22.3","-","11.4","26","1","3","14","0","0"
"14","1996","27.8","33.9","22.7","-","12.2","31","0","4","11","1","1"
"15","1997","-","-","-","-","-","-","-","-","-","-","-"
"16","1998","29.1","35.0","23.6","59.94","11.1","16","0","3","14","0","0"
"17","1999","28.6","34.9","23.1","0.00","12.5","4","0","1","19","1","0"
"18","2000","28.2","34.4","22.6","1.27","12.3","2","0","0","24","0","0"
"19","2001","-","-","-","-","-","-","-","-","-","-","-"
"20","2008","-","-","-","-","-","-","-","-","-","-","-"
"21","2009","-","-","-","-","-","-","-","-","-","-","-"
"22","2010","29.2","34.5","24.9","0.00","11.6","10","0","2","11","0","0"
"23","2011","28.7","33.7","24.7","-","12.5","13","0","2","9","0","0"
"24","2012","28.9","34.1","24.7","-","12.0","12","0","3","6","0","0"
"25","2013","28.4","33.6","24.1","19.06","12.0","18","0","3","10","0","0"
"26","2014","28.6","34.2","24.1","40.15","11.7","16","0","5","8","0","0"
"27","2015","29.4","35.2","24.8","5.59","11.8","12","0","0","13","0","0"
"28","2016","28.8","34.2","24.4","-","11.5","22","0","8","10","0","0"
"29","2017","29.4","35.1","25.0","-","11.3","26","0","6","15","0","0"
"30","2018","29.4","34.9","25.0","-","11.0","12","0","2","14","0","1"
"31","2019","-","-","-","-","-","-","-","-","-","-","-"
