"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","18.6","25.1","13.4","-","10.9","108","1","53","103","0","1"
"2","1974","18.9","25.7","13.7","-","10.1","123","0","72","117","0","1"
"3","1975","18.5","25.0","13.4","-","9.8","125","3","57","145","0","0"
"4","1976","17.3","24.0","12.0","-","11.4","120","3","51","223","0","3"
"5","1977","18.2","24.8","12.7","-","11.1","107","4","58","212","0","1"
"6","1978","18.3","24.9","12.8","-","10.1","90","2","58","247","0","0"
"7","1979","18.2","24.7","13.0","-","9.7","117","1","59","200","0","2"
"8","1980","18.6","25.1","13.3","168.40","8.5","117","4","58","227","0","1"
"9","1981","18.2","24.9","12.6","769.88","10.7","100","0","50","196","0","0"
"10","1982","19.1","25.4","14.2","992.62","9.8","127","3","59","233","0","1"
"11","1983","18.0","24.3","12.8","1177.28","10.6","120","1","39","212","0","0"
"12","1984","18.9","26.0","13.3","878.03","11.1","101","1","52","216","0","0"
"13","1985","19.1","25.7","14.0","1117.85","11.8","108","0","55","227","0","0"
"14","1986","19.7","26.5","14.3","723.88","11.3","99","1","55","210","0","0"
"15","1987","18.4","25.3","13.0","1116.12","10.6","103","0","55","197","0","1"
"16","1988","18.1","25.8","12.5","973.62","10.2","131","2","67","237","0","1"
"17","1989","19.0","26.8","13.5","1315.71","10.5","146","2","79","255","0","0"
"18","1990","20.2","28.3","14.4","848.31","11.2","107","0","61","240","0","0"
"19","1991","19.4","26.6","14.6","1230.95","11.6","135","1","86","248","0","0"
"20","1992","18.7","25.8","13.8","1296.43","10.5","129","0","79","135","0","2"
"21","1993","19.1","26.4","13.8","1373.60","10.2","111","3","62","215","0","1"
"22","1994","19.1","26.3","14.3","1971.81","10.3","143","1","85","238","0","0"
"23","1995","19.1","25.9","13.9","685.05","11.2","123","0","75","211","0","0"
"24","1996","18.0","24.6","12.7","-","10.8","102","0","63","107","0","1"
"25","1997","18.4","24.4","13.5","0.00","10.7","120","1","45","37","0","1"
"26","1998","19.8","25.9","14.9","0.00","10.5","94","0","33","29","0","0"
"27","1999","19.3","26.1","13.7","-","10.5","96","0","33","36","0","0"
"28","2000","18.9","25.7","13.3","-","10.4","88","0","30","32","0","1"
"29","2001","18.8","26.6","12.2","-","11.0","112","0","78","38","0","0"
"30","2002","-","-","-","-","-","112","1","76","43","0","0"
"31","2003","18.6","26.1","12.3","-","8.9","132","0","67","1","0","0"
"32","2004","19.2","26.5","12.7","-","9.3","117","0","32","36","0","0"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","19.9","27.0","13.8","945.33","9.1","103","0","57","32","0","0"
"35","2007","19.8","26.9","13.9","943.86","8.7","106","0","54","19","0","0"
"36","2008","19.1","26.1","13.2","1151.33","8.8","110","0","53","35","0","0"
"37","2009","19.2","25.8","13.8","1221.94","8.6","135","0","51","34","0","0"
"38","2010","18.6","25.8","12.7","920.97","7.9","48","3","7","7","0","0"
"39","2011","19.7","27.0","13.4","650.72","8.4","26","0","5","11","0","0"
"40","2012","19.9","26.8","14.3","819.65","8.0","49","0","21","17","0","0"
"41","2013","18.8","25.6","13.3","1280.42","8.5","147","0","60","37","0","0"
"42","2014","18.3","26.1","11.8","1210.31","7.5","128","11","48","32","0","0"
"43","2015","20.0","27.3","14.1","1299.44","8.5","150","2","63","43","0","0"
"44","2016","20.1","28.0","13.4","1358.13","8.7","110","1","48","30","0","0"
"45","2017","20.4","28.0","14.0","947.89","8.9","113","1","39","40","0","0"
"46","2018","19.9","27.2","14.0","1514.80","9.0","161","1","68","34","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
