"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1976","-","-","-","-","-","-","-","-","-","-","-"
"2","1977","-","-","-","-","-","-","-","-","-","-","-"
"3","1978","-","-","-","-","-","-","-","-","-","-","-"
"4","1979","-","-","-","-","-","-","-","-","-","-","-"
"5","1980","-","-","-","-","-","-","-","-","-","-","-"
"6","1981","-","-","-","-","-","-","-","-","-","-","-"
"7","1982","-","-","-","-","-","-","-","-","-","-","-"
"8","1983","-","-","-","-","-","-","-","-","-","-","-"
"9","1984","-","-","-","-","-","-","-","-","-","-","-"
"10","1985","-","-","-","-","-","-","-","-","-","-","-"
"11","1986","19.4","25.7","15.1","544.30","13.3","97","0","67","15","0","0"
"12","1987","18.6","25.1","13.6","1590.52","12.3","81","0","59","15","0","0"
"13","1988","-","-","-","-","-","-","-","-","-","-","-"
"14","1989","19.2","26.2","13.7","974.06","11.1","64","0","51","20","0","0"
"15","1990","18.6","25.5","13.7","1921.01","13.8","87","0","72","13","0","0"
"16","1991","19.2","26.6","13.8","1707.15","13.1","84","1","53","18","0","1"
"17","1992","18.4","25.5","13.2","1480.29","10.9","77","0","56","20","0","0"
"18","1993","18.7","25.8","13.4","1809.98","12.1","95","0","59","16","0","0"
"19","1994","19.3","26.5","14.0","1172.02","11.6","85","0","61","15","0","0"
"20","1995","19.1","26.5","13.3","941.62","11.4","85","0","60","19","0","0"
"21","1996","18.9","26.3","13.4","1239.31","10.8","89","0","50","16","0","1"
"22","1997","19.7","26.4","14.1","1638.80","11.8","93","0","64","13","0","1"
"23","1998","18.8","25.2","13.3","2140.46","11.7","104","0","66","24","0","0"
"24","1999","19.4","26.5","13.0","-","11.1","73","0","43","19","0","0"
"25","2000","18.8","25.8","13.3","-","11.6","100","0","70","15","0","0"
"26","2001","19.8","26.4","14.7","2128.21","13.5","111","0","79","28","0","1"
"27","2002","-","-","-","-","-","-","-","-","-","-","-"
"28","2003","18.7","26.2","13.2","1528.62","13.0","96","0","67","9","0","1"
"29","2004","19.2","26.8","13.3","1088.88","13.9","67","0","44","15","0","0"
"30","2005","-","-","-","-","-","-","-","-","-","-","-"
"31","2006","19.8","27.1","14.1","-","14.2","62","0","55","11","0","0"
"32","2007","-","-","-","-","-","-","-","-","-","-","-"
"33","2008","19.2","26.4","13.6","1083.24","11.0","79","0","54","14","0","0"
"34","2009","18.9","26.4","13.3","1759.19","10.8","89","0","60","17","0","0"
"35","2010","18.9","26.2","13.2","1258.28","11.2","87","0","60","14","0","2"
"36","2011","18.9","26.3","13.3","1128.26","11.5","90","0","63","7","0","0"
"37","2012","19.8","27.3","14.0","1266.95","11.1","80","0","59","6","0","0"
"38","2013","18.7","26.1","13.0","1149.12","10.4","73","0","61","15","0","0"
"39","2014","-","-","-","-","-","-","-","-","-","-","-"
"40","2015","-","-","-","-","-","-","-","-","-","-","-"
"41","2016","-","-","-","-","-","-","-","-","-","-","-"
"42","2017","-","-","-","-","-","-","-","-","-","-","-"
"43","2018","-","-","-","-","-","-","-","-","-","-","-"
"44","2019","-","-","-","-","-","-","-","-","-","-","-"
