"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1985","-","-","-","-","-","-","-","-","-","-","-"
"2","1986","8.4","11.7","6.0","0.00","-","0","0","0","0","0","0"
"3","1987","8.5","11.8","6.2","0.00","23.3","0","0","0","0","0","0"
"4","1988","8.8","12.1","6.4","0.00","25.0","0","0","0","0","0","0"
"5","1989","8.0","11.4","5.6","0.00","-","0","0","0","0","0","0"
"6","1990","9.5","12.9","7.1","0.00","26.1","0","0","0","0","0","0"
"7","1991","9.9","13.5","7.3","0.00","25.7","0","0","0","0","0","0"
"8","1992","-","-","-","-","-","-","-","-","-","-","-"
"9","1993","8.3","11.7","5.9","0.00","25.7","0","0","0","0","0","0"
"10","1994","8.6","12.1","6.1","0.00","25.5","0","0","0","0","0","0"
"11","1995","8.8","11.9","6.5","0.00","25.0","0","0","0","0","0","0"
"12","1996","8.3","11.5","6.1","0.00","-","0","0","0","0","0","0"
"13","1997","8.5","11.8","6.1","0.00","26.3","0","0","0","0","0","0"
"14","1998","-","-","-","-","-","-","-","-","-","-","-"
"15","2002","-","-","-","-","-","-","-","-","-","-","-"
"16","2003","8.2","11.3","5.8","0.00","25.6","0","0","0","0","0","0"
"17","2004","8.2","11.5","6.0","0.00","26.0","0","0","0","0","0","0"
"18","2005","-","-","-","-","-","-","-","-","-","-","-"
"19","2006","9.8","12.9","7.7","0.00","30.0","0","0","0","0","0","0"
"20","2007","8.8","12.2","6.3","0.00","26.7","0","0","0","0","0","0"
"21","2008","9.2","12.3","7.0","0.00","25.5","0","0","0","0","0","0"
"22","2009","8.8","12.1","6.6","0.00","26.7","0","0","0","0","0","0"
"23","2010","10.2","13.5","7.9","0.00","27.6","0","0","0","0","0","0"
"24","2011","9.7","12.8","7.4","0.00","26.1","0","0","0","0","0","0"
"25","2012","10.4","13.4","8.2","0.00","25.1","0","0","0","0","0","0"
"26","2013","9.4","12.7","7.1","0.00","26.1","0","0","0","0","0","0"
"27","2014","9.0","12.2","6.7","0.00","26.9","0","0","0","0","0","0"
"28","2015","9.3","12.9","6.8","0.00","26.9","0","0","0","0","0","0"
"29","2016","10.1","13.6","7.8","0.00","26.8","0","0","0","0","0","0"
"30","2017","9.8","13.2","7.4","0.00","27.2","0","0","0","0","0","0"
"31","2018","-","-","-","-","-","-","-","-","-","-","-"
