"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1986","-","-","-","-","-","-","-","-","-","-","-"
"2","1987","-","-","-","-","-","-","-","-","-","-","-"
"3","1990","-","-","-","-","-","-","-","-","-","-","-"
"4","1991","-","-","-","-","-","-","-","-","-","-","-"
"5","1992","-","-","-","-","-","-","-","-","-","-","-"
"6","1993","-","-","-","-","-","-","-","-","-","-","-"
"7","1994","-","-","-","-","-","-","-","-","-","-","-"
"8","1995","25.7","32.0","18.5","1467.62","5.5","107","0","80","0","1","0"
"9","1996","25.9","32.0","18.6","1626.37","5.2","102","0","53","0","0","0"
"10","1997","-","-","-","-","-","77","0","56","1","1","0"
"11","1998","-","-","-","-","-","-","-","-","-","-","-"
"12","1999","-","-","-","-","-","-","-","-","-","-","-"
"13","2000","-","-","-","-","-","-","-","-","-","-","-"
"14","2001","-","-","-","-","-","-","-","-","-","-","-"
"15","2002","-","-","-","-","-","-","-","-","-","-","-"
"16","2003","-","-","-","-","-","-","-","-","-","-","-"
"17","2004","-","-","-","-","-","-","-","-","-","-","-"
"18","2005","-","-","-","-","-","-","-","-","-","-","-"
"19","2006","-","-","-","-","-","-","-","-","-","-","-"
"20","2007","26.3","31.1","19.9","-","6.2","71","0","29","1","0","0"
"21","2008","27.1","32.2","20.8","-","-","56","0","27","0","0","0"
"22","2009","-","-","-","-","-","-","-","-","-","-","-"
"23","2010","-","-","-","-","-","-","-","-","-","-","-"
"24","2011","-","-","-","-","-","-","-","-","-","-","-"
"25","2012","-","-","-","-","-","-","-","-","-","-","-"
"26","2013","-","-","-","-","-","-","-","-","-","-","-"
"27","2014","-","-","-","-","-","-","-","-","-","-","-"
"28","2015","-","-","-","-","-","-","-","-","-","-","-"
"29","2016","-","-","-","-","-","-","-","-","-","-","-"
"30","2018","-","-","-","-","-","-","-","-","-","-","-"
