"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1985","-","-","-","-","-","-","-","-","-","-","-"
"2","1986","-","-","-","-","-","-","-","-","-","-","-"
"3","1987","-","-","-","-","-","-","-","-","-","-","-"
"4","1988","-","-","-","-","-","-","-","-","-","-","-"
"5","1989","-","-","-","-","-","2","67","1","1","0","0"
"6","1990","-","-","-","-","-","-","-","-","-","-","-"
"7","1991","-9.7","-7.8","-11.9","-","44.5","2","38","0","1","0","0"
"8","1992","-11.6","-9.5","-14.0","-","38.2","3","64","0","1","0","0"
"9","1993","-12.9","-10.7","-15.4","-","32.1","0","41","0","0","0","0"
"10","1994","-11.5","-8.8","-14.5","0.00","42.9","0","36","1","0","0","0"
"11","1995","-11.0","-8.0","-14.7","0.00","44.2","1","47","0","1","0","0"
"12","1996","-10.7","-8.4","-13.4","0.00","46.6","0","25","0","3","0","0"
"13","1997","-11.7","-9.4","-14.5","0.00","43.5","1","53","0","0","0","0"
"14","1998","-11.9","-9.5","-14.6","0.00","42.0","0","17","0","2","0","0"
"15","1999","-12.1","-8.8","-15.7","-","43.5","1","50","0","1","0","0"
"16","2000","-11.1","-8.3","-14.8","-","45.0","3","28","0","1","0","0"
"17","2001","-11.4","-8.3","-15.1","-","42.7","2","32","0","0","0","0"
"18","2002","-","-","-","-","-","-","-","-","-","-","-"
"19","2003","-11.2","-8.0","-14.8","-","46.5","0","23","0","0","0","0"
"20","2004","-11.4","-8.1","-15.3","-","46.6","0","34","0","2","0","0"
"21","2005","-","-","-","-","-","-","-","-","-","-","-"
"22","2006","-11.4","-8.2","-15.0","-","44.1","0","31","0","0","0","0"
"23","2007","-9.8","-6.7","-13.5","-","48.4","0","36","0","0","0","0"
"24","2008","-11.8","-8.5","-15.7","-","39.9","0","30","0","0","0","0"
"25","2009","-10.5","-7.1","-14.6","-","42.0","0","32","0","0","0","0"
"26","2010","-11.7","-8.5","-15.5","-","44.2","2","32","0","1","0","0"
"27","2011","-10.7","-7.4","-14.6","-","42.3","0","31","0","1","0","0"
"28","2012","-11.9","-8.4","-15.9","-","44.6","1","27","0","1","0","0"
"29","2013","-10.8","-7.6","-14.6","-","43.5","0","49","0","0","0","0"
"30","2014","-11.3","-8.0","-15.0","-","42.5","1","30","0","1","0","0"
"31","2015","-12.5","-10.0","-16.7","-","41.2","1","35","0","0","0","0"
"32","2016","-11.6","-8.6","-15.4","-","43.9","1","23","0","0","0","0"
"33","2017","-11.6","-8.2","-15.5","-","43.9","0","33","0","1","0","0"
"34","2018","-","-","-","-","-","-","-","-","-","-","-"
"35","2019","-","-","-","-","-","-","-","-","-","-","-"
