"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1976","-","-","-","-","-","-","-","-","-","-","-"
"2","1977","15.1","20.2","9.7","-","6.4","130","2","63","11","0","3"
"3","1978","14.6","19.6","9.3","-","7.7","153","0","51","1","0","3"
"4","1979","15.4","20.1","10.3","-","8.0","156","2","86","1","0","2"
"5","1980","-","-","-","-","-","-","-","-","-","-","-"
"6","1981","-","-","-","-","-","-","-","-","-","-","-"
"7","1982","15.0","20.8","9.2","1081.26","10.2","119","2","57","0","1","2"
"8","1983","15.2","20.4","8.8","1229.14","9.5","99","2","46","1","0","1"
"9","1984","14.8","19.8","9.1","1576.29","8.9","116","2","39","3","0","1"
"10","1985","15.0","20.5","9.1","1377.46","7.9","112","6","32","2","0","1"
"11","1986","15.2","20.9","9.5","1296.17","7.1","108","2","32","0","0","1"
"12","1987","15.0","20.2","9.5","1562.12","7.4","111","1","23","1","0","1"
"13","1988","15.1","20.7","9.6","1291.61","-","110","1","32","1","0","0"
"14","1989","14.9","20.8","9.1","1040.37","-","86","0","37","2","0","0"
"15","1990","15.3","21.0","9.7","886.45","7.2","109","1","38","3","0","1"
"16","1991","14.5","20.1","8.9","1212.08","-","112","1","35","3","0","0"
"17","1992","15.0","20.8","9.1","804.66","6.7","105","0","39","3","0","0"
"18","1993","14.9","20.8","8.8","1110.01","6.1","94","4","27","1","0","0"
"19","1994","16.0","21.9","10.0","797.06","5.7","97","1","36","0","0","0"
"20","1995","14.8","20.1","9.0","1324.66","6.6","122","1","36","1","0","1"
"21","1996","14.9","20.0","9.5","1643.13","6.6","124","1","46","2","0","1"
"22","1997","15.4","20.9","9.5","980.20","7.4","86","0","27","6","0","1"
"23","1998","15.7","21.3","10.0","1450.91","7.0","101","1","42","3","0","1"
"24","1999","-","-","-","-","-","-","-","-","-","-","-"
"25","2000","16.0","21.9","9.5","-","7.2","78","1","41","0","0","0"
"26","2001","16.0","21.5","10.1","-","8.2","116","0","31","2","0","0"
"27","2002","-","-","-","-","-","111","1","47","4","0","0"
"28","2003","16.2","22.2","10.0","1291.33","7.5","92","0","43","1","0","1"
"29","2004","15.5","21.1","9.7","1591.35","6.7","122","1","44","6","0","1"
"30","2005","-","-","-","-","-","-","-","-","-","-","-"
"31","2006","14.8","21.2","8.5","-","5.9","106","2","62","14","0","0"
"32","2007","15.6","22.1","9.0","-","6.3","111","0","50","9","0","2"
"33","2008","15.5","22.1","8.6","-","6.4","111","0","44","2","0","1"
"34","2009","15.7","21.7","9.4","-","6.3","145","2","63","6","0","2"
"35","2010","15.3","21.2","9.1","-","6.1","151","3","68","6","0","1"
"36","2011","15.8","22.3","9.0","-","5.7","101","0","48","8","0","2"
"37","2012","15.9","22.3","9.2","-","5.8","111","2","55","11","0","2"
"38","2013","15.9","22.0","9.5","-","6.0","136","1","66","11","0","3"
"39","2014","15.7","21.5","9.8","-","5.2","150","0","78","7","0","6"
"40","2015","16.0","22.6","9.3","-","5.5","95","0","51","16","0","1"
"41","2016","15.8","22.0","9.3","-","6.2","127","0","55","6","0","2"
"42","2017","15.8","21.8","9.1","-","7.0","104","3","38","4","0","0"
"43","2018","16.9","23.0","10.7","-","6.4","125","3","61","11","0","0"
"44","2019","-","-","-","-","-","-","-","-","-","-","-"
