"Year","Country","Month","ISO3","Temperature","Rain"
"1901","Antarctica","Jan","ANT","26.7","0"
"1901","Antarctica","Feb","ANT","26.575","77.7"
"1901","Antarctica","Mar","ANT","27.225","14.5"
"1901","Antarctica","Apr","ANT","28.075","38.05"
"1901","Antarctica","May","ANT","28.525","35.9249"
"1901","Antarctica","Jun","ANT","27.75","27.9"
"1901","Antarctica","Jul","ANT","27.75","53.25"
"1901","Antarctica","Aug","ANT","28.475","60"
"1901","Antarctica","Sep","ANT","28.2999","27.025"
"1901","Antarctica","Oct","ANT","27.65","41.325"
"1901","Antarctica","Nov","ANT","26.625","40.9749"
"1901","Antarctica","Dec","ANT","25.75","275.425"
"1902","Antarctica","Jan","ANT","25.275","0"
"1902","Antarctica","Feb","ANT","25.6749","10.2"
"1902","Antarctica","Mar","ANT","25.7","0"
"1902","Antarctica","Apr","ANT","26.75","4.075"
"1902","Antarctica","May","ANT","27.625","29.4"
"1902","Antarctica","Jun","ANT","27.65","58.675"
"1902","Antarctica","Jul","ANT","27.65","29.15"
"1902","Antarctica","Aug","ANT","28.375","39.375"
"1902","Antarctica","Sep","ANT","27.975","56.5"
"1902","Antarctica","Oct","ANT","27.575","97.4749"
"1902","Antarctica","Nov","ANT","27.375","112.375"
"1902","Antarctica","Dec","ANT","26.35","125.9"
"1903","Antarctica","Jan","ANT","25.5499","0"
"1903","Antarctica","Feb","ANT","26.2999","59.2999"
"1903","Antarctica","Mar","ANT","25.925","27.675"
"1903","Antarctica","Apr","ANT","26.75","1.625"
"1903","Antarctica","May","ANT","27.7999","5.875"
"1903","Antarctica","Jun","ANT","27.875","47.9"
"1903","Antarctica","Jul","ANT","27.85","48.3499"
"1903","Antarctica","Aug","ANT","27.975","58.225"
"1903","Antarctica","Sep","ANT","28.2999","52.2999"
"1903","Antarctica","Oct","ANT","27.65","84.5749"
"1903","Antarctica","Nov","ANT","26.65","110.25"
"1903","Antarctica","Dec","ANT","25.625","186.275"
"1904","Antarctica","Jan","ANT","25.0499","0"
