"Year","Country","Month","ISO3","Temperature","Rain"
"1901","Egypt","Jan","EGY","12.3533","11.8059"
"1901","Egypt","Feb","EGY","17.1485","1.51935"
"1901","Egypt","Mar","EGY","19.8166","1.68534"
"1901","Egypt","Apr","EGY","22.471","1.00609"
"1901","Egypt","May","EGY","24.7663","16.392"
"1901","Egypt","Jun","EGY","28.201","1.59667"
"1901","Egypt","Jul","EGY","29.0262","2.63234"
"1901","Egypt","Aug","EGY","28.904","2.7991"
"1901","Egypt","Sep","EGY","26.6434","1.23883"
"1901","Egypt","Oct","EGY","24.1158","0.5825"
"1901","Egypt","Nov","EGY","18.1341","1.78508"
"1901","Egypt","Dec","EGY","14.9177","5.03292"
"1902","Egypt","Jan","EGY","12.1107","9.23424"
"1902","Egypt","Feb","EGY","16.6325","3.61706"
"1902","Egypt","Mar","EGY","16.9514","2.43298"
"1902","Egypt","Apr","EGY","21.7018","3.58693"
"1902","Egypt","May","EGY","25.5515","2.08395"
"1902","Egypt","Jun","EGY","27.032","1.66305"
"1902","Egypt","Jul","EGY","27.9714","2.74818"
"1902","Egypt","Aug","EGY","28.4227","2.7991"
"1902","Egypt","Sep","EGY","27.1584","1.12044"
"1902","Egypt","Oct","EGY","24.0858","1.15849"
"1902","Egypt","Nov","EGY","17.5741","3.06903"
"1902","Egypt","Dec","EGY","12.9458","4.1115"
"1903","Egypt","Jan","EGY","11.0177","5.77015"
"1903","Egypt","Feb","EGY","12.2229","3.95707"
"1903","Egypt","Mar","EGY","15.3777","5.72509"
"1903","Egypt","Apr","EGY","21.5116","2.0085"
"1903","Egypt","May","EGY","25.7116","1.9121"
"1903","Egypt","Jun","EGY","27.0873","1.24449"
"1903","Egypt","Jul","EGY","27.2743","2.63234"
"1903","Egypt","Aug","EGY","28.062","2.89084"
"1903","Egypt","Sep","EGY","25.0039","1.15735"
"1903","Egypt","Oct","EGY","22.2827","0.88838"
"1903","Egypt","Nov","EGY","16.9796","1.43808"
"1903","Egypt","Dec","EGY","14.2766","3.07394"
"1904","Egypt","Jan","EGY","12.2636","8.38629"
"1904","Egypt","Feb","EGY","15.0843","6.1464"
"1904","Egypt","Mar","EGY","17.5012","1.61651"
"1904","Egypt","Apr","EGY","20.7075","5.0447"
"1904","Egypt","May","EGY","24.5914","4.25098"
"1904","Egypt","Jun","EGY","27.1914","1.245"
"1904","Egypt","Jul","EGY","28.1154","2.63234"
"1904","Egypt","Aug","EGY","28.3813","2.7991"
"1904","Egypt","Sep","EGY","26.2553","1.12045"
"1904","Egypt","Oct","EGY","24.7275","1.47003"
"1904","Egypt","Nov","EGY","16.8429","4.452"
"1904","Egypt","Dec","EGY","12.3855","8.46906"
"1905","Egypt","Jan","EGY","11.2089","5.02768"
"1905","Egypt","Feb","EGY","11.7992","4.41262"
"1905","Egypt","Mar","EGY","15.7367","6.06707"
"1905","Egypt","Apr","EGY","21.4942","5.46103"
"1905","Egypt","May","EGY","26.15","1.75407"
"1905","Egypt","Jun","EGY","28.4093","1.24754"
"1905","Egypt","Jul","EGY","29.2932","2.63234"
"1905","Egypt","Aug","EGY","29.0023","2.7991"
"1905","Egypt","Sep","EGY","27.4535","1.10597"
"1905","Egypt","Oct","EGY","25.3854","1.38895"
"1905","Egypt","Nov","EGY","20.3796","2.05194"
"1905","Egypt","Dec","EGY","13.2215","8.55925"
"1906","Egypt","Jan","EGY","12.5209","3.40959"
"1906","Egypt","Feb","EGY","14.6939","2.46525"
"1906","Egypt","Mar","EGY","17.9886","3.16376"
"1906","Egypt","Apr","EGY","22.191","2.38939"
"1906","Egypt","May","EGY","25.6886","9.0053"
"1906","Egypt","Jun","EGY","29.0814","1.6307"
"1906","Egypt","Jul","EGY","29.2241","2.60396"
"1906","Egypt","Aug","EGY","29.2252","2.76506"
"1906","Egypt","Sep","EGY","26.2435","1.10466"
"1906","Egypt","Oct","EGY","24.3804","3.78455"
"1906","Egypt","Nov","EGY","19.2409","1.93047"
"1906","Egypt","Dec","EGY","15.7863","1.29427"
"1907","Egypt","Jan","EGY","13.2829","10.9448"
"1907","Egypt","Feb","EGY","14.761","4.23484"
"1907","Egypt","Mar","EGY","15.5597","4.61352"
"1907","Egypt","Apr","EGY","21.0388","2.87417"
"1907","Egypt","May","EGY","25.6331","1.70917"
"1907","Egypt","Jun","EGY","28.0096","1.59908"
"1907","Egypt","Jul","EGY","28.5905","2.77532"
