"Year","Country","Month","ISO3","Temperature","Rain"
"1901","Finland","Jan","FIN","-6.3439","28.3344"
"1901","Finland","Feb","FIN","-14.681","26.5111"
"1901","Finland","Mar","FIN","-7.4359","15.1533"
"1901","Finland","Apr","FIN","0.37737","30.8042"
"1901","Finland","May","FIN","6.06444","16.9959"
"1901","Finland","Jun","FIN","14.2334","46.6053"
"1901","Finland","Jul","FIN","17.6312","37.9178"
"1901","Finland","Aug","FIN","14.3134","43.1522"
"1901","Finland","Sep","FIN","9.4724","19.8159"
"1901","Finland","Oct","FIN","5.50534","45.512"
"1901","Finland","Nov","FIN","-6.9424","39.2367"
"1901","Finland","Dec","FIN","-13.738","29.6627"
"1902","Finland","Jan","FIN","-13.602","39.5917"
"1902","Finland","Feb","FIN","-11.827","20.2206"
"1902","Finland","Mar","FIN","-10.087","32.8566"
"1902","Finland","Apr","FIN","-3.4704","4.45222"
"1902","Finland","May","FIN","4.09089","33.9665"
"1902","Finland","Jun","FIN","9.09097","56.0483"
"1902","Finland","Jul","FIN","11.8434","96.7699"
"1902","Finland","Aug","FIN","11.3419","89.3264"
"1902","Finland","Sep","FIN","6.25027","81.8844"
"1902","Finland","Oct","FIN","-1.4719","36.3704"
"1902","Finland","Nov","FIN","-5.3652","29.3996"
"1902","Finland","Dec","FIN","-9.2094","19.9223"
"1903","Finland","Jan","FIN","-10.729","31.2983"
"1903","Finland","Feb","FIN","-6.7971","32.6335"
"1903","Finland","Mar","FIN","-2.3776","25.6577"
"1903","Finland","Apr","FIN","0.44687","39.2088"
"1903","Finland","May","FIN","6.51225","29.3975"
"1903","Finland","Jun","FIN","12.0481","50.7413"
"1903","Finland","Jul","FIN","12.9802","82.4799"
"1903","Finland","Aug","FIN","12.3256","105.177"
"1903","Finland","Sep","FIN","8.17795","45.195"
"1903","Finland","Oct","FIN","-2.0663","49.3543"
"1903","Finland","Nov","FIN","-3.5665","41.1865"
"1903","Finland","Dec","FIN","-6.1872","20.8992"
"1904","Finland","Jan","FIN","-5.8498","20.3003"
"1904","Finland","Feb","FIN","-13.979","24.2559"
"1904","Finland","Mar","FIN","-7.3801","14.2166"
"1904","Finland","Apr","FIN","0.71247","38.4833"
"1904","Finland","May","FIN","4.69468","46.6409"
"1904","Finland","Jun","FIN","10.7329","56.6617"
"1904","Finland","Jul","FIN","12.5475","51.7754"
"1904","Finland","Aug","FIN","11.7652","87.7929"
"1904","Finland","Sep","FIN","8.12115","27.886"
"1904","Finland","Oct","FIN","3.25428","41.9661"
"1904","Finland","Nov","FIN","-7.5067","38.4977"
"1904","Finland","Dec","FIN","-12.337","44.137"
"1905","Finland","Jan","FIN","-11.891","32.2778"
"1905","Finland","Feb","FIN","-9.1538","22.6437"
"1905","Finland","Mar","FIN","-4.9599","25.4478"
"1905","Finland","Apr","FIN","-1.4231","34.5535"
"1905","Finland","May","FIN","7.136","27.3488"
"1905","Finland","Jun","FIN","13.6236","43.3262"
"1905","Finland","Jul","FIN","14.6458","85.0776"
"1905","Finland","Aug","FIN","12.1434","78.7856"
"1905","Finland","Sep","FIN","7.25395","57.8468"
"1905","Finland","Oct","FIN","-0.5359","50.1198"
"1905","Finland","Nov","FIN","-4.1319","37.9914"
"1905","Finland","Dec","FIN","-6.6504","22.0295"
"1906","Finland","Jan","FIN","-7.4408","38.0228"
"1906","Finland","Feb","FIN","-8.2203","30.9531"
"1906","Finland","Mar","FIN","-9.2684","32.1892"
