"Year","Country","Month","ISO3","Temperature","Rain"
"1901","Macedonia","Jan","MAC","17.85","28.2"
"1901","Macedonia","Feb","MAC","12.7718","24.5718"
"1901","Macedonia","Mar","MAC","17.8343","61.3562"
"1901","Macedonia","Apr","MAC","22.8312","262.253"
"1901","Macedonia","May","MAC","25.5906","321.809"
"1901","Macedonia","Jun","MAC","27.375","97.2843"
"1901","Macedonia","Jul","MAC","28.1875","174.371"
"1901","Macedonia","Aug","MAC","27.5156","348.781"
"1901","Macedonia","Sep","MAC","26.7625","81.0437"
"1901","Macedonia","Oct","MAC","24.5812","52.1406"
"1901","Macedonia","Nov","MAC","20.2562","27.2468"
"1901","Macedonia","Dec","MAC","15.875","24.225"
"1902","Macedonia","Jan","MAC","16.65","9.99375"
"1902","Macedonia","Feb","MAC","14.775","0.68125"
"1902","Macedonia","Mar","MAC","20.2843","18.8343"
"1902","Macedonia","Apr","MAC","23.1187","54.2781"
"1902","Macedonia","May","MAC","26.4781","598.793"
"1902","Macedonia","Jun","MAC","26.875","384.865"
"1902","Macedonia","Jul","MAC","27.9875","372.337"
"1902","Macedonia","Aug","MAC","28.1406","553.853"
"1902","Macedonia","Sep","MAC","26.9","20.8843"
"1902","Macedonia","Oct","MAC","24.3343","27.9093"
"1902","Macedonia","Nov","MAC","21.6968","173.262"
"1902","Macedonia","Dec","MAC","17.5312","104.746"
"1903","Macedonia","Jan","MAC","14.4625","52.0281"
"1903","Macedonia","Feb","MAC","14.4343","13.6187"
"1903","Macedonia","Mar","MAC","19.6968","110.031"
"1903","Macedonia","Apr","MAC","22.7312","139.465"
"1903","Macedonia","May","MAC","24.7906","347.396"
"1903","Macedonia","Jun","MAC","27.5156","582.509"
"1903","Macedonia","Jul","MAC","27.8875","246.59"
"1903","Macedonia","Aug","MAC","27.4687","383.537"
"1903","Macedonia","Sep","MAC","26.375","347.759"
"1903","Macedonia","Oct","MAC","24.3437","97.125"
"1903","Macedonia","Nov","MAC","19.2968","39.125"
"1903","Macedonia","Dec","MAC","15.5718","3.525"
"1904","Macedonia","Jan","MAC","14.8906","4.00625"
"1904","Macedonia","Feb","MAC","16.3531","6.20312"
"1904","Macedonia","Mar","MAC","17.6937","147.668"
"1904","Macedonia","Apr","MAC","22.1312","65.1437"
"1904","Macedonia","May","MAC","24.8562","175.85"
"1904","Macedonia","Jun","MAC","26.6875","441.4"
"1904","Macedonia","Jul","MAC","27.5531","220.221"
"1904","Macedonia","Aug","MAC","27.3687","618.062"
"1904","Macedonia","Sep","MAC","26.975","213.321"
"1904","Macedonia","Oct","MAC","24.5437","49.3718"
"1904","Macedonia","Nov","MAC","19.8656","10.4375"
"1904","Macedonia","Dec","MAC","15.275","12.6031"
"1905","Macedonia","Jan","MAC","17.55","66.5437"
"1905","Macedonia","Feb","MAC","13.4281","36.7968"
"1905","Macedonia","Mar","MAC","15.95","225.915"
"1905","Macedonia","Apr","MAC","20.6968","76.9749"
"1905","Macedonia","May","MAC","26.1781","148.256"
"1905","Macedonia","Jun","MAC","27.4468","438.412"
"1905","Macedonia","Jul","MAC","28.075","207.721"
"1905","Macedonia","Aug","MAC","28.0031","267.128"
"1905","Macedonia","Sep","MAC","27.1062","92.1781"
"1905","Macedonia","Oct","MAC","24.4468","43.0468"
"1905","Macedonia","Nov","MAC","20.1781","12.2406"
"1905","Macedonia","Dec","MAC","18.0375","75.6718"
"1906","Macedonia","Jan","MAC","14.7625","71.3593"
"1906","Macedonia","Feb","MAC","15.7125","66.9187"
"1906","Macedonia","Mar","MAC","17.0687","105.599"
"1906","Macedonia","Apr","MAC","21.7437","279.659"
"1906","Macedonia","May","MAC","25.6625","289.05"
"1906","Macedonia","Jun","MAC","28.2","143.19"
"1906","Macedonia","Jul","MAC","28.3468","231.446"
"1906","Macedonia","Aug","MAC","28.7406","85.5125"
"1906","Macedonia","Sep","MAC","27.5625","607.75"
"1906","Macedonia","Oct","MAC","23.9343","27.8062"
"1906","Macedonia","Nov","MAC","19.4687","6.4625"
"1906","Macedonia","Dec","MAC","16.9875","21.0562"
"1907","Macedonia","Jan","MAC","15.9625","123.587"
"1907","Macedonia","Feb","MAC","14.9","7.58125"
"1907","Macedonia","Mar","MAC","18.0937","16.8093"
"1907","Macedonia","Apr","MAC","21.2156","315.125"
"1907","Macedonia","May","MAC","24.9781","306.256"
"1907","Macedonia","Jun","MAC","26.575","287.415"
"1907","Macedonia","Jul","MAC","27.9843","200.909"
"1907","Macedonia","Aug","MAC","28.2406","330.709"
"1907","Macedonia","Sep","MAC","27.175","353.884"
"1907","Macedonia","Oct","MAC","25.9343","259.834"
"1907","Macedonia","Nov","MAC","21.6687","54.1031"
"1907","Macedonia","Dec","MAC","16.175","50.7218"
"1908","Macedonia","Jan","MAC","16.2718","109.362"
"1908","Macedonia","Feb","MAC","14.6375","83.4593"
"1908","Macedonia","Mar","MAC","16.6968","28.2281"
"1908","Macedonia","Apr","MAC","21.0312","202.787"
"1908","Macedonia","May","MAC","24.9781","55.0156"
"1908","Macedonia","Jun","MAC","26.9875","355.981"
"1908","Macedonia","Jul","MAC","28.1875","477.815"
"1908","Macedonia","Aug","MAC","28.0406","312.643"
"1908","Macedonia","Sep","MAC","27.4625","243.821"
"1908","Macedonia","Oct","MAC","24.9687","154.774"
"1908","Macedonia","Nov","MAC","20.6562","18.1812"
"1908","Macedonia","Dec","MAC","17.1781","142.006"
"1909","Macedonia","Jan","MAC","15.7625","77.8718"
"1909","Macedonia","Feb","MAC","15.8375","68.4531"
