"Year","Country","Month","ISO3","Temperature","Rain"
"1901","Uzbekistan","Jan","UZB","-4.4249","22.4704"
"1901","Uzbekistan","Feb","UZB","-0.6202","3.22394"
"1901","Uzbekistan","Mar","UZB","7.43769","18.7588"
"1901","Uzbekistan","Apr","UZB","14.7815","28.4346"
"1901","Uzbekistan","May","UZB","20.2268","25.9172"
"1901","Uzbekistan","Jun","UZB","23.4128","12.5643"
"1901","Uzbekistan","Jul","UZB","27.1976","1.38867"
"1901","Uzbekistan","Aug","UZB","24.3407","0.32959"
"1901","Uzbekistan","Sep","UZB","18.8716","6.19534"
"1901","Uzbekistan","Oct","UZB","7.76429","32.7406"
"1901","Uzbekistan","Nov","UZB","6.3016","19.3197"
"1901","Uzbekistan","Dec","UZB","1.92167","11.7125"
"1902","Uzbekistan","Jan","UZB","0.52778","34.3928"
"1902","Uzbekistan","Feb","UZB","-1.203","10.4519"
"1902","Uzbekistan","Mar","UZB","5.42193","32.6432"
"1902","Uzbekistan","Apr","UZB","12.1761","29.7995"
"1902","Uzbekistan","May","UZB","20.7415","10.6445"
"1902","Uzbekistan","Jun","UZB","26.5615","2.96929"
"1902","Uzbekistan","Jul","UZB","26.809","2.22207"
"1902","Uzbekistan","Aug","UZB","25.8793","3.61751"
"1902","Uzbekistan","Sep","UZB","18.6923","2.40011"
"1902","Uzbekistan","Oct","UZB","10.7955","16.1965"
"1902","Uzbekistan","Nov","UZB","3.99705","50.9599"
"1902","Uzbekistan","Dec","UZB","1.09967","24.4078"
"1903","Uzbekistan","Jan","UZB","-4.168","32.3682"
"1903","Uzbekistan","Feb","UZB","0.67811","26.7702"
"1903","Uzbekistan","Mar","UZB","-0.8676","28.49"
"1903","Uzbekistan","Apr","UZB","11.653","11.6658"
"1903","Uzbekistan","May","UZB","18.8141","37.0615"
"1903","Uzbekistan","Jun","UZB","24.695","3.90132"
"1903","Uzbekistan","Jul","UZB","26.9787","5.1009"
"1903","Uzbekistan","Aug","UZB","25.3116","1.50758"
"1903","Uzbekistan","Sep","UZB","19.5747","1.93307"
"1903","Uzbekistan","Oct","UZB","12.5085","2.90944"
"1903","Uzbekistan","Nov","UZB","3.35202","11.0784"
"1903","Uzbekistan","Dec","UZB","-3.0755","8.96585"
"1904","Uzbekistan","Jan","UZB","-10.252","19.6498"
"1904","Uzbekistan","Feb","UZB","1.34599","5.85052"
"1904","Uzbekistan","Mar","UZB","5.30937","26.0688"
