"Year","Country","Month","ISO3","Temperature","Rain"
"1901","Venezuela","Jan","VEN","25.4643","38.2362"
"1901","Venezuela","Feb","VEN","25.5467","55.2867"
"1901","Venezuela","Mar","VEN","26.4528","59.114"
"1901","Venezuela","Apr","VEN","26.7433","139.459"
"1901","Venezuela","May","VEN","25.8726","210.356"
"1901","Venezuela","Jun","VEN","24.4525","255.119"
"1901","Venezuela","Jul","VEN","25.2436","280.776"
"1901","Venezuela","Aug","VEN","25.1643","269.314"
"1901","Venezuela","Sep","VEN","24.4895","174.691"
"1901","Venezuela","Oct","VEN","24.4918","144.019"
"1901","Venezuela","Nov","VEN","24.4242","113.733"
"1901","Venezuela","Dec","VEN","24.1112","120.713"
"1902","Venezuela","Jan","VEN","24.3384","51.6612"
"1902","Venezuela","Feb","VEN","24.7981","47.5269"
"1902","Venezuela","Mar","VEN","24.892","70.3613"
"1902","Venezuela","Apr","VEN","25.6356","112.26"
"1902","Venezuela","May","VEN","25.3086","196.125"
"1902","Venezuela","Jun","VEN","24.3772","305.221"
"1902","Venezuela","Jul","VEN","24.2084","241.582"
"1902","Venezuela","Aug","VEN","25.0215","227.552"
"1902","Venezuela","Sep","VEN","24.326","194.031"
"1902","Venezuela","Oct","VEN","24.5217","175.873"
"1902","Venezuela","Nov","VEN","25.1574","138.892"
"1902","Venezuela","Dec","VEN","24.6556","82.3938"
"1903","Venezuela","Jan","VEN","24.4498","42.8627"
"1903","Venezuela","Feb","VEN","25.417","53.2609"
"1903","Venezuela","Mar","VEN","25.2904","68.7295"
"1903","Venezuela","Apr","VEN","25.504","115.454"
"1903","Venezuela","May","VEN","25.0019","181.061"
"1903","Venezuela","Jun","VEN","24.414","311.085"
"1903","Venezuela","Jul","VEN","25.0642","268.309"
"1903","Venezuela","Aug","VEN","24.8729","257.437"
"1903","Venezuela","Sep","VEN","24.7578","200.537"
"1903","Venezuela","Oct","VEN","24.8489","161.346"
"1903","Venezuela","Nov","VEN","24.479","134.914"
"1903","Venezuela","Dec","VEN","23.9658","104.263"
"1904","Venezuela","Jan","VEN","23.9493","48.1432"
"1904","Venezuela","Feb","VEN","24.7527","45.2048"
"1904","Venezuela","Mar","VEN","24.581","68.8599"
"1904","Venezuela","Apr","VEN","25.3076","118.739"
"1904","Venezuela","May","VEN","24.6292","219.227"
"1904","Venezuela","Jun","VEN","24.2071","245.865"
"1904","Venezuela","Jul","VEN","24.6826","318.751"
"1904","Venezuela","Aug","VEN","24.5181","307.13"
"1904","Venezuela","Sep","VEN","24.8342","223.403"
"1904","Venezuela","Oct","VEN","24.1389","147.574"
"1904","Venezuela","Nov","VEN","24.7383","217.279"
"1904","Venezuela","Dec","VEN","24.1061","99.2506"
"1905","Venezuela","Jan","VEN","24.2737","41.9706"
"1905","Venezuela","Feb","VEN","24.1692","60.4878"
"1905","Venezuela","Mar","VEN","24.6421","54.5906"
"1905","Venezuela","Apr","VEN","25.6825","114.585"
"1905","Venezuela","May","VEN","24.4259","209.194"
"1905","Venezuela","Jun","VEN","23.9899","238.548"
"1905","Venezuela","Jul","VEN","24.7863","328.434"
"1905","Venezuela","Aug","VEN","25.0959","276.936"
"1905","Venezuela","Sep","VEN","25.0555","193.599"
"1905","Venezuela","Oct","VEN","24.7257","181.484"
"1905","Venezuela","Nov","VEN","24.9139","128.284"
"1905","Venezuela","Dec","VEN","23.657","108.369"
"1906","Venezuela","Jan","VEN","24.0395","39.7569"
"1906","Venezuela","Feb","VEN","24.3857","75.6455"
"1906","Venezuela","Mar","VEN","25.0746","54.5075"
"1906","Venezuela","Apr","VEN","25.3232","140.038"
"1906","Venezuela","May","VEN","24.8805","173.274"
"1906","Venezuela","Jun","VEN","24.0944","242.299"
"1906","Venezuela","Jul","VEN","24.4014","272.35"
"1906","Venezuela","Aug","VEN","24.8706","251.817"
"1906","Venezuela","Sep","VEN","24.3328","204.074"
"1906","Venezuela","Oct","VEN","25.1616","138.91"
"1906","Venezuela","Nov","VEN","24.9549","126.209"
"1906","Venezuela","Dec","VEN","23.5411","81.8889"
"1907","Venezuela","Jan","VEN","24.2141","51.9991"
"1907","Venezuela","Feb","VEN","24.8095","60.4528"
"1907","Venezuela","Mar","VEN","24.8936","71.4046"
"1907","Venezuela","Apr","VEN","25.2934","116.849"
"1907","Venezuela","May","VEN","24.189","203.14"
"1907","Venezuela","Jun","VEN","23.7676","269.646"
"1907","Venezuela","Jul","VEN","24.4416","274.105"
"1907","Venezuela","Aug","VEN","24.647","218.393"
"1907","Venezuela","Sep","VEN","24.767","173.773"
"1907","Venezuela","Oct","VEN","24.5742","155.658"
"1907","Venezuela","Nov","VEN","24.4684","141.513"
"1907","Venezuela","Dec","VEN","24.1881","83.5727"
"1908","Venezuela","Jan","VEN","24.2747","42.0327"
"1908","Venezuela","Feb","VEN","24.3478","43.3038"
"1908","Venezuela","Mar","VEN","24.5965","59.5051"
"1908","Venezuela","Apr","VEN","24.8745","104.702"
"1908","Venezuela","May","VEN","24.3363","179.138"
"1908","Venezuela","Jun","VEN","24.0439","326.295"
"1908","Venezuela","Jul","VEN","24.3924","428.711"
"1908","Venezuela","Aug","VEN","24.6664","298.468"
"1908","Venezuela","Sep","VEN","24.8739","254.239"
"1908","Venezuela","Oct","VEN","24.3554","181.045"
"1908","Venezuela","Nov","VEN","24.3623","118.921"
"1908","Venezuela","Dec","VEN","24.3996","81.1434"
"1909","Venezuela","Jan","VEN","24.1879","45.4768"
"1909","Venezuela","Feb","VEN","24.7579","53.0272"
"1909","Venezuela","Mar","VEN","25.612","59.7866"
"1909","Venezuela","Apr","VEN","25.568","105.413"
"1909","Venezuela","May","VEN","24.6918","170.755"
"1909","Venezuela","Jun","VEN","23.7667","365.348"
"1909","Venezuela","Jul","VEN","24.3106","262.539"
"1909","Venezuela","Aug","VEN","24.4888","253.946"
"1909","Venezuela","Sep","VEN","24.3344","166.409"
"1909","Venezuela","Oct","VEN","24.3778","164.522"
"1909","Venezuela","Nov","VEN","24.7317","121.019"
"1909","Venezuela","Dec","VEN","23.6217","114.681"
"1910","Venezuela","Jan","VEN","23.6859","48.0495"
"1910","Venezuela","Feb","VEN","24.8726","49.1728"
"1910","Venezuela","Mar","VEN","24.4192","64.6322"
"1910","Venezuela","Apr","VEN","24.995","115.235"
"1910","Venezuela","May","VEN","25.4675","261.755"
"1910","Venezuela","Jun","VEN","24.3717","278.246"
"1910","Venezuela","Jul","VEN","24.445","283.983"
"1910","Venezuela","Aug","VEN","24.6101","280.502"
"1910","Venezuela","Sep","VEN","24.6097","253.933"
"1910","Venezuela","Oct","VEN","24.6457","156.65"
"1910","Venezuela","Nov","VEN","24.9609","114.752"
"1910","Venezuela","Dec","VEN","24.3944","100.593"
"1911","Venezuela","Jan","VEN","24.4554","43.9033"
"1911","Venezuela","Feb","VEN","24.4231","45.8641"
"1911","Venezuela","Mar","VEN","25.5432","60.3988"
"1911","Venezuela","Apr","VEN","25.1971","128.462"
"1911","Venezuela","May","VEN","24.3796","178.284"
"1911","Venezuela","Jun","VEN","24.6967","280.771"
"1911","Venezuela","Jul","VEN","24.1854","286.822"
"1911","Venezuela","Aug","VEN","24.7908","281.868"
"1911","Venezuela","Sep","VEN","25.0868","196.537"
"1911","Venezuela","Oct","VEN","24.7896","199.139"
"1911","Venezuela","Nov","VEN","24.8407","146.273"
"1911","Venezuela","Dec","VEN","24.2787","122.158"
"1912","Venezuela","Jan","VEN","24.5169","35.3374"
"1912","Venezuela","Feb","VEN","25.0269","35.5476"
"1912","Venezuela","Mar","VEN","25.0653","44.3765"
"1912","Venezuela","Apr","VEN","25.184","98.3571"
"1912","Venezuela","May","VEN","25.322","192.827"
"1912","Venezuela","Jun","VEN","24.7413","292.67"
"1912","Venezuela","Jul","VEN","24.6627","348.8"
"1912","Venezuela","Aug","VEN","24.8576","279.037"
"1912","Venezuela","Sep","VEN","24.7363","206.008"
"1912","Venezuela","Oct","VEN","24.5967","190.941"
"1912","Venezuela","Nov","VEN","24.5261","122.251"
"1912","Venezuela","Dec","VEN","24.1628","106.956"
"1913","Venezuela","Jan","VEN","23.9156","52.0665"
"1913","Venezuela","Feb","VEN","25.3673","46.409"
"1913","Venezuela","Mar","VEN","25.338","50.8764"
"1913","Venezuela","Apr","VEN","25.6404","88.9325"
"1913","Venezuela","May","VEN","25.555","211.467"
"1913","Venezuela","Jun","VEN","24.4962","379.457"
"1913","Venezuela","Jul","VEN","23.9755","343.643"
"1913","Venezuela","Aug","VEN","24.1308","257.727"
"1913","Venezuela","Sep","VEN","24.6654","207.91"
"1913","Venezuela","Oct","VEN","24.3887","202.396"
"1913","Venezuela","Nov","VEN","24.2919","119.822"
"1913","Venezuela","Dec","VEN","23.6069","105.131"
"1914","Venezuela","Jan","VEN","24.2115","35.9269"
"1914","Venezuela","Feb","VEN","24.8241","37.1616"
"1914","Venezuela","Mar","VEN","25.431","44.7721"
"1914","Venezuela","Apr","VEN","25.2428","115.82"
"1914","Venezuela","May","VEN","24.2791","196.377"
"1914","Venezuela","Jun","VEN","24.3924","292.045"
"1914","Venezuela","Jul","VEN","24.2457","391.268"
"1914","Venezuela","Aug","VEN","23.9506","279.666"
"1914","Venezuela","Sep","VEN","24.3544","227.082"
"1914","Venezuela","Oct","VEN","24.1771","195.01"
"1914","Venezuela","Nov","VEN","24.5188","123.511"
