"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation","AWindSpeed","RainDays","SnowDays","StormDays","FoggyDays","TornadoDays","HailDays"
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,22.6,27.6,18.3,NA,8.9,160,0,7,19,0,0
1944,22.1,27.3,17.6,NA,10.2,159,0,8,0,0,0
1945,22.4,27.7,17.8,NA,9.5,159,0,11,3,0,0
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,23.8,28.4,19.1,NA,NA,78,0,12,1,0,1
1974,22.8,26.3,19.6,312.4,13.05,133.5,0,11.5,1.5,0,0
1975,22.8,26.2,19.8,NA,14.45,142,0.5,20,1,0,0
1976,22.75,26.15,19.6,NA,14.65,124,0,11,3,1,0
1977,22.35,25.85,19.15,NA,15.2,128,0,3,2,0.5,0.5
1978,23.2666666666667,26.4666666666667,20.5333333333333,NA,19.2,91.6666666666667,0.333333333333333,5,0.333333333333333,0.666666666666667,0.333333333333333
1979,22.45,26.65,18.4,34.55,14.8,125,0,9.5,0.5,0,1
1980,22.65,27.05,18.45,106.675,15.1,114.5,0,10,0,0.5,0
1981,22.75,27.25,18.4,171.34,14,104.666666666667,0,8.66666666666667,1.33333333333333,0,0
1982,22.5333333333333,26,18.8333333333333,1324.52,14.0333333333333,120,0,6,0.333333333333333,0,0.333333333333333
1983,23,26.8,20,950.46,19.5,107.5,0,7.5,0,0,0
1984,23.225,26.675,19.325,1212.2625,13.35,117.25,0,5.75,0.75,0,0
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,22,25.36,18.24,975.818,13.92,72.1666666666667,0,3.66666666666667,0.5,0,0
1987,21.4666666666667,24.4666666666667,18,483.598333333333,14.76,65.8333333333333,0,1.33333333333333,1,0,0
1988,21.6,24.56,18.68,776.722,19.7,80.2,0,5.8,0.6,0,0
1989,20.725,23.825,17.8,655,19.375,74.75,0,5.25,0.25,0,0
1990,21.6666666666667,24.4833333333333,18.3333333333333,728.676666666667,18.06,63.8333333333333,0,6.16666666666667,1,0,0
1991,20.74,23.52,17.92,351.278,21.02,49.2,0.2,1.6,0.2,0,0
1992,18.4333333333333,20.6333333333333,16.4666666666667,0,26.4666666666667,0,0,0,0,0,0
1993,20.05,23.65,16.25,426.995,16.5,75.3333333333333,0,1,0,0,0
1994,20.36,23.28,17.56,273.114,21.45,45,0,0.8,0.4,0,0
1995,23.175,25.7,21.1,299.1525,26.8333333333333,0,0,0,0,0,0
1996,22.5142857142857,26.3142857142857,18.9285714285714,1288.27142857143,14.6571428571429,59.4285714285714,0,6.28571428571429,0.714285714285714,0,0
1997,21.6111111111111,24.7555555555556,18.4666666666667,685.806666666667,19.9888888888889,26.7272727272727,0,0.909090909090909,0,0,0.0909090909090909
1998,23.9833333333333,27.15,20.975,946.501666666667,17.8,41.75,0,4.33333333333333,0.25,0,0
1999,23.4111111111111,26.7777777777778,20.2111111111111,133.995,13.3,61.2222222222222,0,5.88888888888889,0.444444444444444,0,0
2000,21.9272727272727,25.1636363636364,18.8909090909091,228.328333333333,19.73,45.8181818181818,0,3.09090909090909,0.818181818181818,0,0
2001,23.4333333333333,27.5333333333333,19.4888888888889,429.4225,13.625,50.4444444444444,0,5,0.333333333333333,0,0
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,23.2,26.9375,19.6,940.1575,15.5571428571429,36.75,0,1.125,0.375,0,0
2004,22.1272727272727,25.5909090909091,18.8909090909091,643.838181818182,15.7375,19.6666666666667,0,1.16666666666667,0,0,0
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,23.2444444444444,26.7333333333333,19.8666666666667,760.774444444444,16.6571428571429,36.3333333333333,0,1.22222222222222,6.55555555555556,0.111111111111111,0
2007,23.08,26.66,19.67,938.466,16.1333333333333,29.8,0,1,3.5,0,0
2008,22.7125,26.7875,18.8375,1421.16428571429,13.8142857142857,42.1111111111111,0.111111111111111,2.44444444444444,0.555555555555556,0,0
2009,22.2,26.3428571428571,18.2285714285714,1449.59833333333,14.4,42.7142857142857,0,2.28571428571429,3.85714285714286,0,0
2010,23.5,27,20.4,774.026,16.2375,19.3636363636364,0,1.54545454545455,3.54545454545455,0,0
2011,23.4,27.22,20.16,1616.278,14,33.3333333333333,0,0,5.66666666666667,0,0
2012,22.74,26.13,19.82,1371.306,13.6666666666667,19,0,0,3.1,0,0
2013,23.6375,26.9875,20.825,827.5675,14.72,23.375,0,0,4.625,0,0
2014,22.7875,26.375,20,569.7525,16.575,30.25,0,0,3.75,0,0
2015,23.01,26.62,20.4111111111111,845.961,15,37.9,0,0,3.2,0,0
2016,23.9285714285714,28.2714285714286,20.5166666666667,765.197142857143,12.0428571428571,55.4285714285714,0,0.571428571428571,6,0,0
2017,23.025,27.725,19.2,1007.255,12.275,74,0,0.75,5.25,0,0
2018,22.8666666666667,27.3,20.1,995.046666666667,13,93.6666666666667,0,1.66666666666667,4.33333333333333,0,0
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
