"Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","APrecipitation"
1901,"Ukraine",-6.6196,-4.1718,2.30377,8.9475,15.2948,21.7621,21.1137,20.6625,13.6542,8.72683,1.00662,0.48656,31.8412,42.5149,34.9407,45.0298,38.0813,68.3536,61.7427,63.5314,35.619,32.647,24.0801,52.2638,NA,NA,NA,NA
1902,"Ukraine",-0.7607,-2.7888,0.96395,6.45815,13.0698,18.8741,18.5543,19.287,13.5256,6.93645,-2.7984,-7.3887,27.0729,28.4455,30.5617,37.1213,75.2217,68.8079,78.277,49.7928,24.3685,60.0144,6.8909,44.1399,NA,NA,NA,NA
1903,"Ukraine",-4.6224,-0.497,2.96909,9.55019,15.0703,19.3017,20.5902,19.2325,15.2198,8.1898,3.07346,-3.406,24.0466,25.4513,10.3318,42.0278,57.9171,102.683,65.3074,38.8017,6.48777,51.713,47.5523,18.2964,NA,NA,NA,NA
1904,"Ukraine",-7.122,-0.5624,-0.9169,7.33471,12.9335,17.1392,19.5349,19.144,13.3126,9.06354,1.14156,-1.4613,18.9568,34.884,25.0264,24.7529,45.0215,51.761,26.2257,41.0642,44.3552,42.7429,37.2314,32.7717,NA,NA,NA,NA
1905,"Ukraine",-7.6553,-3.6857,-0.2206,7.10127,15.8351,19.7935,20.8014,20.9051,15.5061,8.73845,4.60233,-2.7941,28.634,12.1303,19.4277,57.6175,42.1767,76.2155,45.1892,45.9972,47.1629,87.7971,64.4301,32.458,NA,NA,NA,NA
1906,"Ukraine",-3.7118,-3.3579,3.29087,10.1377,17.8659,19.6553,20.7085,17.9956,13.0174,7.18127,3.72232,-2.33,43.6826,25.4639,46.864,25.2771,70.7421,62.1216,104.608,56.8249,60.9779,36.3449,43.7412,62.1615,NA,NA,NA,NA
1907,"Ukraine",-7.4451,-7.2827,-1.4154,5.9678,16.79,18.3791,19.7301,18.6326,14.1701,10.6917,-1.3369,-4.4249,29.3415,19.4946,40.4833,44.6512,25.1861,72.7708,75.4427,31.5752,21.725,11.7338,47.2943,49.755,NA,NA,NA,NA
1908,"Ukraine",-5.2334,-2.0821,-0.3544,7.00097,14.9038,18.5796,19.9579,18.6446,14.0109,6.55975,-2.417,-5.96,40.8233,61.5045,21.2126,45.7785,34.1967,59.0387,82.92,48.0146,55.4436,22.8908,37.704,18.088,NA,NA,NA,NA
1909,"Ukraine",-8.4775,-8.1124,0.11593,6.80538,13.8297,17.8735,20.4309,20.3497,18.2071,11.2143,2.82983,-0.4386,29.2391,36.4653,44.9575,37.7106,36.9082,85.9429,47.826,20.5849,28.8446,26.1019,62.5092,35.2982,NA,NA,NA,NA
1910,"Ukraine",-2.6776,-0.753,1.60437,9.56653,15.857,19.5597,20.2208,18.5255,14.5049,6.94693,3.34456,-0.5185,51.0275,22.3343,14.2374,51.0091,41.6222,61.5366,109.066,63.8839,26.6723,29.6144,69.849,24.9971,NA,NA,NA,NA
1911,"Ukraine",-6.0662,-10.127,-0.4405,8.20032,16.214,17.1535,19.3308,19.4666,14.0436,8.7188,3.94658,-3.0091,33.1431,27.0772,19.7959,33.8673,46.4311,88.3239,63.0046,79.3567,37.2889,35.2817,25.6566,27.3214,NA,NA,NA,NA
1912,"Ukraine",-8.0566,-4.5189,3.29445,6.73122,12.3052,19.1915,18.4106,18.6003,13.27,4.58217,1.38937,0.07391,52.9875,39.9298,34.9848,55.7904,69.345,73.7758,76.2263,72.1382,86.4598,48.8358,32.5936,47.8779,NA,NA,NA,NA
1913,"Ukraine",-4.8217,-4.579,4.12908,10.6222,13.2114,16.5926,18.8388,19.8079,15.3493,7.9572,4.35529,0.30161,28.8455,15.3728,19.7756,36.7512,63.3944,77.1635,107.77,72.6364,50.252,13.1262,44.4209,48.5554,NA,NA,NA,NA
1914,"Ukraine",-5.2091,0.22469,4.40237,9.05933,15.2573,18.5092,21.0729,18.015,12.5623,6.99605,-1.392,-1.5311,34.4187,11.523,56.9048,28.3638,52.9041,74.2558,89.91,49.036,66.4952,48.971,30.1851,28.8167,NA,NA,NA,NA
