"Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain","ATemperature","AMaxTemperature","AMinTemperature","APrecipitation"
1901,"Venezuela",25.4643,25.5467,26.4528,26.7433,25.8726,24.4525,25.2436,25.1643,24.4895,24.4918,24.4242,24.1112,38.2362,55.2867,59.114,139.459,210.356,255.119,280.776,269.314,174.691,144.019,113.733,120.713,NA,NA,NA,NA
1902,"Venezuela",24.3384,24.7981,24.892,25.6356,25.3086,24.3772,24.2084,25.0215,24.326,24.5217,25.1574,24.6556,51.6612,47.5269,70.3613,112.26,196.125,305.221,241.582,227.552,194.031,175.873,138.892,82.3938,NA,NA,NA,NA
1903,"Venezuela",24.4498,25.417,25.2904,25.504,25.0019,24.414,25.0642,24.8729,24.7578,24.8489,24.479,23.9658,42.8627,53.2609,68.7295,115.454,181.061,311.085,268.309,257.437,200.537,161.346,134.914,104.263,NA,NA,NA,NA
1904,"Venezuela",23.9493,24.7527,24.581,25.3076,24.6292,24.2071,24.6826,24.5181,24.8342,24.1389,24.7383,24.1061,48.1432,45.2048,68.8599,118.739,219.227,245.865,318.751,307.13,223.403,147.574,217.279,99.2506,NA,NA,NA,NA
1905,"Venezuela",24.2737,24.1692,24.6421,25.6825,24.4259,23.9899,24.7863,25.0959,25.0555,24.7257,24.9139,23.657,41.9706,60.4878,54.5906,114.585,209.194,238.548,328.434,276.936,193.599,181.484,128.284,108.369,NA,NA,NA,NA
1906,"Venezuela",24.0395,24.3857,25.0746,25.3232,24.8805,24.0944,24.4014,24.8706,24.3328,25.1616,24.9549,23.5411,39.7569,75.6455,54.5075,140.038,173.274,242.299,272.35,251.817,204.074,138.91,126.209,81.8889,NA,NA,NA,NA
1907,"Venezuela",24.2141,24.8095,24.8936,25.2934,24.189,23.7676,24.4416,24.647,24.767,24.5742,24.4684,24.1881,51.9991,60.4528,71.4046,116.849,203.14,269.646,274.105,218.393,173.773,155.658,141.513,83.5727,NA,NA,NA,NA
1908,"Venezuela",24.2747,24.3478,24.5965,24.8745,24.3363,24.0439,24.3924,24.6664,24.8739,24.3554,24.3623,24.3996,42.0327,43.3038,59.5051,104.702,179.138,326.295,428.711,298.468,254.239,181.045,118.921,81.1434,NA,NA,NA,NA
1909,"Venezuela",24.1879,24.7579,25.612,25.568,24.6918,23.7667,24.3106,24.4888,24.3344,24.3778,24.7317,23.6217,45.4768,53.0272,59.7866,105.413,170.755,365.348,262.539,253.946,166.409,164.522,121.019,114.681,NA,NA,NA,NA
1910,"Venezuela",23.6859,24.8726,24.4192,24.995,25.4675,24.3717,24.445,24.6101,24.6097,24.6457,24.9609,24.3944,48.0495,49.1728,64.6322,115.235,261.755,278.246,283.983,280.502,253.933,156.65,114.752,100.593,NA,NA,NA,NA
1911,"Venezuela",24.4554,24.4231,25.5432,25.1971,24.3796,24.6967,24.1854,24.7908,25.0868,24.7896,24.8407,24.2787,43.9033,45.8641,60.3988,128.462,178.284,280.771,286.822,281.868,196.537,199.139,146.273,122.158,NA,NA,NA,NA
1912,"Venezuela",24.5169,25.0269,25.0653,25.184,25.322,24.7413,24.6627,24.8576,24.7363,24.5967,24.5261,24.1628,35.3374,35.5476,44.3765,98.3571,192.827,292.67,348.8,279.037,206.008,190.941,122.251,106.956,NA,NA,NA,NA
1913,"Venezuela",23.9156,25.3673,25.338,25.6404,25.555,24.4962,23.9755,24.1308,24.6654,24.3887,24.2919,23.6069,52.0665,46.409,50.8764,88.9325,211.467,379.457,343.643,257.727,207.91,202.396,119.822,105.131,NA,NA,NA,NA
1914,"Venezuela",24.2115,24.8241,25.431,25.2428,24.2791,24.3924,24.2457,23.9506,24.3544,24.1771,24.5188,24.8023,35.9269,37.1616,44.7721,115.82,196.377,292.045,391.268,279.666,227.082,195.01,123.511,76.6232,NA,NA,NA,NA
1915,"Venezuela",24.6855,25.0523,26.0154,25.6533,25.8153,24.7848,24.6273,25.841,24.9911,25.6036,25.314,24.8672,40.6532,64.8572,61.0269,111.967,169.468,350.591,325.686,347.748,179.469,158.807,108.475,79.4991,NA,NA,NA,NA
1916,"Venezuela",24.5012,25.3531,25.5114,26.0249,25.4387,24.4926,24.8337,24.5341,25.2309,25.0554,24.9831,24.36,49.2247,52.0708,63.863,99.4701,199.444,269.989,333.146,291.095,179.229,173.201,177.62,81.2513,NA,NA,NA,NA
1917,"Venezuela",24.3952,24.7509,25.4278,25.7571,25.6646,24.8686,24.8052,24.5036,25.0339,25.0649,25.4147,24.9279,51.3485,46.8218,52.6434,123.148,221.118,264.14,286.423,283.325,182.372,159.083,168.82,116.34,NA,NA,NA,NA
1918,"Venezuela",24.6633,24.9416,25.3095,25.5234,25.0711,24.7048,24.5734,25.1971,25.5571,25.5869,25.1447,24.4444,47.288,40.5463,79.7901,111.12,251.204,322.113,325.226,240.906,154.841,152.721,146.329,77.9629,NA,NA,NA,NA
1919,"Venezuela",23.6989,24.7541,25.5798,25.1428,24.888,24.9178,24.5156,24.5248,24.6603,24.3295,24.1962,24.2111,38.7186,47.8536,69.0064,137.587,215.626,232.461,277.188,236.006,208.467,139.306,140.487,81.4105,NA,NA,NA,NA
1920,"Venezuela",23.6918,24.373,25.4686,25.3007,24.5179,24.2227,24.125,24.3279,24.3651,24.887,24.2976,23.5602,50.4553,54.6178,49.39,137.86,198.488,298.668,366.902,260.5,220.445,157.846,108.452,89.8288,NA,NA,NA,NA
1921,"Venezuela",24.6844,25.4526,25.6474,25.3605,25.4449,24.2525,24.076,24.5709,25.0948,24.5974,24.9839,24.3698,34.7328,29.9847,91.8273,186.366,147.611,298.409,353.063,201.283,145.842,284.058,154.047,73.9631,NA,NA,NA,NA
1922,"Venezuela",24.4976,24.7833,25.0371,25.4523,24.8714,24.0717,24.2026,24.4469,24.8848,25.1058,24.7597,23.7432,44.3313,38.9565,106.36,54.5619,186.382,269.017,196.076,297.401,218.875,164.576,152.779,132.339,NA,NA,NA,NA
1923,"Venezuela",24.0604,24.4813,24.773,25.5473,25.3466,24.3562,24.2907,24.6754,25.2276,25.0889,25.4043,24.5549,44.5343,42.4435,51.3265,109.772,254.007,250.599,244.87,244.137,177.878,131.324,93.9629,100.021,NA,NA,NA,NA
1924,"Venezuela",24.527,25.4261,26.0509,26.1588,25.5329,24.1384,23.9798,24.6295,24.4459,24.5594,24.6679,24.0063,34.8886,23.8802,24.6384,58.9769,118.669,266.591,305.81,223.346,248.552,150.763,166.247,117.168,NA,NA,NA,NA
1925,"Venezuela",23.8224,24.5894,25.0596,25.717,25.4104,24.4684,24.2953,24.4227,24.7255,25.2563,25.0936,25.0484,28.7926,32.5068,90.1462,77.3393,116.778,194.328,264.983,425.589,196.664,122.111,145.488,42.6402,NA,NA,NA,NA
1926,"Venezuela",24.9759,25.7181,26.1638,26.474,26.0434,25.5014,24.6391,24.6632,24.6891,25.1073,25.2407,24.327,23.5663,22.6163,28.1503,37.5161,172.045,220.237,281.995,303.569,247.294,137.464,173.076,119.476,NA,NA,NA,NA
1927,"Venezuela",24.3743,24.4302,25.5592,25.1348,24.7696,24.1675,23.7317,24.4453,24.7361,24.8084,25.3249,24.6086,67.3132,84.804,62.9814,216.255,264.766,371.656,331.606,255.19,171.706,186.876,165.316,84.0602,NA,NA,NA,NA
1928,"Venezuela",24.4037,25.0985,25.4045,26.0065,25.1666,24.3118,24.2526,24.522,24.9277,24.9468,25.0287,24.2881,46.3544,62.4697,40.2516,86.4055,209.394,232.666,281.148,258.947,274.977,117.963,172.668,75.014,NA,NA,NA,NA
1929,"Venezuela",24.1048,25.0989,25.1702,25.3883,24.5426,24.178,24.2135,24.6508,24.949,25.2242,25.039,24.256,31.0201,19.4356,93.075,143.987,313.687,237.614,286.156,162.615,222.216,136.817,172.92,66.8263,NA,NA,NA,NA
1930,"Venezuela",24.2168,24.9441,25.2179,25.783,25.2138,24.4811,24.2556,24.5135,24.8285,25.057,25.0299,24.6354,48.9951,25.5607,37.5828,183.395,260.421,250.905,251.831,152.038,212.41,192.863,149.491,47.4922,NA,NA,NA,NA
1931,"Venezuela",25.1344,25.5135,26.609,26.4687,25.6198,24.6984,24.0757,24.843,24.6577,25.1313,25.3541,24.749,27.2867,30.5626,51.5454,78.3848,364.59,362.729,318.965,360.783,279.099,147.063,192.309,125.801,NA,NA,NA,NA
1932,"Venezuela",24.734,25.4901,26.0997,26.7794,25.6429,24.9861,24.6734,24.9053,25.6132,25.4309,25.8478,25.032,63.6942,63.2057,46.5101,169.589,274.968,204.13,218.417,217.41,154.113,131.052,124.606,65.7299,NA,NA,NA,NA
1933,"Venezuela",24.7961,24.7601,25.7968,26.1212,25.5958,24.5771,24.544,24.6288,25.0802,24.8691,24.8627,24.3542,50.3953,32.8885,83.1784,79.6853,249.745,291.307,297.283,428.558,185.858,165.849,174.924,99.7742,NA,NA,NA,NA
1934,"Venezuela",24.2953,24.5605,25.0621,26.2779,25.7953,25.2858,24.6503,25.0521,25.398,25.0725,25.4334,24.9575,76.7521,31.9471,32.743,56.9519,116.49,163.504,407.9,220.07,234.239,276.977,103.916,64.2832,NA,NA,NA,NA
1935,"Venezuela",24.9218,25.1606,25.4386,25.905,25.0863,24.6529,24.5505,24.5161,25.0685,25.3587,25.3388,24.9413,29.073,34.1051,46.9804,65.9836,170.026,242.11,299.395,374.488,167.802,181.011,115.1,67.9948,NA,NA,NA,NA
1936,"Venezuela",24.6771,25.1078,26.0916,25.9803,25.7266,24.6916,24.5603,25.097,25.2748,25.2369,25.4968,24.7608,36.4704,15.953,97.7352,117.189,321.204,336.254,296.457,189.167,169.854,178.813,96.9157,60.9833,NA,NA,NA,NA
1937,"Venezuela",24.6163,25.1289,26.1876,26.0965,25.4765,24.841,24.4884,24.9693,25.2557,25.7115,25.6632,25.3188,70.2227,19.3907,40.681,208.878,283.836,304.731,275.845,355.145,265.039,114.86,168.369,110.23,NA,NA,NA,NA
1938,"Venezuela",25.012,25.462,25.231,25.2912,24.9169,24.5891,24.6038,24.8254,25.4259,25.6421,25.3725,25.0541,54.2557,55.6445,80.3899,149.864,309.179,280.42,275.307,364.912,249.068,153.115,224.338,122.307,NA,NA,NA,NA
1939,"Venezuela",24.4255,24.4945,25.0095,25.2826,25.4455,24.7194,24.7086,25.2501,25.6015,25.6573,25.8506,25.8207,68.3374,38.2627,55.6558,118.544,148.839,226.196,237.183,239.464,154.97,214.327,90.5871,52.9698,NA,NA,NA,NA
1940,"Venezuela",25.1756,26.038,26.3855,26.6986,26.5807,25.439,25.4015,25.2096,25.9783,25.9951,25.8014,25.2463,18.7804,26.8169,27.0995,86.0731,107.983,207.877,201.546,285.524,188.083,156.669,135.816,74.0238,NA,NA,NA,NA
1941,"Venezuela",25.6391,26.5471,27.0857,27.1218,26.6492,25.1679,25.1927,25.5883,25.8975,26.2898,26.2846,25.9506,47.5481,23.0947,22.2912,57.6216,232.325,380.459,200.359,237.415,170.123,168.648,73.6626,48.4648,NA,NA,NA,NA
1942,"Venezuela",25.8842,26.4405,26.6253,26.5048,25.6405,25.0571,24.8584,25.4164,25.8352,26.0488,25.9845,25.3398,22.4382,26.9062,34.8925,146.667,291.857,376.928,294.365,296.656,208.837,221.512,196.03,138.503,NA,NA,NA,NA
1943,"Venezuela",25.2277,25.2847,25.5598,25.931,24.9447,24.7068,24.4569,24.9466,25.8488,25.9109,25.8261,25.3143,94.9577,72.7121,91.9939,173.026,272.803,295.264,277.142,306.789,126.592,150.857,101.275,104.784,NA,NA,NA,NA
1944,"Venezuela",25.1505,25.3888,25.8001,25.996,25.468,24.6714,24.939,25.4957,25.4922,26.1739,25.8242,25.2976,50.0139,37.7462,116.905,131.997,341.156,336.358,356.453,245.065,259.772,130.677,150.63,122.183,NA,NA,NA,NA
1945,"Venezuela",24.7434,25.0194,25.827,25.7085,25.0862,24.6348,24.7015,25.3263,25.5792,25.5791,25.6273,25.2515,46.2923,53.4177,73.9102,158.605,286.353,372.16,311.855,263.463,170.045,180.456,94.1195,64.0998,NA,NA,NA,NA
1946,"Venezuela",25.0256,25.163,25.8914,25.5611,25.1867,24.8866,24.6407,24.7001,25.4442,25.6532,25.6321,25.5027,43.9606,45.2503,40.9363,243.889,283.102,274.704,239.606,364.367,134.627,168.038,113.738,79.7646,NA,NA,NA,NA
1947,"Venezuela",25.1727,26.1225,26.4269,26.4089,26.016,25.2029,24.5035,25.1119,25.5356,25.7172,25.9269,25.5463,43.5976,23.7536,18.1095,57.3962,178.11,334.241,410.509,254.848,202.22,228.92,62.4231,53.5066,NA,NA,NA,NA
1948,"Venezuela",25.2617,25.2682,25.8305,25.618,25.8576,24.7611,24.3759,24.5526,25.125,25.5422,25.578,24.8989,35.3838,40.9716,68.1398,179.996,263.612,346.115,313.791,305.325,199.959,146.407,154.45,49.3964,NA,NA,NA,NA
1949,"Venezuela",24.2925,24.9431,25.9649,26.0529,25.6434,24.5448,24.2972,24.4527,24.9914,25.2691,25.1626,24.5777,32.6791,48.0796,86.5732,124.268,212.236,285.456,313.125,325.674,263.471,194.308,114.243,107.925,28.5,31.9,24.7,NA
1950,"Venezuela",23.8087,24.6974,25.1208,25.4682,24.9079,23.9239,23.97,24.123,25.0821,24.7763,25.0656,24.6272,82.6095,64.3152,39.8254,98.0949,281.927,341.49,293.851,359.19,166.162,180.599,134.408,93.6976,28.3,31.7,24.5,NA
1951,"Venezuela",24.4829,24.8617,25.5018,26.1425,25.7447,24.8475,24.6731,25.2341,25.8005,26.0407,25.9066,25.4669,89.007,96.0879,85.5044,127.351,220.082,328.763,365.663,295.525,183.593,136.135,92.3748,93.3997,28.7,31.9,25.2,NA
1952,"Venezuela",25.2096,25.7548,26.6409,26.4576,26.1324,25.0274,24.7289,25.0086,25.4471,25.8596,25.4667,25.3398,41.7947,29.7263,25.5197,192.924,186.666,300.685,304.022,257.627,250.915,122.742,93.6514,84.1478,29.1,31.2,26.6,NA
1953,"Venezuela",25.1225,25.2261,25.7842,26.3816,25.269,25.1633,24.6753,25.1655,25.4703,25.6993,25.8868,25.2653,62.8798,80.2006,107.301,132.157,292.934,251.262,309.747,213.794,189.366,114.162,111.841,100.224,29.8,31.7,27.5,NA
1954,"Venezuela",24.7851,25.4041,26.2299,25.5798,25.3784,24.6089,24.3553,24.6193,25.2093,24.7601,24.9894,24.4744,74.167,41.2009,32.4022,240.578,209.285,358.177,319.894,353.014,193.961,292.078,155.306,130.005,29,30.3,27,NA
1955,"Venezuela",24.6137,25.1588,24.8395,25.2729,25.4179,24.6867,24.4683,24.7787,24.8294,25.351,25.2719,24.6791,43.1242,65.0476,97.7787,97.9608,192.864,301.522,331.011,254.787,292.029,223.487,163.728,90.4237,28.8,30.2,26.7,NA
1956,"Venezuela",24.6358,25.0187,25.4595,25.9469,25.0262,24.5086,24.4031,24.3986,24.9334,24.991,25.3133,24.6343,123.539,60.4308,136.513,85.4486,269.706,244.464,254.523,322.999,206.645,246.61,189.155,124.152,NA,NA,NA,NA
1957,"Venezuela",24.2929,25.1382,25.9982,26.0029,25.4939,24.9182,24.7032,25.2335,25.8718,25.8455,25.5191,25.3164,53.9052,26.9318,28.5533,86.9523,235.7,293.579,238.524,200.318,134.975,126.351,163.417,61.7048,NA,NA,NA,NA
1958,"Venezuela",25.7394,26.0962,27.3963,27.0454,26.2486,25.346,25.1063,25.3737,26.1037,25.9299,25.7592,25.5977,39.8544,26.8069,29.5951,110.344,239.745,343.386,258.287,271.727,116.675,114.2,76.4981,50.0944,NA,NA,NA,NA
