"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","Namibia",24.0169,23.7644,22.1711,20.5108,16.3235,14.4032,13.6395,16.2762,18.2654,21.092,22.59,23.6839,25.6379,57.8439,57.2506,24.4841,1.32088,0.07419,0.22981,0.16578,2.40254,9.54992,19.6155,70.0042
"13","1902","Namibia",23.102,23.4906,22.0789,19.8643,17.069,13.7843,14.3212,15.6141,18.5255,21.026,22.0441,24.3442,71.3952,50.8218,46.2226,11.4255,0.20974,1.45472,0.58499,0.42976,5.60944,1.3969,20.606,53.4304
"25","1903","Namibia",24.0278,23.5995,22.3978,20.0311,16.5413,13.6163,13.9085,15.651,18.5566,20.5789,22.2384,23.7924,17.7108,77.5036,25.3808,3.31031,0.92206,0.59415,0.1539,0.26908,2.62913,0.76235,13.3708,69.5054
"37","1904","Namibia",23.1814,22.8824,21.731,19.794,16.149,14.3603,14.0864,15.4001,18.2097,21.0481,22.8672,22.8625,153.926,58.9847,39.0739,16.474,3.48928,0.70056,0.92935,0.11576,1.70763,3.02709,7.65936,8.46161
"49","1905","Namibia",24.0012,23.2431,21.8394,20.4357,16.169,13.8899,14.2025,15.2282,19.005,21.9338,22.8396,24.1699,77.111,77.2859,38.6481,3.02504,1.79099,0.59829,0.03819,1.38534,2.78186,7.68912,14.965,26.2172
"61","1906","Namibia",24.1925,23.023,21.9071,19.4087,16.5141,14.3909,13.2954,14.4993,18.6332,20.4481,22.2655,23.1599,137.75,48.3468,27.797,7.90654,1.29543,1.67087,0.80733,0.24937,1.41517,2.51306,14.8786,38.9838
"73","1907","Namibia",23.35,22.9149,22.0966,19.3378,15.6117,13.9868,13.4247,15.2583,18.6558,20.6878,21.9844,22.9242,86.0302,68.4682,58.3849,40.1298,2.20631,4.61581,0.13787,0.04171,7.46989,11.6843,3.85511,61.5277
"85","1908","Namibia",23.2841,23.3624,21.9671,18.6168,16.6766,14.259,13.9757,15.8717,19.273,21.4117,22.3652,24.0329,25.6588,68.6438,13.5519,1.54829,0.56878,0.0273,1.0522,1.0048,1.12673,0.69534,19.6196,79.6766
"97","1909","Namibia",23.7005,23.012,21.3316,19.7012,16.5547,14.4935,14.1077,15.9893,19.0467,20.8753,23.0188,23.3206,136.375,97.4935,99.2766,34.1191,10.0878,1.3751,0.10534,1.00519,0.10775,6.87751,20.4764,60.4259
"109","1910","Namibia",23.7796,23.2373,22.3602,19.996,16.5737,13.9025,13.8222,15.4675,18.7069,20.6844,21.4604,23.9724,80.8878,90.8789,50.0508,24.3367,0.26853,3.43861,1.33358,0.6487,0.81738,9.92734,10.8683,11.4409
"121","1911","Namibia",23.7006,23.773,21.6292,19.7729,16.2645,13.4888,13.3248,15.0869,18.3343,22.0582,22.9746,24.9966,22.2626,44.0011,42.65,4.78312,5.45946,2.1867,0.92068,1.74206,0.03539,6.07514,26.9876,31.211
"133","1912","Namibia",24.4069,23.4995,22.1406,20.4462,17.2158,13.9356,13.8207,15.5103,17.7955,21.6301,23.7082,24.3357,129.643,97.9144,36.3605,18.6954,1.1697,2.09797,0.41283,0.13278,0.69539,3.40985,12.5976,39.8174
"145","1913","Namibia",24.6103,23.7877,22.1594,20.0088,16.8984,14.3796,13.7988,16.3445,18.5369,21.1863,22.9038,24.5084,22.2579,40.5894,43.5267,36.1143,2.03891,4.51223,0.09989,0.1489,3.78825,5.95953,41.4317,37.0495
