"","Year","Country","JanTemperature","FebTemperature","MarTemperature","AprTemperature","MayTemperature","JunTemperature","JulTemperature","AugTemperature","SepTemperature","OctTemperature","NovTemperature","DecTemperature","JanRain","FebRain","MarRain","AprRain","MayRain","JunRain","JulRain","AugRain","SepRain","OctRain","NovRain","DecRain"
"1","1901","France",1.97471,-0.3691,4.4733,9.78651,12.958,16.9689,19.108,18.0125,15.5242,10.4494,4.36819,3.12069,40.929,34.7865,90.9714,83.16,42.6287,49.8409,83.5926,50.5578,109.712,96.5855,25.0669,96.8427
"13","1902","France",3.63617,2.81331,7.06779,10.4252,9.72844,15.1308,18.3357,17.3228,14.7911,9.97346,5.66103,2.78467,43.6233,68.6976,64.3487,75.9919,69.532,70.0313,46.2754,83.5714,52.6958,68.8822,66.8391,52.3753
"25","1903","France",3.16155,5.40226,7.40526,6.77019,12.7177,14.7647,17.3849,17.3325,15.3961,11.9894,6.53614,2.22301,49.5111,22.2146,56.7649,72.5385,70.5266,88.5411,75.7371,65.8312,49.6254,112.656,56.2307,76.7297
"37","1904","France",2.31453,4.31378,5.31368,10.2777,13.6244,16.4062,20.3551,18.6201,13.7611,10.9288,5.00218,4.27568,56.6626,103.262,47.0317,42.7758,59.7913,78.9541,35.7654,48.0276,72.1907,36.0423,32.8111,64.4723
"49","1905","France",1.07739,3.5489,7.22248,9.16099,11.6565,16.5961,20.1117,17.6363,14.7487,7.67433,5.2665,3.18299,51.2773,27.9793,79.0869,47.7388,68.3024,75.3167,35.3907,104.56,99.7818,46.8927,122.484,32.9956
"61","1906","France",3.80028,2.74098,5.32744,8.46809,12.6366,15.986,18.2763,18.9385,15.3264,12.6055,7.20755,1.66468,82.2188,72.7711,55.1657,65.793,53.7499,19.7694,51.8672,24.9943,28.8911,77.3694,113.65,82.5962
"73","1907","France",1.99812,1.52917,5.85167,8.19405,12.709,15.2291,16.469,17.9762,16.0064,11.635,7.2525,5.15762,38.8617,47.3177,36.6256,67.0133,79.4657,64.8466,55.1669,26.7335,65.7973,175.542,64.8413,93.5025
"85","1908","France",1.01646,4.25271,4.79184,7.43306,14.2273,17.0634,17.9516,16.883,14.656,11.6036,5.72818,3.07428,25.5254,58.1288,57.4027,55.766,70.1503,83.0457,66.9972,65.1419,67.0825,29.355,52.2562,72.2178
"97","1909","France",1.46593,1.44492,4.40007,10.3407,12.623,14.2196,16.1758,17.8868,14.112,12.1412,4.60509,4.59258,39.7406,26.917,97.6697,52.5617,40.2561,102.735,56.97,62.065,87.9021,99.9547,44.0392,111.237
"109","1910","France",3.70393,5.03076,6.27916,8.3426,11.73,16.2286,16.442,17.2535,13.9933,11.7101,5.55451,5.61839,88.9494,100.09,46.4596,63.71,95.6856,102.386,79.0376,83.2598,40.8431,91.5601,162.449,107.78
"121","1911","France",0.85459,4.01663,6.21254,8.20696,13.4108,15.8805,20.7767,21.0473,17.3359,11.4144,7.11373,6.03701,30.3255,29.0295,58.7194,40.62,71.4618,83.0004,24.9635,35.1553,53.9521,115.326,105.082,106.001
"133","1912","France",4.06547,6.45127,8.35894,8.93807,13.6248,15.6843,17.9051,15.2593,12.3484,9.73998,4.88519,4.92978,76.2323,63.5975,93.6707,35.0476,58.0911,80.1257,76.0509,126.898,38.733,87.853,62.1384,48.5013
"145","1913","France",4.79035,4.10142,7.73835,8.97501,12.8631,15.8529,16.2635,17.3515,15.074,12.0951,8.96966,3.56604,85.2113,36.5572,79.5598,84.8063,87.4613,56.6526,60.9428,47.9186,83.625,89.6922,87.2346,63.6932
"157","1914","France",-0.0571,5.94576,7.23898,11.1287,11.8707,15.0577,17.3125,18.131,15.0553,10.3968,5.82354,5.41615,33.33,66.343,111.022,42.862,87.2508,73.8913,98.2648,75.3789,62.3003,78.0985,70.5368,111.308
"169","1915","France",3.18624,3.84982,5.34095,8.28789,14.2955,17.3119,17.3373,17.2711,14.3353,9.20197,4.15977,6.75924,95.2187,91.5925,42.6906,69.0525,96.4507,76.4128,67.2465,46.3567,74.4966,51.7978,78.8143,109.545
