"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,NA,NA,NA,NA
1995,NA,NA,NA,NA
1996,NA,NA,NA,NA
1997,NA,NA,NA,NA
1998,NA,NA,NA,NA
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,NA,NA,NA,NA
2002,NA,NA,NA,NA
2003,26.8,31.3,23.9,2464.61
2004,NA,NA,NA,NA
2005,NA,NA,NA,NA
2006,26.9,31.3,23.9,NA
2007,26.8,31.2,23.9,NA
2008,26.8,31.1,23.8,NA
2009,26.9,31,23.9,NA
2010,27.1,31.1,24.3,NA
2011,25.15,30.05,21.9,NA
2012,26.5,31.7333333333333,22.2666666666667,1190.25
2013,26.5666666666667,31.8333333333333,22.4666666666667,773.14
2014,25.8,31.125,20.55,NA
2015,26,31.45,20.6,NA
2016,26.175,31.675,21,999.24
2017,26.025,31.475,20.8,1214.105
2018,25.9,31.4,20.85,NA
2019,NA,NA,NA,NA
