"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1957,NA,NA,NA,NA
1958,20.7,24.2,16.5,0
1959,NA,NA,NA,NA
1961,NA,NA,NA,NA
1962,NA,NA,NA,NA
1963,NA,NA,NA,NA
1964,NA,NA,NA,NA
1965,NA,NA,NA,NA
1966,20.2,24.1,16.2,0
1967,NA,NA,NA,NA
1973,19.4,23.7,15.1,277.09
1974,19.6,23.6,15.5,471.71
1975,19.5,23.6,15.5,443.25
1976,NA,NA,NA,NA
1977,19.7,23.7,15.6,299.7
1978,NA,NA,NA,NA
1979,20.2,24,16.2,NA
1980,19.5,23.5,15.5,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,20.1,23.7,16.5,191.77
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,20.6,23.8,17.2,NA
1994,21.2,24.3,18,317.5
1995,13.75,17.65,9.75,681.495
1996,13,17.1,8.75,492.635
1997,13.45,17.35,9.4,657.6
1998,14.05,17.8,10.2,759.26
1999,16.4666666666667,20.5333333333333,12.2,597.13
2000,16.225,21.025,11.425,NA
2001,19.6333333333333,24.7,15.0666666666667,475.49
2002,NA,NA,NA,NA
2003,18.75,24,14.15,911.995
2004,21,24.2,18,NA
2005,NA,NA,NA,NA
2006,NA,NA,NA,NA
2007,21.2,24.9,17.9,NA
2008,21.4,25.4,17.9,NA
2009,19.3333333333333,24.6333333333333,14.6666666666667,942.39
2010,20.7666666666667,26.4,15.9666666666667,587.135
2011,18.9,24.2333333333333,14.3666666666667,678.45
2012,19.5333333333333,24.8666666666667,14.9666666666667,883.95
2013,19.4666666666667,25.0666666666667,14.6333333333333,610.855
2014,19.7666666666667,25.2666666666667,14.9666666666667,502.62
2015,20.95,25.6,16.95,NA
2016,21.15,25.7,17.15,688.35
2017,20.95,25.2,17.3,608.31
2018,21.2,26.1,17.1,NA
2019,NA,NA,NA,NA
