"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1940,NA,NA,NA,NA
1941,NA,NA,NA,NA
1942,NA,NA,NA,NA
1943,NA,NA,NA,NA
1944,NA,NA,NA,NA
1945,13.3,18.9,8.1,NA
1946,11.9,17.3,6.8,NA
1947,13.3,18.6,8.3,NA
1948,12.7,18.4,7.6,NA
1949,NA,NA,NA,NA
1950,12.7,18,7.8,NA
1951,12.1,17,7.6,NA
1952,12.6,17.8,7.7,NA
1953,12.2,17.7,7.1,NA
1954,11.9,16.8,7.3,NA
1955,10.4,13.4,6.2,NA
1956,8.7,12.4,4.9,NA
1957,NA,NA,NA,NA
1958,NA,NA,NA,NA
1961,NA,NA,NA,NA
1962,9,12.8,5.2,NA
1963,8.8,12.6,5.2,NA
1964,NA,NA,NA,NA
1965,NA,NA,NA,NA
1966,NA,NA,NA,NA
1973,11.28,15.9066666666667,6.89333333333333,725.241538461538
1974,11.56,15.8266666666667,7.40666666666667,889.033571428571
1975,11.4142857142857,15.6,7.37857142857143,775.080769230769
1976,11.744,16.18,7.364,713.327083333333
1977,11.6894736842105,16.3947368421053,7.8,848.736666666667
1978,11.2448275862069,15.8931034482759,7.30689655172414,777.782142857143
1979,11.25,14.7464285714286,7.78214285714286,942.247857142857
1980,10.93,14.5241379310345,7.4448275862069,857.307931034483
1981,11.3678571428571,14.975,7.76785714285714,922.308518518519
1982,12.4826086956522,16.6478260869565,8.08695652173913,1103.15684210526
1983,13.2210526315789,17.05,9.2,789.602894736842
1984,12.1825,15.895,8.2175,957.38925
1985,12.135,16.045,8.0525,704.51575
1986,12.53,16.3225,8.595,824.38525
1987,12.415,16.2475,8.5875,782.80641025641
1988,13.1594594594595,17.0702702702703,9.26756756756757,710.323333333333
1989,NA,NA,NA,NA
1990,13.5547619047619,18.1428571428571,9.20238095238095,688.079761904762
1991,12.3787234042553,17.4063829787234,8.22978723404255,662.585744680851
1992,12.5485714285714,17.5342857142857,8.54285714285714,855.812058823529
1993,12.28,17.04,8.2,804.050588235294
1994,13.2852941176471,17.6382352941176,9.27352941176471,914.09
1995,13.325,17.61875,9.03125,792.77625
1996,11.79375,16.34375,7.575,799.1071875
1997,12.7066666666667,17.4766666666667,8.30666666666667,724.858666666667
1998,12.4689655172414,17.2448275862069,7.99310344827586,730.263103448276
1999,13.009375,17.6375,8.8375,829.6115625
2000,12.7928571428571,17.4690476190476,8.56190476190476,807.626818181818
2001,12.515625,17.196875,8.321875,749.88375
2002,NA,NA,NA,NA
2003,13.2744186046512,18.3046511627907,8.61860465116279,513.095
2004,12.3083333333333,16.9375,8.01666666666667,661.239302325581
2005,NA,NA,NA,NA
2006,13.2830188679245,18.1018867924528,8.91132075471698,755.247291666667
2007,12.4952380952381,17.4357142857143,8.03095238095238,752.479743589744
2008,12.3566037735849,16.9754716981132,8.13207547169811,907.775744680851
2009,13.098,18.044,8.54,743.502978723404
2010,12.056862745098,16.7882352941176,7.60196078431373,800.85652173913
2011,13.3211538461538,18.4230769230769,8.62115384615385,653.445744680851
2012,12.6423076923077,17.5288461538462,8.15769230769231,841.34
2013,12.3333333333333,17.0270833333333,8.03333333333333,896.514545454545
2014,13.4125,18.3416666666667,8.96666666666667,884.586136363636
2015,13.33,18.394,8.62682926829268,686.158913043478
2016,13.0044444444444,17.9822222222222,8.15348837209302,760.19175
2017,13.2729166666667,18.5020833333333,8.30869565217391,652.381860465116
2018,13.7744186046512,18.8674418604651,8.75555555555556,820.770810810811
2019,NA,NA,NA,NA
