"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1929,NA,NA,NA,NA
1930,9.7,12.25,7.15,NA
1931,10.05,12.55,7.85,NA
1932,10.3333333333333,12.8333333333333,7.96666666666667,NA
1933,10.45,13.15,7.9,NA
1934,10.35,12.9,7.85,NA
1935,10.1,12.7,7.45,NA
1936,10.25,12.8,7.1,NA
1937,10.1333333333333,12.6333333333333,7.03333333333333,NA
1938,10.5666666666667,13.1333333333333,7.63333333333333,NA
1939,NA,NA,NA,NA
1973,9.93846153846154,12.7923076923077,7.06153846153846,913.963846153846
1974,9.52307692307692,12.3538461538462,6.65384615384615,1034.18615384615
1975,10.1153846153846,13.0461538461538,7.10769230769231,815.64
1976,9.9,12.9,6.92307692307692,923.342307692308
1977,9.7,12.6461538461538,6.70769230769231,1021.56769230769
1978,9.88181818181818,12.8272727272727,6.93636363636364,961.246363636364
1979,8.95,12.1142857142857,5.84285714285714,1072.625
1980,9.6,12.6571428571429,6.56428571428571,1107.19
1981,9.73571428571429,12.7857142857143,6.75,1034.57285714286
1982,9.88571428571429,13.0928571428571,6.57142857142857,1174.36642857143
1983,10.1785714285714,13.2214285714286,7.08571428571429,1009.54571428571
1984,9.8,13.2928571428571,6.32142857142857,1008.12285714286
1985,9.15,12.2571428571429,6.05,1083.40714285714
1986,8.82142857142857,11.9214285714286,5.58571428571429,1140.53214285714
1987,9.49285714285714,12.6357142857143,6.41428571428571,933.077857142857
1988,9.89333333333333,12.9933333333333,6.81333333333333,1059.494
1989,10.3866666666667,13.6533333333333,7.02,929.033333333333
1990,10.3214285714286,13.5857142857143,7.05,1033.94642857143
1991,9.90769230769231,12.9153846153846,6.8,868.803076923077
1992,9.88461538461539,12.8384615384615,6.8,876.411538461538
1993,NA,NA,NA,NA
1994,9.90769230769231,12.8307692307692,6.92307692307692,1036.8
1995,10.5384615384615,13.7846153846154,7.24615384615385,927.3575
1996,9.70833333333333,12.7,6.66666666666667,883.275833333333
1997,10.7307692307692,13.6307692307692,7.72307692307692,994.225
1998,10.3769230769231,13.3846153846154,7.40769230769231,1080.18666666667
1999,10.2384615384615,13.4538461538462,7.14615384615385,1247.74461538462
2000,9.77857142857143,13.1357142857143,6.6,1253.29928571429
2001,9.72142857142857,13.1571428571429,6.4,1027.22
2002,NA,NA,NA,NA
2003,10.25,13.7125,6.9125,779.6725
2004,10.1625,13.4125,7.0125,909.096875
2005,NA,NA,NA,NA
2006,10.3875,13.73125,7.16875,1003.245625
2007,10.65,13.9142857142857,7.40714285714286,981.428571428571
2008,9.87692307692308,13.1153846153846,6.66153846153846,1211.54
2009,9.85833333333333,13.0083333333333,6.775,1196.068
2010,8.89166666666667,12.3666666666667,5.49166666666667,868.73
2011,10.0909090909091,13.2909090909091,6.85454545454545,1147.91777777778
2012,9.81666666666667,12.8416666666667,6.80833333333333,1122.30916666667
2013,9.825,12.9416666666667,6.74166666666667,1077.80090909091
2014,10.3166666666667,13.575,7.14166666666667,1205.88416666667
2015,9.61,12.98,6.2,1345.35
2016,9.93636363636364,13,6.72727272727273,978.89
2017,10.2272727272727,13.2181818181818,7.00909090909091,1021.315
2018,10.01,13.18,6.58,1200.32
2019,NA,NA,NA,NA
