"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1973,4.1625,7.925,0.1,613.725
1974,5.07777777777778,8.46666666666667,1.61111111111111,673.238888888889
1975,5.33125,9.00714285714286,0.893333333333333,458.250833333333
1976,3.08571428571429,7.03,-1.33809523809524,490.200526315789
1977,1.35,4.55,-2.35,626.125
1978,3.79130434782609,7.53181818181818,-0.463636363636364,573.182857142857
1979,3.67222222222222,7.15555555555556,-0.0333333333333333,648.484705882353
1980,3.81,7.59473684210526,-0.410526315789474,660.0195
1981,3.9,7.64736842105263,-0.263157894736842,680.796315789474
1982,5.18333333333333,8.78888888888889,1.13333333333333,611.966111111111
1983,5.54117647058824,9.03529411764706,1.55294117647059,666.569411764706
1984,5.20666666666667,8.52,1.55333333333333,627.960666666667
1985,2.77333333333333,6.39333333333333,-1.15333333333333,741.164285714286
1986,4.15333333333333,7.76666666666667,0.16,671.61
1987,3.29333333333333,6.81333333333333,-0.5,700.890714285714
1988,5.26111111111111,8.85555555555556,1.23333333333333,694.563333333333
1989,6.21052631578947,9.92105263157895,2.04210526315789,594.916315789474
1990,6.32105263157895,9.89473684210526,2.36842105263158,724.004705882353
1991,5.625,9.11875,1.9125,604.030714285714
1992,6.00555555555556,9.36111111111111,2.08333333333333,670.931333333333
1993,5.19444444444444,8.57647058823529,1.19411764705882,675.381333333333
1994,5.43333333333333,9.18235294117647,1.25294117647059,613.893333333333
1995,4.93571428571429,7.96666666666667,0.825,621.206363636364
1996,3.83333333333333,7.01818181818182,-0.581818181818182,513.505
1997,5.26666666666667,8.75882352941177,0.747058823529412,421.962222222222
1998,4.16666666666667,7.62666666666667,0.36,558.011333333333
1999,6.69230769230769,10.05,2.46666666666667,398.471111111111
2000,6.97647058823529,10.2125,3.125,293.678
2001,5.51052631578947,8.97894736842105,1.69473684210526,201.550909090909
2002,NA,NA,NA,NA
2003,4.75945945945946,8.93243243243243,0.375675675675676,407.673636363636
2004,4.44583333333333,8.375,0.270833333333333,542.5365
2005,NA,NA,NA,NA
2006,5.5468085106383,9.60425531914894,1.19565217391304,589.05
2007,5.27777777777778,9.275,0.902777777777778,542.044705882353
2008,5.83953488372093,9.73720930232558,1.49767441860465,608.304827586207
2009,4.9195652173913,8.90434782608696,0.582608695652174,592.857575757576
2010,2.94130434782609,7.14222222222222,-1.70434782608696,578.538529411765
2011,5.578,9.76938775510204,1.022,585.235588235294
2012,4.29787234042553,8.22553191489362,-0.0297872340425532,648.659473684211
2013,5.54117647058824,9.72941176470588,0.911764705882353,513.869090909091
2014,6.72666666666667,10.4266666666667,2.74,542.646666666667
2015,5.37391304347826,9.46304347826087,0.982608695652174,579.190909090909
2016,5.18947368421053,9.37368421052632,0.736842105263158,502.1884
2017,4.8025,8.8775,0.2875,585.926
2018,6.6375,10.7375,1.9125,541.64
2019,NA,NA,NA,NA
