"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1960,NA,NA,NA,NA
1961,NA,NA,NA,NA
1962,NA,NA,NA,NA
1963,NA,NA,NA,NA
1973,NA,NA,NA,NA
1974,NA,NA,NA,NA
1975,NA,NA,NA,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,26.6,30.4,22.1,2580.11
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,NA,NA,NA,NA
1995,27.25,29.4,25.45,1709.695
1996,26.8,29.6,23.75,2271.515
1997,26.7,29.3,23.85,1137.865
1998,NA,NA,NA,NA
1999,26.8,30.1,22.6,NA
2000,26.9,30.3,22.7,2887.7
2001,27.2,30.4,23.3,1746.7
2002,NA,NA,NA,NA
2003,28.1,31.1,25.05,1002.29
2004,31.1,NA,NA,0
2005,NA,NA,NA,NA
2006,27.3,30.4,23.6,2529.85
2007,NA,NA,NA,NA
2008,NA,NA,NA,NA
2009,27.5,30.6,23.8,1069.09
2010,27.2,30.6,23.2,1994.71
2011,27.5,30.4,23.6,1777.75
2012,27.3,30.4,23.4,1781.29
2013,27.1,30.2,23.7,2448
2014,27.1,30.3,23.6,1893.05
2015,27.6,30.7,24.1,1873.02
2016,27.4,30.9,23.8,1752.35
2017,27.4,30.8,23.8,1656.31
2018,27.2,30.4,23.7,1711.42
2019,NA,NA,NA,NA
