"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1941,NA,NA,NA,NA
1942,21.8,24.2,19.8,NA
1943,22,24.3,20.1,NA
1944,21.6,23.8,19.7,NA
1945,21.8,23.9,19.9,NA
1946,22.2,24.4,20.3,NA
1947,22.1,24.3,20.2,NA
1948,22,24.2,20.1,NA
1949,22,24.3,20.2,NA
1950,22,24.4,20.1,NA
1951,21.8,24,19.9,NA
1952,22,24.3,20.2,NA
1953,22.1,24.3,20.3,NA
1954,22.3,24.6,20.4,NA
1955,21.5,23.7,19.6,NA
1956,21.8,24,20,NA
1957,21.4,23.4,19.7,NA
1958,21.3,23.2,19.6,NA
1959,21.8,23.7,20.3,NA
1960,21.6,23.6,19.9,NA
1961,21.8,23.7,20.1,NA
1962,21.7,23.7,20.1,NA
1963,21.4,23.2,19.8,NA
1964,21.3,23,19.7,NA
1965,21.2,22.9,19.6,NA
1966,21.4,23.1,19.9,NA
1967,21.4,23.1,19.7,NA
1968,21.4,23.3,19.6,NA
1969,21.5,23.5,19.7,NA
1970,NA,NA,NA,NA
1971,NA,NA,NA,NA
1973,21.6,24,19.4,NA
1974,22.9,25.5,20.7,NA
1975,23,25.6,20.9,NA
1976,22.7,25.6,20.5,NA
1977,22.2,24.9,20.1,NA
1978,22.5,25,20.5,NA
1979,22.7,25.5,20.5,NA
1980,22.1,24.7,19.9,NA
1981,21.4,24.1,18.9,NA
1982,22.9,26,20.3,NA
1983,22.6,25.8,19.6,NA
1984,22.3,25.3,19.6,NA
1985,22.2,25.3,19.4,NA
1986,22.3,25.3,19.7,NA
1987,22,24.9,19.5,NA
1988,23.3,26.4,20.1,NA
1989,23.6,26.7,20.6,NA
1990,23.1,26.1,20.2,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,23.2,26.2,20.3,1671.05
1994,23.6,26.8,20.7,1806.81
1995,21.8,24.3,19.5,1482.88
1996,21.8,23.7,19.6,1693.87
1997,NA,NA,NA,NA
1998,22.6,25.3,19.9,1389.64
1999,22.6,25.9,19.2,NA
2000,22,25.2,19,1792.13
2001,21.7,25.2,18.8,1451.74
2002,NA,NA,NA,NA
2003,22.5,26,19.7,1502.11
2004,21.9,25.3,19,1514.83
2005,NA,NA,NA,NA
2006,21.9,24.7,19.4,1483.84
2007,21.6,24.1,19.1,1425.7
2008,22.1,24.5,19.7,1453.87
2009,22.3,24.6,19.8,1388.33
2010,21.6,24,19.2,1125.67
2011,22.2,24.7,19.7,983.72
2012,22.3,24.7,19.7,1299.99
2013,21.9,24.3,19.4,1549.35
2014,22.7,25.3,20,1725.85
2015,22.8,25.2,20.3,1415.99
2016,22.9,25.2,20.4,1891.97
2017,22.7,25.2,20.1,1357.85
2018,22.8,25.1,20.2,NA
2019,NA,NA,NA,NA
