"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1936,NA,NA,NA,NA
1937,12.8,17.8,8.6,NA
1938,13.1,18.3,8.9,NA
1939,13.1,18.2,8.8,NA
1940,11.5,16.4,7.4,NA
1941,13.2,18.6,8.6,NA
1942,12.4,17.46,8.3,NA
1943,13.69,19.58,8.89,NA
1944,13.44,19.0666666666667,8.83333333333333,0
1945,11.94,16.66,7.91,NA
1946,5.82857142857143,9.97142857142857,2.27142857142857,748.87
1947,8.33333333333333,13.4666666666667,4.13333333333333,608.34
1948,10.4333333333333,15.975,5.85833333333333,778.395
1949,12.3785714285714,17.5857142857143,8.18571428571429,652.28
1950,12.9461538461538,18.8076923076923,8.3,792.735
1951,10.8714285714286,16.2357142857143,6.49285714285714,849.26
1952,10.4384615384615,15.5538461538462,6.16153846153846,606.795
1953,12.2769230769231,17.6615384615385,7.84615384615385,703.83
1954,12.5285714285714,18.1928571428571,7.9,658.95
1955,11.1230769230769,16.5076923076923,6.71538461538462,631.05
1956,11.2,16.6615384615385,6.7,579.77
1957,11.5571428571429,16.75,7.45,625.625
1958,11.4357142857143,16.6857142857143,7.26428571428571,706.885
1959,11.3428571428571,16.8642857142857,7.02142857142857,705.59
1960,11.2642857142857,16.5,6.99285714285714,956.69
1961,10.9857142857143,16.45,6.60714285714286,740.425
1962,11.4214285714286,16.9714285714286,6.95,753.95
1963,11.6142857142857,17.2785714285714,7.02142857142857,556.535
1964,13.2769230769231,19.0307692307692,8.61538461538461,506.61
1965,13.8916666666667,19.4583333333333,9.56666666666667,NA
1966,11.0307692307692,16.3692307692308,6.86923076923077,NA
1967,11.2818181818182,16.6818181818182,7.01818181818182,NA
1968,13.0090909090909,18.5545454545455,8.51818181818182,828.3
1969,14.3818181818182,19.8818181818182,10.0454545454545,NA
1970,14.3272727272727,20.0818181818182,9.84545454545455,NA
1971,13.2666666666667,18.8166666666667,9,NA
1972,12.04,17.3,7.92,NA
1973,11.5815789473684,17.5842105263158,6.44594594594595,1227.27
1974,11.3777777777778,17.6222222222222,5.90833333333333,1871.42333333333
1975,11.8028571428571,17.9028571428571,6.53142857142857,1129.0725
1976,11.6583333333333,18.15,5.98611111111111,2173.91166666667
1977,12.1941176470588,18.5411764705882,6.63529411764706,1062.53714285714
1978,11.9676470588235,18.1676470588235,6.4,904.111666666667
1979,11.8028571428571,17.96,6.30571428571429,923.858571428571
1980,12.3972222222222,18.7666666666667,6.55,701.844411764706
1981,12.6027777777778,18.8055555555556,6.91666666666667,714.863125
1982,12.29375,18.340625,6.965625,866.638275862069
1983,12.4121212121212,18.3242424242424,7.05757575757576,879.074516129032
1984,12.5727272727273,18.7121212121212,7.02121212121212,858.629375
1985,12.2363636363636,18.4272727272727,6.63030303030303,846.827575757576
1986,12.3081081081081,18.1648648648649,7.02702702702703,800.534166666667
1987,12.0459459459459,18.1054054054054,6.49189189189189,756.777297297297
1988,11.7055555555556,18.125,5.98888888888889,713.576944444444
1989,11.9735294117647,18.3617647058824,6.31764705882353,875.405172413793
1990,12.6638888888889,19.0055555555556,7.15,908.231333333333
1991,12.5885714285714,18.7971428571429,7.3,958.532666666667
1992,11.1909090909091,17.56875,6.09375,949.342692307692
1993,10.8567567567568,17.0216216216216,5.55675675675676,1101.70483870968
1994,11.3605263157895,17.6684210526316,5.85,1061.744
1995,10.9394736842105,16.9789473684211,5.53421052631579,554.400588235294
1996,11.4583333333333,17.3903225806452,6.20294117647059,661.878181818182
1997,11.0710526315789,16.7210526315789,6.09736842105263,602.847222222222
1998,13.0628571428571,18.9628571428571,7.85142857142857,589.466764705882
1999,11.725,18.0323529411765,6.15277777777778,10.54
2000,10.2916666666667,16.8978723404255,4.92978723404255,15.8142857142857
2001,11.3347826086957,17.6217391304348,5.72391304347826,188.352222222222
2002,NA,NA,NA,NA
2003,11.2744680851064,18.1054054054054,5.38636363636364,894.656666666667
2004,11.2903846153846,17.5826923076923,5.71538461538462,578.5103125
2005,NA,NA,NA,NA
2006,11.6413793103448,17.9344827586207,6.26034482758621,732.959310344828
2007,11.3303571428571,17.4375,6.0625,694.882083333333
2008,10.340350877193,16.6859649122807,4.96315789473684,695.580333333333
2009,10.768253968254,16.9634920634921,5.52698412698413,784.80275
2010,10.8466666666667,17.055,5.515,726.496585365854
2011,11.655,17.7915254237288,6.22542372881356,791.577045454545
2012,12.3796610169492,18.9779661016949,6.66440677966102,736.611363636364
2013,10.5789473684211,16.9105263157895,5.06315789473684,862.20027027027
2014,11.5758064516129,18.4393442622951,5.64426229508197,884.8565
2015,12.2677419354839,19.0370967741935,6.33870967741935,950.534047619048
2016,12.6157894736842,19.3894736842105,6.69824561403509,852.578205128205
2017,11.9035714285714,18.6178571428571,6.08214285714286,832.48027027027
2018,11.9016949152542,18.4101694915254,6.20508474576271,928.586486486486
2019,NA,NA,NA,NA
