"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1973,NA,NA,NA,NA
1974,26.8,29.2,24,NA
1975,NA,NA,NA,NA
1976,27,29.6,23.8,NA
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,26.5,29.9,23.8,2791.23
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,27,30,23.5,2140.78
1995,26.8142857142857,30.0857142857143,24.2,319.758571428571
1996,27.4285714285714,30.4571428571429,24.9285714285714,5.69571428571429
1997,27.46,30.3,25.24,0
1998,NA,NA,NA,NA
1999,26.48,29.74,23.8,0
2000,26.3,29.3,23.8,0
2001,26.4,29,24,0
2002,NA,NA,NA,NA
2003,26.9,31,23.4,1413.57
2004,26.9,29.5,24.5,0
2005,NA,NA,NA,NA
2006,NA,NA,NA,NA
2007,NA,NA,NA,NA
2008,26.3,29.75,23.3,1033.93
2009,26.4,29.1,24,0
2010,27.05,30.8,23.55,2919.24
2011,26.55,30.4,22.9,2600.985
2012,26.5,30.7,22.9,NA
2013,27,30.7,23.7,2843.78
2014,26.8,30.95,23.45,2500.375
2015,26.85,31.3,23.6,2282.415
2016,27.1666666666667,32.2666666666667,23.9333333333333,1698.33
2017,27.3,31.8,24,3166.22
2018,NA,NA,NA,NA
2019,NA,NA,NA,NA
