"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,NA,NA,NA,NA
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,-9.7,-7.8,-11.9,NA
1992,-11.6,-9.5,-14,NA
1993,-12.9,-10.7,-15.4,NA
1994,-11.5,-8.8,-14.5,0
1995,-11,-8,-14.7,0
1996,-10.7,-8.4,-13.4,0
1997,-11.7,-9.4,-14.5,0
1998,-11.9,-9.5,-14.6,0
1999,-12.1,-8.8,-15.7,NA
2000,-11.1,-8.3,-14.8,NA
2001,-11.4,-8.3,-15.1,NA
2002,NA,NA,NA,NA
2003,-11.2,-8,-14.8,NA
2004,-11.4,-8.1,-15.3,NA
2005,NA,NA,NA,NA
2006,-11.4,-8.2,-15,NA
2007,-9.8,-6.7,-13.5,NA
2008,-11.8,-8.5,-15.7,NA
2009,-10.5,-7.1,-14.6,NA
2010,-11.7,-8.5,-15.5,NA
2011,-10.7,-7.4,-14.6,NA
2012,-11.9,-8.4,-15.9,NA
2013,-10.8,-7.6,-14.6,NA
2014,-11.3,-8,-15,NA
2015,-12.5,-10,-16.7,NA
2016,-11.6,-8.6,-15.4,NA
2017,-11.6,-8.2,-15.5,NA
2018,NA,NA,NA,NA
2019,NA,NA,NA,NA
