"Year","ATemperature","AMaxTemperature","AMinTemperature","TotalPrecipitation"
1944,NA,NA,NA,NA
1945,NA,NA,NA,NA
1949,NA,NA,NA,NA
1950,NA,NA,NA,NA
1954,NA,NA,NA,NA
1955,NA,NA,NA,NA
1956,NA,NA,NA,NA
1957,NA,NA,NA,NA
1958,NA,NA,NA,NA
1959,NA,NA,NA,NA
1960,NA,NA,NA,NA
1961,NA,NA,NA,NA
1962,NA,NA,NA,NA
1963,NA,NA,NA,NA
1964,NA,NA,NA,NA
1965,NA,NA,NA,NA
1973,26.9,32.5,22,NA
1974,26.5,32.3,21.8,NA
1975,26.4,32.1,22,NA
1976,NA,NA,NA,NA
1977,NA,NA,NA,NA
1978,27.1,32.6,22.3,NA
1979,27.4,33.2,22,NA
1980,27.2,33,22.6,NA
1981,26.8,32.7,22.6,NA
1982,26.9,32.5,22.3,1503.17
1983,27,32.6,21.9,NA
1984,27.1,32.5,22.6,NA
1985,27.2,32.5,22.2,NA
1986,27.3,32.5,22.3,NA
1987,27.7,32.7,23.1,NA
1988,NA,NA,NA,NA
1989,27.4,32.5,22.3,NA
1990,27.6,32.9,22.7,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,NA,NA,NA,NA
1996,27.4,32.9,21.9,NA
1997,NA,NA,NA,NA
1998,NA,NA,NA,NA
1999,NA,NA,NA,NA
2000,NA,NA,NA,NA
2001,27.3,33,21.9,NA
2002,NA,NA,NA,NA
2003,27.6,33.4,20.5,NA
2004,27.6,33.1,20.6,NA
2005,NA,NA,NA,NA
2006,27.9,33.1,21.9,NA
2007,27.6,33,22.1,NA
2008,27.4,32.9,20.9,NA
2009,27.9,33.3,20.4,NA
2010,28.5,34.2,23,NA
2011,27.5,32.9,22.4,NA
2012,27.9,33.7,21.8,NA
2013,27.85,33.25,21.2,NA
2014,26.6333333333333,32,20.62,NA
2015,27.85,33.45,22.05,NA
2016,28,33.4,23.1,NA
2017,28,32.9,22.1,NA
2018,27.75,33.15,20.9,NA
2019,NA,NA,NA,NA
