"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1981","-","-","-","-","-","-","-","-","-","-","-"
"2","1982","-","-","-","-","-","-","-","-","-","-","-"
"3","1983","-","-","-","-","-","-","-","-","-","-","-"
"4","1984","-","-","-","-","-","-","-","-","-","-","-"
"5","1985","-","-","-","-","-","-","-","-","-","-","-"
"6","1986","-","-","-","-","-","-","-","-","-","-","-"
"7","1987","-","-","-","-","-","-","-","-","-","-","-"
"8","1988","-","-","-","-","-","-","-","-","-","-","-"
"9","1989","-","-","-","-","-","-","-","-","-","-","-"
"10","1990","-","-","-","-","-","-","-","-","-","-","-"
"11","1991","-","-","-","-","-","-","-","-","-","-","-"
"12","1992","-","-","-","-","-","-","-","-","-","-","-"
"13","1993","-","-","-","-","-","-","-","-","-","-","-"
"14","1994","-","-","-","-","-","-","-","-","-","-","-"
"15","1995","-","-","-","-","-","-","-","-","-","-","-"
"16","1996","-","-","-","-","-","-","-","-","-","-","-"
"17","1997","-","-","-","-","-","-","-","-","-","-","-"
"18","1998","-","-","-","-","-","-","-","-","-","-","-"
"19","1999","-","-","-","-","-","-","-","-","-","-","-"
"20","2000","-","-","-","-","-","-","-","-","-","-","-"
"21","2001","-","-","-","-","-","-","-","-","-","-","-"
"22","2002","-","-","-","-","-","-","-","-","-","-","-"
"23","2003","-","-","-","-","-","-","-","-","-","-","-"
"24","2004","-","-","-","-","-","-","-","-","-","-","-"
"25","2005","-","-","-","-","-","-","-","-","-","-","-"
"26","2006","19.6","25.1","11.4","158.23","8.6","20","3","8","1","0","0"
"27","2007","-","-","-","-","-","-","-","-","-","-","-"
"28","2008","-","-","-","-","-","-","-","-","-","-","-"
"29","2009","19.4","25.3","10.8","224.59","9.9","22","2","11","0","0","0"
"30","2010","20.6","26.5","12.2","207.52","9.9","24","0","8","0","0","1"
"31","2011","19.3","24.9","11.1","227.34","7.7","16","0","4","0","0","0"
"32","2012","19.6","25.5","11.2","298.25","8.7","25","3","6","0","0","1"
"33","2013","19.5","25.5","10.8","107.44","11.0","11","0","2","0","0","0"
"34","2014","20.3","26.0","12.1","233.15","10.9","25","0","5","0","0","0"
"35","2015","20.0","25.7","11.6","143.27","11.6","17","0","19","2","0","0"
"36","2016","20.2","25.6","12.2","218.65","10.1","25","1","22","1","0","0"
"37","2017","19.8","24.7","11.3","-","-","20","1","10","1","0","0"
"38","2018","-","-","-","-","-","40","1","13","1","0","0"
"39","2019","-","-","-","-","-","-","-","-","-","-","-"
