"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1999","-","-","-","-","-","-","-","-","-","-","-"
"2","2000","-","-","-","-","-","-","-","-","-","-","-"
"3","2001","-","-","-","-","-","-","-","-","-","-","-"
"4","2002","-","-","-","-","-","-","-","-","-","-","-"
"5","2003","-","-","-","-","-","-","-","-","-","-","-"
"6","2004","-","-","-","-","-","-","-","-","-","-","-"
"7","2005","-","-","-","-","-","-","-","-","-","-","-"
"8","2006","-","-","-","-","-","-","-","-","-","-","-"
"9","2007","-","-","-","-","-","-","-","-","-","-","-"
"10","2008","10.4","13.8","7.0","-","-","197","22","6","23","0","0"
"11","2009","10.7","14.4","7.0","-","-","190","23","4","29","0","1"
"12","2010","-","-","-","-","-","-","-","-","-","-","-"
