"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","-","-","-","-","-","-","-","-","-","-","-"
"9","1981","-","-","-","-","-","26","0","50","1","0","1"
"10","1982","29.0","36.6","22.2","398.01","4.5","24","0","65","0","3","0"
"11","1983","-","-","-","-","-","-","-","-","-","-","-"
"12","1984","30.0","37.3","23.1","284.76","5.7","9","0","51","0","1","0"
"13","1985","29.5","36.8","22.7","477.78","5.2","21","0","38","0","0","0"
"14","1986","29.6","37.2","22.4","286.77","5.1","27","0","40","0","1","3"
"15","1987","-","-","-","-","-","-","-","-","-","-","-"
"16","1988","29.3","36.7","22.4","560.11","4.9","30","0","40","0","0","0"
"17","1989","-","-","-","-","-","-","-","-","-","-","-"
"18","1990","-","-","-","-","-","-","-","-","-","-","-"
"19","1991","-","-","-","-","-","-","-","-","-","-","-"
"20","1992","-","-","-","-","-","-","-","-","-","-","-"
"21","1993","29.8","38.2","22.6","677.97","-","20","0","47","0","0","2"
"22","1994","-","-","-","-","-","-","-","-","-","-","-"
"23","1995","-","-","-","-","-","-","-","-","-","-","-"
"24","1996","-","-","-","-","-","-","-","-","-","-","-"
"25","1997","-","-","-","-","-","-","-","-","-","-","-"
"26","1998","-","-","-","-","-","-","-","-","-","-","-"
"27","1999","-","-","-","-","-","-","-","-","-","-","-"
"28","2000","-","-","-","-","-","-","-","-","-","-","-"
"29","2001","-","-","-","-","-","-","-","-","-","-","-"
"30","2002","-","-","-","-","-","-","-","-","-","-","-"
"31","2003","-","-","-","-","-","-","-","-","-","-","-"
"32","2004","-","-","-","-","-","-","-","-","-","-","-"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","-","-","-","-","-","-","-","-","-","-","-"
"35","2007","-","-","-","-","-","-","-","-","-","-","-"
"36","2008","-","-","-","-","-","-","-","-","-","-","-"
"37","2009","30.2","37.7","23.8","420.87","3.7","15","0","39","0","0","0"
"38","2010","30.2","37.5","23.8","437.13","4.3","29","0","38","0","0","0"
"39","2011","30.0","37.3","23.4","500.38","5.3","13","0","39","0","0","0"
"40","2012","29.4","36.4","23.4","547.88","4.7","28","0","40","0","0","2"
"41","2013","29.7","37.2","23.3","575.54","3.4","27","0","32","0","0","0"
"42","2014","-","-","-","-","-","-","-","-","-","-","-"
"43","2015","-","-","-","-","-","-","-","-","-","-","-"
"44","2016","29.9","37.3","23.6","510.27","3.3","29","0","32","0","0","0"
"45","2017","29.8","37.1","23.4","497.05","2.9","22","0","26","0","0","0"
"46","2018","-","-","-","-","-","-","-","-","-","-","-"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
