"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2001","-","-","-","-","-","-","-","-","-","-","-"
"2","2002","-","-","-","-","-","-","-","-","-","-","-"
"3","2003","-","-","-","-","-","-","-","-","-","-","-"
"4","2004","-","-","-","-","-","-","-","-","-","-","-"
"5","2005","-","-","-","-","-","-","-","-","-","-","-"
"6","2006","-","-","-","-","-","-","-","-","-","-","-"
"7","2007","-","-","-","-","-","-","-","-","-","-","-"
"8","2008","-","-","-","-","-","-","-","-","-","-","-"
"9","2009","4.5","10.4","-0.8","823.56","8.5","0","0","0","0","0","0"
"10","2010","6.2","12.2","0.8","664.45","9.4","0","0","0","0","0","0"
"11","2011","5.3","11.6","-0.4","811.53","8.9","0","0","0","0","0","0"
"12","2012","6.3","12.5","1.0","819.14","9.2","0","0","0","0","0","0"
"13","2013","4.6","10.6","-0.5","897.95","9.0","0","0","0","0","0","0"
"14","2014","3.9","10.1","-1.2","1041.77","8.8","0","0","0","0","0","0"
"15","2015","5.0","11.8","-0.6","808.34","8.8","0","0","0","0","0","0"
"16","2016","5.7","12.4","0.6","1328.81","8.6","0","0","0","0","0","0"
"17","2017","5.2","11.4","0.4","1169.83","8.6","0","0","0","0","0","0"
"18","2018","4.9","11.3","-0.2","918.33","8.9","0","0","0","0","0","0"
"19","2019","-","-","-","-","-","-","-","-","-","-","-"
