"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","-","-","-","-","-","-","-","-","-","-","-"
"2","1958","-","-","-","-","-","-","-","-","-","-","-"
"3","1962","-","-","-","-","-","-","-","-","-","-","-"
"4","1964","-","-","-","-","-","-","-","-","-","-","-"
"5","1973","-","-","-","-","-","-","-","-","-","-","-"
"6","1974","-","-","-","-","-","-","-","-","-","-","-"
"7","1975","-","-","-","-","-","61","23","21","0","0","2"
"8","1976","6.4","12.4","0.3","-","-","63","33","49","2","0","0"
"9","1977","-","-","-","-","-","-","-","-","-","-","-"
"10","1978","7.3","-","1.0","-","12.2","58","28","30","1","0","1"
"11","1979","7.2","14.0","0.8","502.96","12.4","63","32","39","1","1","2"
"12","1980","7.2","13.9","1.2","368.32","12.1","74","34","36","0","0","0"
"13","1981","6.3","12.5","0.5","649.51","11.2","86","23","40","2","0","1"
"14","1982","6.4","12.6","0.5","499.12","11.6","70","36","28","2","1","2"
"15","1983","6.6","12.9","0.5","142.00","12.3","61","29","35","0","0","1"
"16","1984","5.9","12.3","-0.3","114.29","10.8","54","40","27","0","0","2"
"17","1985","6.8","13.4","0.8","111.28","11.5","59","20","26","0","0","0"
"18","1986","6.4","13.1","0.6","159.00","10.7","55","39","20","0","0","1"
"19","1987","6.9","13.3","1.2","158.75","11.4","77","22","41","0","0","1"
"20","1988","6.5","13.0","0.8","227.86","10.1","66","32","38","4","0","0"
"21","1989","6.1","12.6","0.4","167.65","10.1","67","25","34","0","0","2"
"22","1990","7.4","14.1","1.4","281.47","9.3","51","31","39","5","0","0"
"23","1991","6.4","12.9","0.6","316.23","8.4","62","38","29","3","0","0"
"24","1992","6.6","13.2","0.7","649.48","8.4","78","32","28","1","0","2"
"25","1993","6.2","12.6","0.3","353.09","8.3","67","42","24","6","0","0"
"26","1994","6.8","13.6","0.7","449.85","8.0","53","23","27","0","0","0"
"27","1995","6.1","12.7","0.2","231.12","8.4","73","18","38","1","0","0"
"28","1996","6.0","12.5","0.5","414.57","7.7","76","30","26","1","0","1"
"29","1997","7.5","14.5","1.0","202.98","7.8","45","13","26","0","0","0"
"30","1998","7.6","14.2","2.0","341.36","7.3","71","22","34","3","0","1"
"31","1999","7.5","14.1","1.6","-","7.6","59","18","27","0","0","0"
"32","2000","7.1","13.7","1.1","221.57","7.6","73","15","31","0","0","1"
"33","2001","7.3","13.8","1.6","437.29","7.7","79","16","29","0","0","0"
"34","2002","-","-","-","-","-","-","-","-","-","-","-"
"35","2003","7.0","13.0","1.8","272.48","9.2","70","29","30","2","0","1"
"36","2004","7.5","13.4","2.1","221.18","9.9","70","33","25","2","0","1"
"37","2005","-","-","-","-","-","-","-","-","-","-","-"
"38","2006","7.8","14.4","2.3","248.13","8.6","78","22","34","0","0","0"
"39","2007","8.2","14.7","2.5","290.53","8.4","66","15","22","0","0","1"
"40","2008","7.2","13.6","1.5","180.31","8.1","57","36","36","5","0","0"
"41","2009","7.6","14.1","1.8","230.10","8.6","71","24","29","1","0","0"
"42","2010","7.6","13.8","2.3","517.63","8.2","85","23","36","2","0","1"
"43","2011","6.8","12.8","1.3","322.03","7.7","71","46","35","3","0","1"
"44","2012","6.3","12.8","0.5","274.80","7.9","80","28","37","1","0","0"
"45","2013","8.1","14.5","2.6","341.87","8.3","65","19","37","4","0","0"
"46","2014","6.8","13.1","1.3","263.15","8.6","52","16","0","7","0","1"
"47","2015","7.8","14.0","2.2","330.96","8.2","57","10","0","2","0","1"
"48","2016","7.8","14.3","2.3","387.11","8.4","53","13","0","3","0","2"
"49","2017","7.0","13.1","1.5","516.89","8.1","51","17","0","3","0","0"
"50","2018","7.1","13.5","1.3","-","8.1","47","29","0","0","0","0"
"51","2019","-","-","-","-","-","-","-","-","-","-","-"
