"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1949","-","-","-","-","-","-","-","-","-","-","-"
"2","1950","25.0","28.3","21.8","-","8.1","133","0","3","0","0","0"
"3","1956","-","-","-","-","-","-","-","-","-","-","-"
"4","1973","-","-","-","-","-","-","-","-","-","-","-"
"5","1974","-","-","-","-","-","-","-","-","-","-","-"
"6","1975","-","-","-","-","-","-","-","-","-","-","-"
"7","1976","-","-","-","-","-","-","-","-","-","-","-"
"8","1977","-","-","-","-","-","-","-","-","-","-","-"
"9","1978","-","-","-","-","-","-","-","-","-","-","-"
"10","1979","-","-","-","-","-","-","-","-","-","-","-"
"11","1980","-","-","-","-","-","-","-","-","-","-","-"
"12","1981","-","-","-","-","-","-","-","-","-","-","-"
"13","1982","-","-","-","-","-","-","-","-","-","-","-"
"14","1983","-","-","-","-","-","-","-","-","-","-","-"
"15","1984","-","-","-","-","-","-","-","-","-","-","-"
"16","1985","-","-","-","-","-","-","-","-","-","-","-"
"17","1986","-","-","-","-","-","-","-","-","-","-","-"
"18","1987","-","-","-","-","-","-","-","-","-","-","-"
"19","1988","-","-","-","-","-","-","-","-","-","-","-"
"20","1989","-","-","-","-","-","-","-","-","-","-","-"
"21","1990","-","-","-","-","-","-","-","-","-","-","-"
"22","1991","-","-","-","-","-","-","-","-","-","-","-"
"23","1992","-","-","-","-","-","-","-","-","-","-","-"
"24","1993","-","-","-","-","-","-","-","-","-","-","-"
"25","1994","-","-","-","-","-","-","-","-","-","-","-"
"26","1995","-","-","-","-","-","-","-","-","-","-","-"
"27","1996","-","-","-","-","-","-","-","-","-","-","-"
"28","1997","-","-","-","-","-","-","-","-","-","-","-"
"29","1998","-","-","-","-","-","-","-","-","-","-","-"
"30","1999","-","-","-","-","-","-","-","-","-","-","-"
"31","2000","-","-","-","-","-","-","-","-","-","-","-"
"32","2001","-","-","-","-","-","-","-","-","-","-","-"
"33","2002","-","-","-","-","-","-","-","-","-","-","-"
"34","2003","27.7","29.9","23.5","-","9.5","164","0","30","0","0","0"
"35","2004","26.5","29.2","22.1","-","8.9","203","0","50","0","0","0"
"36","2005","-","-","-","-","-","-","-","-","-","-","-"
"37","2006","26.8","29.9","22.1","3446.04","10.9","194","0","49","1","0","0"
"38","2007","27.2","30.1","22.2","-","10.9","180","0","56","0","0","0"
"39","2008","27.3","29.9","22.5","-","10.1","175","0","24","3","0","0"
"40","2009","27.2","29.8","22.9","-","9.3","201","0","43","1","0","0"
"41","2010","27.2","30.0","22.8","-","9.5","202","0","30","0","0","0"
"42","2011","26.8","29.4","22.4","-","9.6","179","0","29","1","0","0"
"43","2012","27.1","29.9","22.0","-","9.9","184","0","41","0","1","0"
"44","2013","27.4","30.1","22.3","-","9.1","179","0","50","0","0","0"
"45","2014","27.2","30.1","22.3","-","9.4","201","0","43","0","0","0"
"46","2015","-","-","-","-","-","-","-","-","-","-","-"
"47","2016","-","-","-","-","-","-","-","-","-","-","-"
"48","2017","27.4","30.5","22.1","-","9.4","158","0","31","1","0","0"
"49","2018","-","-","-","-","-","-","-","-","-","-","-"
"50","2019","-","-","-","-","-","-","-","-","-","-","-"
