"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1996","-","-","-","-","-","-","-","-","-","-","-"
"2","1997","-","-","-","-","-","-","-","-","-","-","-"
"3","1998","-","-","-","-","-","-","-","-","-","-","-"
"4","1999","-","-","-","-","-","-","-","-","-","-","-"
"5","2000","12.3","18.3","6.7","-","7.8","109","18","12","57","0","1"
"6","2001","12.0","16.7","6.4","-","8.7","117","21","14","51","0","0"
"7","2002","-","-","-","-","-","-","-","-","-","-","-"
"8","2003","12.4","17.0","6.1","563.57","6.8","99","20","20","42","0","0"
"9","2004","11.2","15.2","6.1","904.72","6.7","131","25","20","39","0","0"
"10","2005","-","-","-","-","-","-","-","-","-","-","-"
"11","2006","11.1","16.3","6.3","861.26","7.2","126","25","19","65","0","0"
"12","2007","11.8","17.3","6.8","920.69","7.4","123","17","23","58","0","0"
"13","2008","11.5","16.8","6.7","797.81","7.5","149","10","23","65","0","0"
"14","2009","11.7","16.9","6.9","802.35","7.6","147","29","22","44","0","1"
"15","2010","10.7","15.3","6.3","1047.49","7.6","140","52","23","61","0","0"
"16","2011","11.4","16.9","6.3","576.80","7.1","111","19","15","46","0","0"
"17","2012","11.9","17.4","6.8","893.05","7.6","121","19","18","39","0","0"
"18","2013","11.5","16.2","6.7","985.26","7.0","136","34","18","46","0","0"
"19","2014","12.5","17.1","8.1","1255.98","7.7","165","10","23","60","0","0"
"20","2015","11.8","17.2","7.2","823.38","7.1","118","16","11","54","0","0"
"21","2016","11.4","16.2","6.8","910.77","7.3","153","15","17","57","0","0"
"22","2017","11.6","16.9","6.4","1069.37","6.2","126","22","25","46","0","0"
"23","2018","12.4","17.3","7.9","962.84","4.7","126","34","27","47","0","1"
"24","2019","-","-","-","-","-","-","-","-","-","-","-"
