"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","-","-","-","-","-","-","-","-","-","-","-"
"9","1981","-","-","-","-","-","-","-","-","-","-","-"
"10","1982","-","-","-","-","-","-","-","-","-","-","-"
"11","2004","-","-","-","-","-","-","-","-","-","-","-"
"12","2005","-","-","-","-","-","-","-","-","-","-","-"
"13","2006","-","-","-","-","-","-","-","-","-","-","-"
"14","2008","-","-","-","-","-","-","-","-","-","-","-"
"15","2009","-","-","-","-","-","-","-","-","-","-","-"
"16","2010","-","-","-","-","-","-","-","-","-","-","-"
"17","2011","25.0","29.2","21.4","1478.00","9.4","78","0","97","5","0","0"
"18","2012","24.8","28.9","21.2","1627.03","7.6","91","0","90","6","0","0"
"19","2013","25.2","29.3","21.5","1704.54","-","99","0","81","0","0","0"
"20","2014","-","-","-","-","-","-","-","-","-","-","-"
"21","2015","-","-","-","-","-","-","-","-","-","-","-"
"22","2016","-","-","-","-","-","-","-","-","-","-","-"
