"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1993","-","-","-","-","-","-","-","-","-","-","-"
"2","1994","-","-","-","-","-","-","-","-","-","-","-"
"3","1995","-","-","-","-","-","-","-","-","-","-","-"
"4","1996","-","-","-","-","-","-","-","-","-","-","-"
"5","1997","-","-","-","-","-","-","-","-","-","-","-"
"6","1998","-","-","-","-","-","-","-","-","-","-","-"
"7","1999","-","-","-","-","-","-","-","-","-","-","-"
"8","2000","-","-","-","-","-","-","-","-","-","-","-"
"9","2001","20.0","26.8","13.4","-","12.7","58","0","22","19","0","0"
"10","2002","-","-","-","-","-","-","-","-","-","-","-"
"11","2003","-","-","-","-","-","-","-","-","-","-","-"
"12","2004","-","-","-","-","-","-","-","-","-","-","-"
"13","2005","-","-","-","-","-","-","-","-","-","-","-"
"14","2006","19.1","25.5","12.8","-","13.8","59","0","36","27","0","0"
"15","2007","-","-","-","-","-","-","-","-","-","-","-"
"16","2008","20.0","26.8","13.7","-","14.3","43","1","22","7","0","0"
"17","2009","-","-","-","-","-","-","-","-","-","-","-"
"18","2010","-","-","-","-","-","-","-","-","-","-","-"
"19","2013","-","-","-","-","-","-","-","-","-","-","-"
"20","2014","19.9","26.6","13.8","-","12.9","67","0","30","22","0","2"
"21","2015","19.7","26.4","13.2","-","13.5","67","0","21","10","0","0"
"22","2016","20.4","27.2","13.9","-","14.2","56","0","25","18","0","0"
"23","2017","20.0","26.4","13.5","180.57","13.2","57","0","17","15","0","0"
"24","2018","21.0","27.4","15.1","443.71","13.4","88","0","41","14","0","0"
"25","2019","-","-","-","-","-","-","-","-","-","-","-"
