"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2004","-","-","-","-","-","-","-","-","-","-","-"
"2","2005","-","-","-","-","-","-","-","-","-","-","-"
"3","2006","15.1","20.9","9.8","-","13.0","95","1","0","0","0","0"
"4","2007","14.6","20.5","9.3","-","13.0","119","9","0","0","0","0"
"5","2008","14.4","19.7","9.4","-","12.5","154","12","0","0","0","0"
"6","2009","-","-","-","-","-","-","-","-","-","-","-"
"7","2010","13.6","19.2","7.0","-","13.7","118","6","10","29","0","0"
"8","2011","14.7","21.2","6.9","696.60","11.6","79","5","15","48","0","0"
"9","2012","14.8","20.7","8.9","-","16.1","87","1","11","37","0","0"
"10","2013","14.0","19.5","8.5","-","16.1","106","3","11","30","0","0"
"11","2014","-","-","-","-","-","116","7","25","53","0","0"
"12","2015","14.8","21.2","-","-","14.9","84","6","19","44","0","0"
"13","2016","14.5","20.9","-","-","14.7","99","2","13","39","0","0"
"14","2017","14.9","21.3","8.2","-","15.8","77","4","8","36","0","0"
"15","2018","15.0","21.3","-","-","13.9","114","3","34","39","0","0"
"16","2019","-","-","-","-","-","-","-","-","-","-","-"
