"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","6.9","9.3","2.9","1004.06","13.2","162","103","18","49","0","22"
"2","1974","7.0","9.3","3.6","1250.96","13.4","191","63","19","57","0","10"
"3","1975","7.5","-","-","-","12.7","139","66","15","56","0","9"
"4","1976","7.0","9.7","3.0","921.73","12.1","145","83","10","50","0","11"
"5","1977","7.0","9.4","3.5","1246.55","12.2","183","81","16","56","0","17"
"6","1978","6.2","8.7","2.7","1381.79","11.6","195","78","27","61","0","9"
"7","1979","6.0","8.5","2.3","1052.57","11.7","177","96","18","43","0","13"
"8","1980","5.8","8.2","2.4","1110.72","12.3","194","93","25","50","0","17"
"9","1981","6.4","8.9","2.9","1516.65","12.0","188","101","23","46","0","22"
"10","1982","7.8","10.7","3.7","869.98","11.5","146","61","19","38","0","17"
"11","1983","7.5","10.3","3.5","1262.43","12.1","194","73","28","38","0","18"
"12","1984","6.1","8.6","2.7","1103.36","11.6","175","82","16","58","0","9"
"13","1985","5.8","8.4","2.1","896.33","11.9","163","89","29","33","0","19"
"14","1986","6.1","8.7","2.1","1288.77","11.5","184","86","20","51","0","16"
"15","1987","5.5","8.1","1.6","1133.87","10.5","195","72","23","69","0","8"
"16","1988","7.0","9.5","3.3","1358.61","12.1","198","90","17","54","0","16"
"17","1989","8.2","11.5","3.9","1023.89","10.8","190","53","19","49","0","16"
"18","1990","7.6","10.4","3.9","1465.24","11.6","198","74","27","61","0","31"
"19","1991","6.6","9.8","2.7","1081.29","11.6","187","75","15","54","0","23"
"20","1992","7.0","10.9","3.3","1334.80","12.7","175","73","21","68","0","26"
"21","2003","-","-","-","-","-","-","-","-","-","-","-"
"22","2005","-","-","-","-","-","-","-","-","-","-","-"
"23","2007","-","-","-","-","-","-","-","-","-","-","-"
"24","2008","-","-","-","-","-","-","-","-","-","-","-"
