"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1943","-","-","-","-","-","-","-","-","-","-","-"
"2","1944","-1.8","0.2","-3.8","-","25.3","88","175","5","119","0","0"
"3","1945","-","-","-","-","-","-","-","-","-","-","-"
"4","1963","-","-","-","-","-","-","-","-","-","-","-"
"5","1964","-0.8","1.0","-2.6","-","-","41","117","0","101","0","0"
"6","1965","-1.5","0.2","-3.2","-","-","43","112","0","96","0","0"
"7","1966","-2.0","-0.4","-3.7","-","18.7","46","122","0","57","0","0"
"8","1967","-2.0","-0.2","-3.7","-","20.5","29","119","0","84","0","0"
"9","1968","-2.2","-0.5","-3.9","-","19.7","48","99","0","72","0","0"
"10","1969","-2.6","-0.9","-4.3","-","-","61","107","0","82","0","0"
"11","1970","-1.6","0.1","-3.4","-","-","45","121","0","88","0","0"
"12","1990","-","-","-","-","-","-","-","-","-","-","-"
"13","1991","-","-","-","-","-","-","-","-","-","-","-"
"14","1992","-","-","-","-","-","-","-","-","-","-","-"
"15","1993","-","-","-","-","-","-","-","-","-","-","-"
"16","1994","-","-","-","-","-","-","-","-","-","-","-"
"17","1995","-","-","-","-","-","-","-","-","-","-","-"
"18","1996","-","-","-","-","-","-","-","-","-","-","-"
"19","1997","-","-","-","-","-","-","-","-","-","-","-"
"20","1998","-","-","-","-","-","-","-","-","-","-","-"
"21","1999","-","-","-","-","-","-","-","-","-","-","-"
"22","2000","-","-","-","-","-","-","-","-","-","-","-"
"23","2001","-","-","-","-","-","-","-","-","-","-","-"
"24","2002","-","-","-","-","-","-","-","-","-","-","-"
"25","2003","0.9","3.2","-3.9","-","19.1","71","95","0","53","0","0"
"26","2004","0.0","2.5","-5.6","-","17.4","72","79","0","68","0","0"
"27","2005","-","-","-","-","-","-","-","-","-","-","-"
"28","2006","-","-","-","-","-","-","-","-","-","-","-"
"29","2007","-","-","-","-","-","-","-","-","-","-","-"
"30","2008","-1.0","-","-","-","-","58","53","0","53","0","0"
"31","2009","-0.4","2.4","-3.1","-","18.2","59","66","0","38","0","0"
"32","2010","0.8","-","-","-","16.9","74","51","0","65","0","0"
"33","2011","-","-","-","-","-","-","-","-","-","-","-"
"34","2012","-0.2","2.9","-3.1","-","18.1","56","90","0","61","0","0"
"35","2013","-","-","-","-","-","-","-","-","-","-","-"
"36","2014","1.0","4.2","-2.1","-","19.4","176","165","0","62","0","0"
"37","2015","-0.4","2.6","-3.3","-","19.2","117","152","0","51","0","0"
"38","2016","1.6","4.5","-1.2","-","19.7","186","143","0","51","0","0"
"39","2017","0.1","3.2","-2.9","-","18.3","178","157","0","62","0","0"
"40","2018","0.1","3.1","-2.6","-","17.9","186","176","0","54","0","0"
"41","2019","-","-","-","-","-","-","-","-","-","-","-"
