"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1949","-","-","-","-","-","-","-","-","-","-","-"
"2","1950","-","-","-","-","-","-","-","-","-","-","-"
"3","1951","-","-","-","-","-","-","-","-","-","-","-"
"4","1952","2.7","-","-","-","18.3","144","106","1","44","0","3"
"5","1953","3.3","-","-","-","18.4","194","125","2","34","0","7"
"6","1954","2.6","-","-","-","20.6","187","106","0","29","0","4"
"7","1955","2.8","-","-","-","20.8","148","109","1","57","0","3"
"8","1956","3.2","5.1","0.5","-","15.4","144","101","2","80","0","1"
"9","1982","-","-","-","-","-","-","-","-","-","-","-"
"10","1983","1.6","3.5","-0.3","-","19.7","160","174","0","17","0","1"
"11","1984","2.9","4.8","1.1","-","18.7","201","144","0","38","0","0"
"12","1985","2.6","4.5","0.9","-","20.5","207","124","0","38","0","2"
"13","1986","2.4","4.6","0.4","-","20.1","175","152","1","34","0","1"
"14","1987","3.2","5.3","1.4","-","21.7","223","123","0","35","0","2"
"15","1988","1.5","3.7","-0.6","-","22.0","185","157","0","28","0","1"
"16","1989","1.9","4.3","-0.3","-","22.8","191","140","2","15","0","0"
"17","1990","2.4","4.7","0.4","-","23.2","184","152","0","24","0","0"
"18","1991","3.2","5.6","1.1","-","22.9","234","121","0","23","0","0"
"19","1992","2.3","4.8","0.2","-","24.0","217","137","1","31","0","0"
"20","1993","2.2","4.7","0.1","-","21.4","192","141","0","34","0","2"
"21","1994","2.2","4.4","0.3","-","22.7","171","155","2","29","0","0"
"22","1995","-","-","-","-","-","-","-","-","-","-","-"
