"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1962","-","-","-","-","-","-","-","-","-","-","-"
"2","1963","-","-","-","-","-","-","-","-","-","-","-"
"3","1973","-","-","-","-","-","-","-","-","-","-","-"
"4","1974","-","-","-","-","-","-","-","-","-","-","-"
"5","1975","-","-","-","-","-","-","-","-","-","-","-"
"6","1976","27.1","29.0","25.0","-","-","61","0","8","0","0","0"
"7","1977","27.0","29.2","24.9","-","14.1","92","1","16","2","0","2"
"8","1978","27.2","29.7","25.1","-","8.8","138","1","35","0","0","1"
"9","1979","-","-","-","-","-","-","-","-","-","-","-"
"10","1980","-","-","-","-","-","-","-","-","-","-","-"
"11","1981","-","-","-","-","-","-","-","-","-","-","-"
"12","1982","-","-","-","-","-","-","-","-","-","-","-"
"13","1983","-","-","-","-","-","-","-","-","-","-","-"
"14","1984","-","-","-","-","-","-","-","-","-","-","-"
"15","1985","-","-","-","-","-","-","-","-","-","-","-"
"16","1986","27.1","29.8","24.6","-","8.7","119","0","15","0","0","0"
"17","1987","27.5","30.1","24.7","1043.74","10.9","115","0","14","1","0","0"
"18","1988","27.8","30.5","25.1","867.98","10.0","128","0","18","0","2","1"
"19","1989","-","-","-","-","-","-","-","-","-","-","-"
"20","1990","-","-","-","-","-","-","-","-","-","-","-"
"21","1991","-","-","-","-","-","-","-","-","-","-","-"
"22","1992","-","-","-","-","-","-","-","-","-","-","-"
"23","1993","-","-","-","-","-","-","-","-","-","-","-"
"24","1994","27.2","30.2","24.3","0.00","11.0","89","0","24","0","0","0"
"25","1995","27.7","31.0","24.3","583.98","10.6","139","0","19","0","0","0"
"26","1996","27.9","31.3","24.3","1013.22","10.8","119","0","25","0","0","1"
"27","1997","27.6","31.2","23.9","661.41","10.7","73","0","11","6","0","0"
"28","1998","28.8","32.4","25.2","642.14","9.4","115","0","41","0","0","2"
"29","1999","27.5","30.5","24.1","-","10.3","157","0","49","0","0","1"
"30","2000","27.5","30.4","24.4","-","9.8","140","0","64","0","0","0"
"31","2001","27.5","30.3","24.3","-","10.8","123","0","30","0","0","0"
"32","2002","-","-","-","-","-","-","-","-","-","-","-"
"33","2003","27.4","30.5","24.0","813.57","10.1","121","0","65","0","0","4"
"34","2004","27.4","30.5","24.1","753.16","10.2","119","0","53","0","1","2"
"35","2005","-","-","-","-","-","-","-","-","-","-","-"
"36","2006","27.0","30.1","24.2","-","12.2","97","0","35","0","0","0"
"37","2007","-","-","-","-","-","-","-","-","-","-","-"
"38","2008","27.1","30.0","24.3","-","11.8","115","0","54","0","0","3"
"39","2009","27.4","30.7","24.3","-","10.8","94","0","31","0","0","0"
"40","2010","27.8","30.8","25.0","-","10.3","145","0","108","0","0","0"
"41","2011","27.0","29.9","24.2","-","11.5","132","0","61","0","0","0"
"42","2012","27.1","30.2","24.2","-","11.5","110","0","62","0","0","1"
"43","2013","27.6","30.2","24.5","-","11.3","128","0","75","0","2","2"
"44","2014","27.6","30.4","24.5","-","12.1","97","0","47","0","0","0"
"45","2015","27.5","30.6","24.3","-","11.8","93","0","53","0","0","0"
"46","2016","28.3","31.3","25.1","-","10.6","137","0","94","0","0","0"
"47","2017","27.5","30.2","24.7","-","12.1","144","0","51","0","0","0"
"48","2018","27.5","30.3","24.8","-","12.1","107","0","36","0","0","0"
"49","2019","-","-","-","-","-","-","-","-","-","-","-"
