"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1989","-","-","-","-","-","-","-","-","-","-","-"
"8","1990","-","-","-","-","-","-","-","-","-","-","-"
"9","1991","-","-","-","-","-","-","-","-","-","-","-"
"10","1992","-","-","-","-","-","-","-","-","-","-","-"
"11","1993","-","-","-","-","-","-","-","-","-","-","-"
"12","1994","-","-","-","-","-","-","-","-","-","-","-"
"13","2006","-","-","-","-","-","-","-","-","-","-","-"
"14","2007","-","-","-","-","-","-","-","-","-","-","-"
"15","2008","-","-","-","-","-","-","-","-","-","-","-"
"16","2009","-","-","-","-","-","-","-","-","-","-","-"
"17","2010","27.3","30.3","23.9","161.27","13.5","10","0","3","4","0","0"
"18","2011","26.2","29.1","23.0","163.06","15.6","16","0","4","3","0","0"
"19","2012","26.6","29.6","22.9","402.59","14.5","20","0","15","2","0","1"
"20","2013","26.4","29.1","22.8","173.50","16.1","16","0","11","1","0","0"
"21","2014","26.8","29.6","22.9","297.94","15.9","17","0","8","3","0","0"
"22","2015","27.4","30.3","23.4","271.78","16.8","18","0","9","1","0","0"
"23","2016","27.2","30.1","22.9","46.98","16.2","9","0","5","2","0","0"
"24","2017","27.7","30.7","23.3","195.85","15.4","16","0","9","3","0","1"
"25","2018","27.7","30.7","23.2","305.55","-","23","0","15","2","0","0"
"26","2019","-","-","-","-","-","-","-","-","-","-","-"
