"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","10.1","12.5","7.7","1069.34","22.5","311","8","4","17","0","40"
"2","1974","9.8","12.3","7.3","1205.23","24.5","304","6","3","12","0","40"
"3","1975","10.3","12.7","7.7","919.54","23.4","292","10","4","22","0","39"
"4","1976","10.2","12.7","7.6","1001.79","22.8","298","8","7","9","0","38"
"5","1977","10.0","12.4","7.4","1070.90","24.9","301","12","7","17","0","35"
"6","1978","9.9","12.4","7.2","1038.62","24.0","305","25","4","19","0","37"
"7","1979","9.2","11.6","6.3","1174.76","24.0","329","42","4","14","0","60"
"8","1980","10.0","12.6","7.0","1318.27","23.7","313","9","5","7","0","30"
"9","1981","10.0","12.4","7.2","1212.90","23.7","312","11","1","23","0","34"
"10","1982","10.2","12.8","6.9","1154.92","25.4","304","9","8","8","0","52"
"11","1983","10.4","13.0","7.3","1001.26","24.0","313","15","6","11","0","51"
"12","1984","10.0","12.9","6.6","1243.53","21.1","290","25","11","22","0","49"
"13","1985","9.3","11.9","6.2","1316.47","22.1","304","19","2","6","0","28"
"14","1986","9.1","11.6","5.9","1451.61","25.6","308","20","7","8","0","72"
"15","1987","9.6","12.2","6.7","1056.69","21.9","302","14","2","14","0","24"
"16","1988","10.1","12.6","7.4","1247.79","24.0","312","13","5","10","0","39"
"17","1989","10.2","12.9","7.3","1282.72","25.8","306","19","11","18","0","57"
"18","1990","10.5","13.2","7.6","1450.37","27.3","310","29","11","17","0","65"
"19","1991","10.2","13.0","7.4","1145.29","24.6","291","19","5","21","0","38"
"20","1992","10.2","12.9","7.3","1444.74","25.4","319","14","12","15","0","47"
"21","1993","-","-","-","-","-","-","-","-","-","-","-"
"22","1994","10.1","12.8","7.3","1489.51","28.0","316","13","6","12","0","56"
"23","1995","10.6","13.5","7.7","1199.96","25.0","303","25","11","16","0","57"
"24","1996","9.9","12.8","7.0","1153.24","18.4","286","18","4","7","0","30"
"25","1997","10.9","13.9","8.0","1267.44","12.9","284","12","7","21","0","26"
"26","1998","10.8","13.6","8.2","1300.38","18.5","320","14","3","13","0","33"
"27","1999","10.8","13.5","8.1","1492.75","26.4","321","17","9","14","0","47"
"28","2000","10.4","13.2","7.7","1443.24","25.8","325","23","15","10","0","52"
"29","2001","10.2","13.1","7.3","1180.06","20.5","308","18","2","13","0","40"
"30","2002","-","-","-","-","-","307","14","7","18","0","30"
"31","2003","10.8","13.8","7.8","1037.90","23.0","295","13","8","9","0","35"
"32","2004","10.8","13.6","8.0","1103.39","24.1","327","22","8","10","0","42"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","10.9","13.8","8.1","1360.39","22.0","296","15","8","16","0","30"
"35","2007","11.3","14.1","8.4","1103.18","21.3","301","12","8","24","0","26"
"36","2008","10.6","13.4","7.6","1509.54","22.5","310","22","13","12","0","59"
"37","2009","10.5","13.3","7.8","1295.71","22.2","314","27","11","9","0","45"
"38","2010","9.5","12.6","6.6","1110.19","18.8","295","38","4","16","0","34"
"39","2011","10.6","13.3","7.8","1413.01","22.9","317","17","2","10","0","41"
"40","2012","10.5","13.1","7.7","1089.43","21.5","316","14","1","19","0","23"
"41","2013","10.3","13.0","7.5","1033.31","21.8","282","2","0","24","0","0"
"42","2014","10.8","13.5","8.0","1225.55","21.2","292","3","0","10","0","0"
"43","2015","10.0","12.7","7.2","1376.50","24.2","294","1","0","21","0","0"
"44","2016","10.4","12.9","7.7","-","21.8","290","3","0","10","0","0"
"45","2017","10.6","12.9","7.9","-","22.1","303","4","0","25","0","0"
"46","2018","10.2","12.6","7.5","1291.23","22.5","272","8","0","22","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
