"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","-","-","-","-","-","-","-","-","-","-","-"
"7","1979","-","-","-","-","-","-","-","-","-","-","-"
"8","1980","-","-","-","-","-","-","-","-","-","-","-"
"9","1981","-","-","-","-","-","-","-","-","-","-","-"
"10","1982","11.3","12.8","9.6","-","14.2","106","86","0","11","0","2"
"11","1983","11.0","12.3","9.3","-","15.8","123","95","5","13","0","2"
"12","1984","10.4","11.9","8.8","-","14.7","112","110","5","28","0","1"
"13","1985","-","-","-","-","-","-","-","-","-","-","-"
"14","1986","10.3","11.7","8.7","-","15.8","130","99","3","34","0","1"
"15","1987","10.6","12.5","8.2","-","16.8","147","105","5","20","0","0"
"16","1988","-","-","-","-","-","165","105","9","24","0","4"
"17","1989","11.0","13.2","7.9","-","15.7","167","86","15","16","0","2"
"18","1990","11.5","13.7","8.4","-","15.4","176","89","6","25","0","1"
"19","1991","10.4","12.6","7.1","-","16.1","179","112","5","43","0","6"
"20","1992","10.1","12.6","6.7","-","15.4","195","103","12","39","0","4"
"21","1993","9.3","11.7","5.9","-","15.6","186","114","9","67","0","7"
"22","1994","10.5","13.2","7.0","-","15.7","125","116","11","61","0","1"
"23","1995","9.9","12.6","6.1","-","14.9","157","121","13","77","0","2"
"24","1996","9.1","11.9","5.4","-","15.7","149","120","7","96","0","1"
"25","1997","10.1","13.2","6.1","-","15.3","165","104","16","83","0","1"
"26","1998","10.1","13.1","6.1","-","15.4","152","108","11","97","0","1"
"27","1999","10.3","13.5","6.3","-","15.9","141","114","10","91","0","1"
"28","2000","9.9","12.9","6.2","-","15.9","160","130","11","109","0","0"
"29","2001","9.3","12.2","5.5","-","16.1","147","120","11","98","0","1"
"30","2002","-","-","-","-","-","160","104","13","86","0","1"
"31","2003","9.4","12.6","5.6","-","14.3","153","102","11","119","0","2"
"32","2004","10.6","13.8","6.6","-","16.2","166","113","9","106","0","2"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","9.4","12.3","5.9","-","14.9","150","65","11","96","0","1"
"35","2007","10.1","13.0","6.5","-","14.7","131","47","14","81","0","1"
"36","2008","9.9","12.9","6.2","-","14.5","146","38","20","121","0","0"
"37","2009","9.7","12.8","6.1","-","15.2","157","26","14","118","0","1"
"38","2010","10.3","13.2","6.7","-","14.6","160","26","17","104","0","1"
"39","2011","9.7","12.7","6.4","-","15.6","147","35","14","107","0","2"
"40","2012","9.5","12.4","6.0","-","14.1","141","29","17","108","0","2"
"41","2013","9.7","12.5","6.3","-","15.3","152","50","14","86","0","1"
"42","2014","10.0","12.8","6.4","-","15.5","137","111","15","44","0","0"
"43","2015","10.9","13.8","7.3","-","15.3","150","84","9","28","0","0"
"44","2016","10.3","13.2","6.7","-","15.5","154","108","16","41","0","0"
"45","2017","10.0","12.8","6.5","-","15.3","149","114","19","33","0","0"
"46","2018","10.4","13.3","6.8","-","15.9","153","105","13","49","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
