"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2007","-","-","-","-","-","-","-","-","-","-","-"
"2","2008","27.5","31.6","23.0","59.43","7.9","0","0","0","0","0","0"
"3","2009","27.7","31.6","23.2","125.21","7.8","0","0","0","0","0","0"
"4","2010","29.0","33.1","24.5","49.53","7.3","0","0","0","0","0","0"
"5","2011","27.6","31.6","23.0","61.21","7.3","0","0","0","0","0","0"
"6","2012","28.0","32.0","23.5","99.30","7.0","0","0","0","0","0","0"
"7","2013","-","-","-","-","-","-","-","-","-","-","-"
"8","2016","-","-","-","-","-","-","-","-","-","-","-"
"9","2017","-","-","-","-","-","-","-","-","-","-","-"
"10","2018","-","-","-","-","-","-","-","-","-","-","-"
"11","2019","-","-","-","-","-","-","-","-","-","-","-"
