"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1968","-","-","-","-","-","-","-","-","-","-","-"
"2","1969","-","-","-","-","-","-","-","-","-","-","-"
"3","1970","26.6","32.7","21.9","-","6.5","121","0","19","9","0","0"
"4","1971","-","-","-","-","-","-","-","-","-","-","-"
"5","1973","-","-","-","-","-","-","-","-","-","-","-"
"6","1974","-","-","-","-","-","-","-","-","-","-","-"
"7","1977","-","-","-","-","-","-","-","-","-","-","-"
"8","1978","-","-","-","-","-","-","-","-","-","-","-"
"9","1979","-","-","-","-","-","-","-","-","-","-","-"
"10","1980","-","-","-","-","-","-","-","-","-","-","-"
"11","1981","-","-","-","-","-","-","-","-","-","-","-"
"12","1982","-","-","-","-","-","-","-","-","-","-","-"
"13","1983","-","-","-","-","-","-","-","-","-","-","-"
"14","1984","-","-","-","-","-","-","-","-","-","-","-"
"15","1995","-","-","-","-","-","-","-","-","-","-","-"
"16","1996","-","-","-","-","-","-","-","-","-","-","-"
"17","1997","-","-","-","-","-","-","-","-","-","-","-"
"18","1998","-","-","-","-","-","-","-","-","-","-","-"
"19","2002","-","-","-","-","-","-","-","-","-","-","-"
"20","2003","-","-","-","-","-","-","-","-","-","-","-"
"21","2004","-","-","-","-","-","-","-","-","-","-","-"
"22","2005","-","-","-","-","-","-","-","-","-","-","-"
"23","2006","-","-","-","-","-","-","-","-","-","-","-"
"24","2007","-","-","-","-","-","-","-","-","-","-","-"
"25","2008","-","-","-","-","-","87","0","65","2","0","0"
"26","2009","26.0","31.4","20.7","-","4.1","67","0","53","1","1","0"
"27","2010","26.8","32.4","21.4","-","4.6","70","0","55","2","0","0"
"28","2011","-","-","-","-","-","-","-","-","-","-","-"
"29","2012","-","-","-","-","-","-","-","-","-","-","-"
"30","2013","-","-","-","-","-","-","-","-","-","-","-"
"31","2014","28.0","32.5","22.0","-","5.2","85","0","78","0","0","12"
"32","2015","28.5","33.2","22.5","-","4.8","89","0","49","0","0","5"
"33","2016","28.5","33.0","22.3","-","5.2","85","0","61","0","0","8"
"34","2017","27.9","32.0","21.9","-","5.5","100","0","86","0","0","8"
"35","2018","28.0","31.9","22.1","-","5.7","83","0","56","1","1","6"
"36","2019","-","-","-","-","-","-","-","-","-","-","-"
