"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1956","-","-","-","-","-","-","-","-","-","-","-"
"2","1957","-","-","-","-","-","-","-","-","-","-","-"
"3","1958","-","-","-","-","-","-","-","-","-","-","-"
"4","1959","-","-","-","-","-","-","-","-","-","-","-"
"5","1960","-","-","-","-","-","-","-","-","-","-","-"
"6","1961","-","-","-","-","-","-","-","-","-","-","-"
"7","1962","-","-","-","-","-","-","-","-","-","-","-"
"8","1963","-","-","-","-","-","-","-","-","-","-","-"
"9","1969","-","-","-","-","-","-","-","-","-","-","-"
"10","1970","-","-","-","-","-","-","-","-","-","-","-"
"11","1971","-","-","-","-","-","-","-","-","-","-","-"
"12","1973","-","-","-","-","-","-","-","-","-","-","-"
"13","1974","3.9","10.5","-3.5","-","13.4","35","17","1","1","0","0"
"14","1975","4.6","11.7","-2.5","-","12.3","38","12","1","7","0","3"
"15","1976","3.9","10.3","-3.1","-","13.8","38","26","3","6","1","2"
"16","1977","4.2","10.5","-2.3","-","13.0","39","23","7","2","1","1"
"17","1978","5.3","12.1","-1.7","-","9.9","24","14","6","3","0","0"
"18","1979","5.2","11.6","-2.1","-","12.6","23","12","7","1","0","0"
"19","1980","4.1","10.4","-2.9","-","12.4","30","18","8","0","0","1"
"20","1981","4.0","10.3","-2.8","-","13.2","36","15","5","1","1","2"
"21","1982","5.6","11.9","-1.2","93.74","13.6","30","16","16","2","0","0"
"22","1983","4.5","10.9","-2.3","162.55","13.2","30","16","13","0","0","0"
"23","1984","3.4","9.7","-3.5","61.21","12.7","30","12","5","0","0","1"
"24","1985","3.9","10.3","-3.3","67.03","13.3","26","22","7","0","0","0"
"25","1986","4.2","10.6","-2.6","127.00","12.3","35","18","9","2","0","0"
"26","1987","5.2","11.5","-1.6","114.04","14.1","31","21","6","2","0","0"
"27","1988","4.6","10.9","-2.4","53.59","13.5","29","16","8","2","0","0"
"28","1989","5.5","11.9","-1.4","49.78","12.3","23","19","7","1","0","0"
"29","1990","5.4","11.7","-1.7","0.00","13.3","30","16","4","4","0","0"
"30","1991","5.2","11.4","-1.6","18.04","13.3","24","24","10","1","1","0"
"31","1992","-","-","-","-","-","-","-","-","-","-","-"
"32","1993","4.4","10.4","-2.3","199.90","12.7","32","22","6","1","0","0"
"33","1994","5.6","11.8","-1.3","0.00","13.9","27","12","20","2","0","0"
"34","1995","5.2","11.5","-1.8","0.00","12.5","37","13","19","2","0","0"
"35","1996","-","-","-","-","-","-","-","-","-","-","-"
"36","1997","6.0","12.4","-0.8","0.00","11.8","18","13","1","0","0","0"
"37","1998","6.6","12.9","0.0","0.00","14.5","29","18","10","1","0","0"
"38","1999","6.5","12.8","-0.3","-","15.4","29","18","8","2","0","0"
"39","2000","5.4","11.3","-1.2","-","15.5","29","19","8","1","0","0"
"40","2001","6.2","12.3","-0.6","107.91","15.8","26","16","4","2","0","0"
"41","2002","-","-","-","-","-","-","-","-","-","-","-"
"42","2003","4.8","10.8","-1.6","159.52","10.0","35","20","17","0","0","0"
"43","2004","6.0","12.1","-1.0","124.48","12.1","30","20","10","1","0","0"
"44","2005","-","-","-","-","-","-","-","-","-","-","-"
"45","2006","6.2","12.2","-1.0","83.84","12.9","30","15","4","2","0","0"
"46","2007","6.6","12.8","-0.1","-","12.0","42","21","18","1","1","1"
"47","2008","5.9","11.9","-1.3","-","12.0","33","20","11","0","0","0"
"48","2009","6.4","12.7","-1.0","-","14.3","24","25","9","0","0","0"
"49","2010","5.5","11.4","-1.6","-","12.0","42","43","13","3","0","0"
"50","2011","4.8","11.0","-2.1","-","10.9","46","30","14","0","1","1"
"51","2012","4.5","10.4","-2.3","-","11.9","44","31","12","0","0","0"
"52","2013","6.6","13.1","-0.8","-","12.9","35","23","7","0","0","0"
"53","2014","6.4","13.0","-0.8","-","13.0","46","17","11","1","0","0"
"54","2015","6.2","12.7","-0.9","-","13.6","40","30","11","0","0","0"
"55","2016","6.0","12.4","-0.9","-","13.9","57","23","11","0","0","0"
"56","2017","6.9","13.3","-0.4","-","13.4","30","26","5","0","0","0"
"57","2018","5.9","12.1","-1.1","-","14.1","37","29","18","2","0","0"
"58","2019","-","-","-","-","-","-","-","-","-","-","-"
