"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1945","-","-","-","-","-","-","-","-","-","-","-"
"2","1946","-","-","-","-","-","-","-","-","-","-","-"
"3","1957","-","-","-","-","-","-","-","-","-","-","-"
"4","1958","18.4","23.3","14.1","-","9.7","29","0","0","31","0","0"
"5","1959","-","-","-","-","-","-","-","-","-","-","-"
"6","1960","-","-","-","-","-","-","-","-","-","-","-"
"7","1961","-","-","-","-","-","-","-","-","-","-","-"
"8","1962","-","-","-","-","-","-","-","-","-","-","-"
"9","1964","-","-","-","-","-","-","-","-","-","-","-"
"10","1965","-","-","-","-","-","-","-","-","-","-","-"
"11","1966","17.9","23.4","13.4","-","9.4","21","0","1","19","0","0"
"12","1967","17.6","23.0","13.2","-","9.6","42","0","9","13","0","0"
"13","1973","17.9","23.6","13.5","-","7.9","30","0","0","23","0","0"
"14","1974","17.5","23.4","12.5","117.62","8.4","38","1","5","35","0","1"
"15","1975","18.1","23.8","13.1","-","9.9","29","0","5","33","0","0"
"16","1976","18.4","23.1","13.8","-","11.1","53","0","3","10","0","0"
"17","1977","18.4","23.5","13.8","251.21","10.0","39","0","4","33","0","0"
"18","1978","18.3","23.5","13.5","180.84","8.2","46","2","3","39","0","0"
"19","1979","-","-","-","-","-","42","0","5","27","0","0"
"20","1980","18.6","23.9","13.9","245.36","8.6","50","1","5","38","0","2"
"21","1981","18.6","23.7","13.9","117.12","9.6","46","0","4","26","0","0"
"22","1982","17.9","23.3","13.0","207.25","8.0","34","0","9","27","0","3"
"23","1983","19.3","25.1","14.4","180.33","9.4","53","0","10","13","0","1"
"24","1984","17.8","23.1","13.0","141.21","9.1","34","0","3","34","0","0"
"25","1985","18.5","23.6","13.7","133.60","9.8","31","0","1","27","0","0"
"26","1986","17.9","22.7","13.3","341.39","9.0","29","0","2","36","0","0"
"27","1987","19.3","24.3","14.8","392.18","9.6","50","0","4","27","0","1"
"28","1988","18.4","23.5","13.7","420.66","8.0","45","0","10","28","0","0"
"29","1989","19.2","24.3","14.6","306.32","13.1","51","1","12","21","0","1"
"30","1990","18.9","24.2","14.0","187.45","11.4","27","0","3","23","0","1"
"31","1991","-","-","-","-","-","38","0","0","37","0","0"
"32","2005","-","-","-","-","-","-","-","-","-","-","-"
"33","2006","-","-","-","-","-","-","-","-","-","-","-"
"34","2019","-","-","-","-","-","-","-","-","-","-","-"
