"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1994","-","-","-","-","-","-","-","-","-","-","-"
"2","1995","-","-","-","-","-","-","-","-","-","-","-"
"3","1996","-","-","-","-","-","-","-","-","-","-","-"
"4","1997","-","-","-","-","-","-","-","-","-","-","-"
"5","1998","-","-","-","-","-","-","-","-","-","-","-"
"6","1999","11.2","15.1","7.5","971.70","15.8","0","0","0","0","0","0"
"7","2000","11.3","14.8","7.9","910.75","15.9","0","0","0","0","0","0"
"8","2001","-","-","-","-","-","-","-","-","-","-","-"
"9","2002","-","-","-","-","-","-","-","-","-","-","-"
"10","2003","10.8","15.5","6.2","854.96","13.6","0","0","0","0","0","0"
"11","2004","10.6","14.5","6.6","672.04","14.8","0","0","0","0","0","0"
"12","2005","-","-","-","-","-","-","-","-","-","-","-"
"13","2006","11.2","15.1","7.4","714.24","14.9","0","0","0","0","0","0"
"14","2007","11.4","15.4","7.6","794.25","15.3","0","0","0","0","0","0"
"15","2008","10.6","14.5","6.8","782.58","15.0","60","16","0","20","0","0"
"16","2009","10.8","14.9","6.6","758.18","14.3","222","15","27","65","0","2"
"17","2010","9.5","13.5","5.5","766.58","13.9","226","42","17","75","0","0"
"18","2011","11.5","15.8","7.4","757.66","14.8","230","5","25","54","0","0"
"19","2012","10.5","14.5","6.8","891.02","14.4","239","8","32","63","0","0"
"20","2013","10.1","14.0","6.2","-","14.8","210","26","15","61","0","1"
"21","2014","11.9","15.9","7.9","733.86","14.1","197","1","33","62","0","0"
"22","2015","11.2","15.4","7.0","648.45","15.7","227","9","21","48","0","0"
"23","2016","11.1","14.8","7.0","-","14.2","221","5","18","56","0","0"
"24","2017","11.4","15.3","7.2","-","14.5","227","17","23","52","0","0"
"25","2018","-","-","-","-","-","-","-","-","-","-","-"
"26","2019","-","-","-","-","-","-","-","-","-","-","-"
