"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","-","-","-","-","-","-","-","-","-","-","-"
"2","1958","-","-","-","-","-","-","-","-","-","-","-"
"3","1959","-","-","-","-","-","-","-","-","-","-","-"
"4","1960","-","-","-","-","-","-","-","-","-","-","-"
"5","1961","11.1","16.9","5.5","2761.20","11.5","91","26","9","27","0","0"
"6","1962","10.5","16.0","5.2","2767.54","12.9","96","30","7","18","0","0"
"7","1963","10.0","15.4","4.8","-","11.6","111","35","13","22","0","0"
"8","1964","10.7","15.6","6.3","-","11.4","109","30","14","18","0","4"
"9","1965","-","-","-","-","-","-","-","-","-","-","-"
"10","1966","-","-","-","-","-","-","-","-","-","-","-"
"11","1967","-","-","-","-","-","-","-","-","-","-","-"
"12","1968","-","-","-","-","-","-","-","-","-","-","-"
"13","1969","-","-","-","-","-","-","-","-","-","-","-"
"14","1970","9.8","14.9","4.9","2157.68","-","94","33","10","23","0","0"
"15","1971","-","-","-","-","-","-","-","-","-","-","-"
"16","1973","10.6","15.6","5.8","-","15.7","96","29","10","7","0","2"
"17","1974","9.7","14.9","4.5","-","12.4","95","19","10","27","0","0"
"18","1975","11.0","16.3","5.8","-","7.2","90","14","7","36","0","0"
"19","1976","9.8","14.8","4.7","-","11.0","109","27","7","16","1","0"
"20","1977","10.7","16.2","5.1","-","12.9","79","20","4","33","0","1"
"21","1978","10.7","16.1","5.4","-","7.8","97","26","18","24","0","0"
"22","1979","11.0","16.3","5.6","-","7.1","106","33","9","21","0","0"
"23","1980","9.4","14.7","4.1","-","8.4","97","31","8","28","0","1"
"24","1981","9.7","15.2","4.3","-","7.9","108","25","5","25","0","0"
"25","1982","10.9","16.6","5.4","-","7.7","98","19","15","30","0","0"
"26","1983","10.8","16.2","5.7","-","7.6","99","23","14","22","0","0"
"27","1984","10.0","15.3","4.8","-","7.9","91","23","8","18","1","1"
"28","1985","10.0","15.1","5.0","-","6.9","105","39","16","21","1","0"
"29","1986","9.9","15.1","4.8","-","7.6","97","20","14","19","0","0"
"30","1987","10.4","15.8","5.1","-","7.7","96","18","8","19","0","0"
"31","1988","10.6","16.4","5.3","-","7.3","76","20","7","16","0","0"
"32","1989","11.4","17.1","6.1","-","6.2","95","14","10","13","0","0"
"33","1990","11.2","16.2","6.5","-","7.1","106","22","10","30","0","1"
"34","1991","10.8","15.9","5.3","-","9.1","72","27","7","11","0","0"
"35","1992","11.0","16.0","5.8","-","6.7","95","16","5","22","0","0"
"36","1993","10.7","15.7","5.7","-","9.0","87","16","10","20","0","0"
"37","1994","11.8","16.6","6.5","-","7.6","88","14","22","25","0","0"
"38","1995","10.7","16.0","5.6","-","6.3","91","18","17","23","0","0"
"39","1996","10.5","16.1","5.2","-","6.4","76","17","12","15","0","0"
"40","1997","10.9","16.7","5.5","-","6.5","83","19","5","36","0","0"
"41","1998","12.2","17.3","7.0","-","8.5","91","20","9","25","0","0"
"42","1999","11.6","17.0","6.3","821.36","7.3","71","14","4","20","0","0"
"43","2000","10.5","15.5","5.2","-","8.4","94","27","1","19","0","0"
"44","2001","10.8","16.2","5.6","-","8.9","69","29","8","26","0","0"
"45","2002","-","-","-","-","-","-","-","-","-","-","-"
"46","2003","11.2","16.3","6.4","-","7.3","97","17","1","25","0","0"
"47","2004","-","-","-","-","-","-","-","-","-","-","-"
"48","2005","-","-","-","-","-","-","-","-","-","-","-"
"49","2006","-","-","-","-","-","-","-","-","-","-","-"
"50","2007","-","-","-","-","-","-","-","-","-","-","-"
"51","2008","11.3","16.9","6.3","-","9.1","87","15","1","35","0","0"
"52","2009","-","-","-","-","-","-","-","-","-","-","-"
"53","2010","-","-","-","-","-","-","-","-","-","-","-"
"54","2011","-","-","-","-","-","90","19","5","31","0","0"
"55","2012","10.3","15.8","4.8","-","8.9","80","18","2","22","0","0"
"56","2013","10.7","16.5","5.7","-","-","83","36","5","36","0","0"
"57","2014","12.1","17.8","6.1","-","-","65","15","4","13","0","0"
"58","2015","12.1","17.5","6.9","-","-","73","16","0","16","0","0"
"59","2016","12.1","17.5","6.7","-","-","79","14","1","25","0","0"
"60","2017","11.7","16.3","6.2","-","-","69","27","2","13","0","0"
"61","2018","11.6","16.1","6.1","-","-","70","14","0","10","0","0"
"62","2019","-","-","-","-","-","-","-","-","-","-","-"
