"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2003","-","-","-","-","-","-","-","-","-","-","-"
"2","2004","-","-","-","-","-","-","-","-","-","-","-"
"3","2005","-","-","-","-","-","-","-","-","-","-","-"
"4","2006","0.0","3.4","-3.9","737.82","19.0","0","0","0","0","0","0"
"5","2007","-1.0","2.6","-5.1","82.06","20.2","0","0","0","0","0","0"
"6","2008","-","-","-","-","-","-","-","-","-","-","-"
"7","2009","-","-","-","-","-","-","-","-","-","-","-"
"8","2010","-2.8","0.8","-7.3","601.13","17.0","0","0","0","0","0","0"
"9","2011","-","-","-","-","-","-","-","-","-","-","-"
"10","2012","-1.7","1.5","-5.6","625.31","20.0","0","0","0","0","0","0"
"11","2013","-1.5","2.2","-5.6","924.05","19.4","0","0","0","0","0","0"
"12","2014","-","-","-","-","-","-","-","-","-","-","-"
"13","2015","-0.4","2.7","-4.1","793.38","22.8","0","0","0","0","0","0"
"14","2016","-","-","-","-","-","-","-","-","-","-","-"
"15","2017","-","-","-","-","-","-","-","-","-","-","-"
"16","2018","-","-","-","-","-","0","0","0","0","0","0"
"17","2019","-","-","-","-","-","-","-","-","-","-","-"
