"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2002","-","-","-","-","-","-","-","-","-","-","-"
"2","2003","-","-","-","-","-","-","-","-","-","-","-"
"3","2004","-","-","-","-","-","-","-","-","-","-","-"
"4","2005","-","-","-","-","-","-","-","-","-","-","-"
"5","2006","-","-","-","-","-","-","-","-","-","-","-"
"6","2007","-","-","-","-","-","-","-","-","-","-","-"
"7","2008","-","-","-","-","-","-","-","-","-","-","-"
"8","2009","24.3","31.6","17.1","365.02","5.2","22","0","28","19","0","0"
"9","2010","-","-","-","-","-","23","0","37","34","0","0"
"10","2011","24.0","30.6","17.6","488.17","4.8","33","0","37","25","0","0"
"11","2012","24.0","30.9","17.2","371.09","5.5","26","0","33","20","0","1"
"12","2013","24.4","30.9","18.4","383.51","5.4","22","0","23","24","0","1"
"13","2014","-","-","-","-","-","-","-","-","-","-","-"
"14","2018","-","-","-","-","-","-","-","-","-","-","-"
"15","2019","-","-","-","-","-","-","-","-","-","-","-"
