"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","2002","-","-","-","-","-","-","-","-","-","-","-"
"2","2003","7.6","12.1","3.1","-","10.8","149","53","17","111","0","2"
"3","2004","7.5","11.6","3.0","-","11.4","189","63","12","132","0","1"
"4","2005","-","-","-","-","-","-","-","-","-","-","-"
"5","2006","8.8","12.9","4.5","-","9.5","159","46","17","101","0","0"
"6","2007","-","-","-","-","-","-","-","-","-","-","-"
"7","2008","-","-","-","-","-","-","-","-","-","-","-"
"8","2009","7.6","11.6","3.1","-","11.7","169","54","17","110","0","1"
"9","2010","6.6","11.1","1.4","-","11.7","156","91","16","79","0","1"
"10","2011","-","-","-","-","-","-","-","-","-","-","-"
"11","2012","7.6","12.2","2.6","-","12.2","187","73","18","97","0","1"
"12","2013","8.1","12.7","2.9","-","12.2","193","76","35","97","0","2"
"13","2014","8.6","13.1","3.4","-","12.8","168","23","22","76","0","0"
"14","2015","-","-","-","-","-","-","-","-","-","-","-"
"15","2016","8.0","12.3","3.0","1011.82","12.2","209","47","21","93","0","2"
"16","2017","7.7","11.6","3.1","1288.26","13.8","234","54","9","80","0","0"
"17","2018","-","-","-","-","-","-","-","-","-","-","-"
"18","2019","-","-","-","-","-","-","-","-","-","-","-"
