"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","14.3","19.1","10.3","1761.50","9.0","151","1","9","163","0","2"
"6","1978","14.2","19.4","9.9","1510.82","8.9","148","0","6","137","0","2"
"7","1979","14.6","19.5","10.1","1571.48","9.1","124","0","11","124","0","2"
"8","1980","14.3","19.4","9.9","1075.25","7.5","129","0","8","139","0","1"
"9","1981","14.8","20.2","10.4","1304.34","7.9","116","2","14","140","0","0"
"10","1982","14.6","19.6","10.2","1335.09","7.6","126","0","7","147","0","0"
"11","1983","14.5","19.2","10.4","1299.69","7.3","130","0","17","150","0","0"
"12","1984","14.4","19.3","10.0","1832.35","7.5","142","0","11","137","0","1"
"13","1985","14.5","19.9","9.8","1487.46","7.9","122","0","9","143","0","0"
"14","1986","14.2","19.1","9.9","1497.85","7.2","141","0","11","162","0","0"
"15","1987","15.2","20.3","11.0","1809.77","7.7","149","1","13","145","0","3"
"16","1988","14.7","20.0","10.4","1216.39","7.6","141","0","9","128","0","0"
"17","1989","15.7","21.1","11.0","1355.81","8.1","121","0","15","139","0","0"
"18","1990","15.6","20.8","10.8","1128.28","7.6","112","0","13","128","0","0"
"19","1991","-","-","-","-","-","-","-","-","-","-","-"
"20","1992","14.8","20.0","9.9","942.81","7.6","103","0","7","51","0","0"
"21","1993","-","-","-","-","-","-","-","-","-","-","-"
"22","1994","15.5","19.6","11.2","1528.30","8.9","128","0","2","44","0","0"
"23","1995","-","-","-","-","-","-","-","-","-","-","-"
"24","1996","-","-","-","-","-","-","-","-","-","-","-"
"25","1997","-","-","-","-","-","-","-","-","-","-","-"
"26","1998","15.2","21.0","10.1","1136.18","3.6","137","0","8","41","0","3"
"27","1999","14.8","20.3","10.0","1378.17","3.8","147","1","14","19","0","1"
"28","2000","14.7","20.2","9.9","-","3.8","173","0","11","32","0","0"
"29","2001","14.8","20.4","9.9","1823.19","7.3","145","0","11","30","0","3"
"30","2002","-","-","-","-","-","156","0","15","31","0","0"
"31","2003","15.3","20.7","10.5","1393.16","7.1","130","0","3","14","0","0"
"32","2004","15.0","20.9","9.9","885.41","6.9","100","0","4","14","0","0"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","-","-","-","-","-","-","-","-","-","-","-"
