"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1952","-","-","-","-","-","-","-","-","-","-","-"
"2","1953","-","-","-","-","-","-","-","-","-","-","-"
"3","1954","-","-","-","-","-","-","-","-","-","-","-"
"4","1955","-","-","-","-","-","-","-","-","-","-","-"
"5","1956","-","-","-","-","-","-","-","-","-","-","-"
"6","1957","-","-","-","-","-","-","-","-","-","-","-"
"7","1958","-","-","-","-","-","-","-","-","-","-","-"
"8","1959","-","-","-","-","-","-","-","-","-","-","-"
"9","1960","9.7","14.9","5.1","-","11.3","89","24","17","60","0","1"
"10","1961","9.3","14.9","4.5","-","9.9","92","32","20","49","0","1"
"11","1962","8.7","14.5","3.7","-","11.8","88","46","20","68","1","0"
"12","1963","8.4","14.4","2.7","-","10.9","69","51","17","35","0","0"
"13","1964","-","-","-","-","-","91","43","20","49","0","0"
"14","1965","8.2","13.1","3.6","-","14.3","78","45","17","59","0","0"
"15","1966","9.7","14.8","5.3","-","12.4","106","36","17","80","0","0"
"16","1967","9.4","14.5","4.7","-","13.0","88","39","30","69","0","0"
"17","1973","8.8","14.3","3.5","348.48","9.7","64","40","35","46","0","0"
"18","1974","9.1","14.6","4.6","569.50","8.6","92","26","31","52","0","2"
"19","1975","10.1","15.9","5.2","480.75","10.2","82","30","44","43","0","0"
"20","1976","8.2","13.6","3.5","551.41","9.0","107","44","35","51","0","0"
"21","1977","9.3","14.7","4.6","416.84","9.2","102","35","35","61","0","1"
"22","1978","8.4","13.7","3.2","646.68","8.5","110","35","35","69","1","1"
"23","1979","9.1","14.5","4.7","896.84","10.1","114","37","40","55","1","3"
"24","1980","7.6","13.0","3.2","767.09","8.7","110","55","45","63","1","3"
"25","1981","9.1","14.3","4.2","581.94","9.9","102","51","21","73","1","2"
"26","1982","9.0","14.5","4.1","826.76","8.0","101","36","36","86","0","2"
"27","1983","9.8","15.9","4.1","770.43","9.1","96","36","41","49","0","4"
"28","1984","9.3","13.7","4.6","727.45","9.6","120","63","36","68","0","2"
"29","1985","8.0","13.2","2.8","382.04","8.6","100","54","30","79","0","2"
"30","1986","-","-","-","-","-","-","-","-","-","-","-"
"31","1987","8.4","13.4","3.4","546.58","9.5","123","52","37","74","0","2"
"32","1988","9.0","14.1","4.1","628.39","8.9","120","60","24","74","0","1"
"33","1989","10.4","16.1","5.4","509.01","8.0","130","25","27","45","0","0"
"34","1990","10.9","16.5","5.3","243.35","8.2","90","30","24","45","0","0"
"35","1991","9.2","14.1","4.9","360.42","9.1","123","40","38","57","1","0"
"36","1992","9.8","15.3","4.5","206.32","8.8","109","43","35","28","0","0"
"37","1993","8.8","14.3","3.2","604.08","8.5","122","53","35","54","1","1"
"38","1994","10.9","16.6","5.3","736.66","9.0","122","28","21","56","0","4"
"39","1995","9.4","14.9","4.3","231.73","9.1","113","60","28","58","0","2"
"40","1996","8.7","13.3","3.7","331.07","9.2","136","66","33","57","1","1"
"41","1997","8.9","14.1","3.9","862.38","8.9","127","43","30","56","0","3"
"42","1998","9.6","15.0","4.3","367.36","8.2","124","43","28","46","2","0"
"43","1999","10.9","16.0","5.5","232.35","8.6","116","39","35","53","0","1"
"44","2000","11.2","16.5","5.5","-","9.0","101","34","32","51","0","1"
"45","2001","10.2","15.6","5.0","-","9.9","110","57","44","38","0","2"
"46","2002","-","-","-","-","-","115","40","36","40","0","0"
"47","2003","9.9","14.9","4.3","446.33","10.5","130","55","33","65","0","1"
"48","2004","9.8","15.3","4.8","542.07","9.8","118","44","33","57","0","0"
"49","2005","-","-","-","-","-","-","-","-","-","-","-"
"50","2006","9.5","15.5","4.1","607.77","9.1","120","46","37","52","0","1"
"51","2007","11.6","17.4","5.6","572.23","10.0","125","27","31","44","0","0"
"52","2008","11.2","16.6","5.5","601.17","11.7","143","42","40","58","0","0"
"53","2009","11.3","16.8","5.1","604.02","11.5","131","39","26","65","0","0"
"54","2010","10.4","15.4","5.1","827.42","11.4","142","60","42","77","0","0"
"55","2011","10.2","16.5","4.1","474.18","10.4","108","52","27","51","1","0"
"56","2012","10.5","17.6","3.8","611.35","10.5","108","68","28","59","0","1"
"57","2013","10.7","16.8","4.9","581.83","10.6","133","37","38","97","0","0"
"58","2014","10.7","16.3","5.3","797.81","10.5","148","41","36","76","0","0"
"59","2015","11.7","17.9","5.5","480.82","10.5","125","35","25","58","0","3"
"60","2016","11.7","17.5","5.3","922.49","10.8","160","35","33","31","0","1"
"61","2017","11.6","17.2","4.7","1662.17","13.1","146","32","32","50","0","1"
"62","2018","11.2","17.0","5.3","-","11.8","134","62","31","56","0","1"
"63","2019","-","-","-","-","-","-","-","-","-","-","-"
