"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1953","-","-","-","-","-","-","-","-","-","-","-"
"2","1954","-","-","-","-","-","-","-","-","-","-","-"
"3","1955","-","-","-","-","-","-","-","-","-","-","-"
"4","1956","-","-","-","-","-","-","-","-","-","-","-"
"5","1957","-","-","-","-","-","-","-","-","-","-","-"
"6","1958","-","-","-","-","-","-","-","-","-","-","-"
"7","1959","-","-","-","-","-","-","-","-","-","-","-"
"8","1960","-","-","-","-","-","-","-","-","-","-","-"
"9","1961","-","-","-","-","-","-","-","-","-","-","-"
"10","1969","-2.2","2.5","-7.5","-","15.4","84","108","18","35","0","0"
"11","1970","-0.6","4.4","-6.5","-","16.4","84","117","20","18","0","1"
"12","1971","-","-","-","-","-","-","-","-","-","-","-"
"13","1973","-","-","-","-","-","-","-","-","-","-","-"
"14","1974","-","-","-","-","-","-","-","-","-","-","-"
"15","1975","0.5","5.3","-5.1","-","12.0","84","128","15","14","0","2"
"16","1976","-0.7","4.3","-6.4","-","-","51","102","23","20","0","0"
"17","1977","-","-","-","-","-","-","-","-","-","-","-"
"18","1978","-","-","-","-","-","-","-","-","-","-","-"
"19","1979","-","-","-","-","-","-","-","-","-","-","-"
"20","1980","0.1","5.1","-5.7","-","-","62","102","13","9","0","0"
"21","1981","0.6","5.6","-5.6","-","8.9","58","103","8","26","0","0"
"22","1982","-","-","-","-","-","-","-","-","-","-","-"
"23","1983","-","-","-","-","-","-","-","-","-","-","-"
"24","1984","-","-","-","-","-","-","-","-","-","-","-"
"25","1985","-0.6","4.2","-5.6","-","-","75","101","11","17","0","2"
"26","1986","-","-","-","-","-","-","-","-","-","-","-"
"27","1987","-","-","-","-","-","-","-","-","-","-","-"
"28","1988","-","-","-","-","-","-","-","-","-","-","-"
"29","1989","1.4","-","-4.3","-","-","49","113","19","6","0","0"
"30","1990","-","-","-","-","-","-","-","-","-","-","-"
