"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1973","-","-","-","-","-","-","-","-","-","-","-"
"2","1974","-","-","-","-","-","-","-","-","-","-","-"
"3","1975","-","-","-","-","-","-","-","-","-","-","-"
"4","1976","-","-","-","-","-","-","-","-","-","-","-"
"5","1977","-","-","-","-","-","-","-","-","-","-","-"
"6","1978","22.1","30.0","13.1","-","9.6","20","0","3","1","0","2"
"7","1979","23.3","30.3","14.8","-","12.0","19","1","7","1","0","3"
"8","1980","22.3","30.3","14.1","-","10.4","25","0","7","1","0","0"
"9","1981","21.9","30.0","13.8","-","11.1","25","0","6","0","0","2"
"10","1982","20.7","28.3","13.3","-","11.2","30","0","10","1","0","1"
"11","1983","20.9","28.6","13.1","5.08","9.7","12","0","5","0","0","0"
"12","1984","20.4","29.6","13.8","0.00","8.7","13","1","7","1","0","2"
"13","1985","21.5","30.0","14.8","0.00","9.3","19","0","5","0","0","1"
"14","1986","21.5","29.4","14.6","2.04","11.0","13","0","4","1","0","2"
"15","1987","22.2","30.3","14.5","26.41","11.0","19","1","9","1","0","0"
"16","1988","22.0","29.7","14.6","2.03","11.8","29","1","13","0","1","2"
"17","1989","21.4","29.5","13.8","119.89","10.3","22","0","14","4","0","2"
"18","1990","21.9","29.9","14.2","2.04","-","14","0","7","2","0","1"
"19","1991","22.0","29.6","14.6","0.51","-","22","2","5","0","0","1"
"20","1992","20.5","28.1","13.0","0.00","10.1","26","2","6","2","0","1"
"21","1993","21.6","29.4","14.1","0.00","9.8","32","2","12","1","0","0"
"22","1994","21.4","29.2","14.4","195.83","9.9","30","0","17","1","0","0"
"23","1995","21.8","29.8","14.3","1.02","10.5","14","0","2","0","0","0"
"24","1996","22.4","30.4","14.7","1.02","10.4","16","1","8","1","0","0"
"25","1997","21.2","29.3","12.5","33.02","10.0","14","1","8","1","0","1"
"26","1998","22.8","30.9","15.2","0.00","10.2","9","1","3","0","0","0"
"27","1999","22.5","30.4","15.0","-","9.1","13","0","4","0","0","1"
"28","2000","21.9","29.6","14.5","0.00","9.1","10","0","10","0","1","0"
"29","2001","22.6","30.5","15.0","10.93","7.8","8","0","8","1","0","1"
"30","2002","-","-","-","-","-","7","0","6","0","0","0"
"31","2003","22.6","30.3","14.9","0.00","9.5","7","0","5","0","0","0"
"32","2004","22.5","30.2","14.7","1.02","9.1","7","0","4","0","0","0"
"33","2005","-","-","-","-","-","-","-","-","-","-","-"
"34","2006","22.3","29.9","14.8","58.17","9.5","7","0","5","0","0","0"
"35","2007","22.5","30.2","14.8","81.80","9.5","10","1","5","0","0","0"
"36","2008","22.7","30.3","15.1","1.02","10.3","6","0","1","1","0","0"
"37","2009","22.6","30.1","15.1","30.48","9.5","13","0","2","1","0","1"
"38","2010","24.6","32.1","16.7","19.56","8.7","11","0","7","0","0","3"
"39","2011","22.3","29.6","14.9","20.83","9.8","8","0","7","0","0","1"
"40","2012","23.0","30.2","15.4","-","10.8","17","1","9","0","0","0"
"41","2013","22.9","30.1","15.5","93.75","11.0","18","0","4","0","0","0"
"42","2014","23.2","30.4","16.0","42.90","11.4","16","0","6","1","0","0"
"43","2015","23.3","30.5","16.2","86.09","12.1","12","0","9","2","0","0"
"44","2016","23.6","30.8","16.3","26.67","11.6","6","0","7","0","0","0"
"45","2017","23.5","31.1","16.1","16.01","11.6","9","0","9","0","0","0"
"46","2018","24.0","31.2","16.7","-","12.0","18","0","18","0","0","0"
"47","2019","-","-","-","-","-","-","-","-","-","-","-"
