"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1988","-","-","-","-","-","-","-","-","-","-","-"
"2","1989","8.4","12.8","4.2","526.32","11.9","115","31","14","38","0","0"
"3","1990","8.5","12.8","4.1","458.96","9.1","112","33","12","21","0","1"
"4","1991","7.1","11.2","2.9","465.80","10.3","100","41","10","33","0","2"
"5","1992","8.7","12.7","4.2","479.84","11.6","107","41","16","20","0","0"
"6","1993","7.9","12.0","3.4","591.06","11.4","103","39","17","14","0","0"
"7","1994","9.1","13.3","4.6","591.87","11.5","119","33","15","26","0","1"
"8","1995","-","-","-","-","-","124","65","14","24","0","0"
"9","1996","5.9","9.9","2.3","518.98","9.4","116","60","14","34","0","0"
"10","1997","7.4","11.6","3.5","536.52","9.9","115","49","12","24","0","1"
"11","1998","8.1","12.3","4.3","604.01","10.3","122","36","17","15","0","1"
"12","1999","8.2","12.5","4.1","585.90","9.2","121","60","6","16","0","1"
"13","2000","8.8","13.2","4.7","628.87","8.8","139","45","12","27","0","1"
"14","2001","7.6","11.9","3.5","654.01","9.1","150","55","13","38","0","1"
"15","2002","-","-","-","-","-","-","-","-","-","-","-"
"16","2003","8.2","12.9","3.3","441.95","12.0","125","50","21","16","0","0"
"17","2004","7.4","11.6","3.2","610.66","12.6","160","64","16","16","0","1"
"18","2005","-","-","-","-","-","-","-","-","-","-","-"
"19","2006","8.0","12.4","3.7","726.37","9.9","214","64","16","31","0","1"
"20","2007","9.0","13.3","4.5","617.40","11.3","204","51","18","20","0","1"
"21","2008","8.7","13.0","4.5","480.26","11.9","220","53","18","17","0","0"
"22","2009","8.2","12.3","3.9","683.25","12.2","211","71","24","45","0","1"
"23","2010","6.8","10.8","2.6","874.25","12.4","192","92","12","49","0","1"
"24","2011","8.4","12.8","4.0","607.52","14.9","180","47","18","31","0","0"
"25","2012","8.4","12.7","4.0","716.98","17.5","209","64","18","40","0","0"
"26","2013","8.0","11.9","4.1","745.49","13.1","206","78","12","57","0","0"
"27","2014","9.4","13.6","5.3","695.71","11.0","195","35","29","67","0","3"
"28","2015","9.5","13.6","5.1","565.64","12.0","198","53","15","35","0","3"
"29","2016","8.6","12.6","4.3","633.16","11.7","211","66","9","34","0","0"
"30","2017","8.4","12.4","4.1","1038.85","11.9","196","67","10","34","0","1"
"31","2018","9.6","13.8","5.0","-","12.1","158","57","17","42","0","0"
"32","2019","-","-","-","-","-","-","-","-","-","-","-"
