"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","23.1","27.9","16.5","0.00","10.9","0","0","0","0","0","0"
"2","1958","23.4","28.1","16.5","0.00","11.1","0","0","0","0","0","0"
"3","1959","23.2","27.8","16.6","0.00","12.4","0","0","0","0","0","0"
"4","1960","23.3","27.9","16.5","0.00","13.1","0","0","0","0","0","0"
"5","1961","23.7","28.2","17.5","0.00","16.8","0","0","0","0","0","0"
"6","1973","-","-","-","-","-","-","-","-","-","-","-"
"7","1974","-","-","-","-","-","-","-","-","-","-","-"
"8","1975","-","-","-","-","-","-","-","-","-","-","-"
"9","1976","-","-","-","-","-","-","-","-","-","-","-"
"10","1977","-","-","-","-","-","-","-","-","-","-","-"
"11","1978","-","-","-","-","-","-","-","-","-","-","-"
"12","1979","-","-","-","-","-","-","-","-","-","-","-"
"13","1980","-","-","-","-","-","-","-","-","-","-","-"
"14","1981","-","-","-","-","-","-","-","-","-","-","-"
"15","1982","-","-","-","-","-","-","-","-","-","-","-"
"16","1983","-","-","-","-","-","-","-","-","-","-","-"
"17","1984","-","-","-","-","-","-","-","-","-","-","-"
"18","1985","-","-","-","-","-","-","-","-","-","-","-"
"19","1986","-","-","-","-","-","-","-","-","-","-","-"
"20","1987","-","-","-","-","-","-","-","-","-","-","-"
"21","1988","-","-","-","-","-","-","-","-","-","-","-"
"22","1989","-","-","-","-","-","-","-","-","-","-","-"
"23","1990","-","-","-","-","-","-","-","-","-","-","-"
"24","1991","-","-","-","-","-","-","-","-","-","-","-"
"25","1992","-","-","-","-","-","-","-","-","-","-","-"
"26","1993","-","-","-","-","-","-","-","-","-","-","-"
"27","1994","-","-","-","-","-","-","-","-","-","-","-"
"28","1995","-","-","-","-","-","-","-","-","-","-","-"
"29","1996","-","-","-","-","-","-","-","-","-","-","-"
"30","1997","-","-","-","-","-","-","-","-","-","-","-"
"31","1998","-","-","-","-","-","-","-","-","-","-","-"
"32","1999","-","-","-","-","-","-","-","-","-","-","-"
"33","2000","-","-","-","-","-","-","-","-","-","-","-"
"34","2001","-","-","-","-","-","-","-","-","-","-","-"
"35","2002","-","-","-","-","-","-","-","-","-","-","-"
"36","2003","-","-","-","-","-","-","-","-","-","-","-"
"37","2004","-","-","-","-","-","-","-","-","-","-","-"
"38","2005","-","-","-","-","-","-","-","-","-","-","-"
"39","2006","-","-","-","-","-","-","-","-","-","-","-"
"40","2007","22.8","29.0","17.2","-","15.8","67","0","54","3","0","0"
"41","2008","-","-","-","-","-","-","-","-","-","-","-"
"42","2009","23.0","29.3","17.3","-","15.5","54","0","57","1","0","0"
"43","2010","-","-","-","-","-","-","-","-","-","-","-"
"44","2011","22.9","29.2","17.5","-","14.4","51","0","41","3","0","0"
"45","2012","22.9","29.0","17.5","-","15.9","49","0","41","1","0","0"
"46","2013","23.2","29.3","17.7","-","16.3","43","1","39","0","0","0"
"47","2014","22.9","29.0","17.8","-","16.2","61","2","49","0","0","1"
"48","2015","-","-","-","-","-","-","-","-","-","-","-"
"49","2016","-","-","-","-","-","-","-","-","-","-","-"
"50","2017","23.4","29.7","18.1","470.68","15.0","40","2","54","0","0","4"
"51","2018","-","-","-","-","-","-","-","-","-","-","-"
"52","2019","-","-","-","-","-","-","-","-","-","-","-"
