"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1985","-","-","-","-","-","-","-","-","-","-","-"
"2","1986","-","-","-","-","-","-","-","-","-","-","-"
"3","1987","-","-","-","-","-","-","-","-","-","-","-"
"4","1988","-","-","-","-","-","-","-","-","-","-","-"
"5","1989","-","-","-","-","-","-","-","-","-","-","-"
"6","1990","-","-","-","-","-","-","-","-","-","-","-"
"7","1991","-","-","-","-","-","-","-","-","-","-","-"
"8","1992","-","-","-","-","-","-","-","-","-","-","-"
"9","2001","-","-","-","-","-","-","-","-","-","-","-"
"10","2002","-","-","-","-","-","-","-","-","-","-","-"
"11","2003","27.1","33.0","22.2","905.47","1.6","92","0","46","1","0","0"
"12","2004","27.2","33.1","22.1","1119.43","1.9","93","0","35","9","0","0"
"13","2005","-","-","-","-","-","-","-","-","-","-","-"
"14","2006","27.5","33.2","22.8","1067.36","1.9","93","0","62","1","0","0"
"15","2007","27.3","32.9","22.7","1030.92","2.2","94","0","55","2","0","0"
"16","2008","26.8","32.4","22.3","1337.27","2.3","104","0","57","4","0","0"
"17","2009","27.2","33.1","22.5","1044.13","2.6","103","0","51","10","0","1"
"18","2010","27.8","33.6","23.2","1543.25","2.5","110","0","52","3","0","0"
"19","2011","26.6","32.1","22.1","1251.90","2.9","113","0","45","7","0","0"
"20","2012","27.9","33.6","23.4","885.18","2.8","98","0","40","12","0","0"
"21","2013","27.4","33.1","22.8","1423.65","2.6","93","0","45","2","0","0"
"22","2014","27.6","33.5","22.8","1001.44","2.6","88","0","51","2","0","0"
"23","2015","27.9","34.0","23.1","1102.83","2.2","93","0","59","6","0","0"
"24","2016","-","-","-","-","-","-","-","-","-","-","-"
"25","2017","27.5","33.2","23.0","1142.48","2.3","111","0","55","2","0","0"
"26","2018","27.6","33.2","23.0","976.90","2.2","94","0","33","4","0","0"
"27","2019","-","-","-","-","-","-","-","-","-","-","-"
