"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1957","-","-","-","-","-","-","-","-","-","-","-"
"2","1958","-","-","-","-","-","-","-","-","-","-","-"
"3","1962","-","-","-","-","-","-","-","-","-","-","-"
"4","1964","-","-","-","-","-","-","-","-","-","-","-"
"5","1965","-","-","-","-","-","-","-","-","-","-","-"
"6","1966","19.3","26.1","13.1","-","9.5","66","0","22","2","0","1"
"7","1967","19.1","26.4","12.5","-","7.8","45","0","33","5","0","0"
"8","1973","18.7","25.6","13.0","-","10.3","73","2","26","4","0","0"
"9","1974","-","-","-","-","-","-","-","-","-","-","-"
"10","1975","18.9","25.4","12.8","-","10.9","61","1","14","2","1","0"
"11","1976","18.1","24.4","12.4","-","-","81","0","40","10","0","0"
"12","1977","19.7","26.7","13.5","-","-","44","2","16","6","0","0"
"13","1978","19.0","25.9","13.0","-","-","63","0","23","1","0","0"
"14","1979","19.4","26.0","13.5","-","8.8","66","1","18","3","0","1"
"15","1980","18.8","25.7","12.9","119.42","8.6","69","0","11","3","0","0"
"16","1981","19.3","26.3","13.6","124.49","9.7","66","2","19","3","1","0"
"17","1982","19.9","26.5","14.6","393.71","8.4","76","1","23","3","0","1"
"18","1983","19.5","26.3","13.6","144.02","7.7","46","0","16","3","0","0"
"19","1984","18.9","25.5","13.1","211.07","8.0","67","0","21","2","0","0"
"20","1985","19.5","26.4","13.3","264.64","7.5","53","3","15","1","0","0"
"21","1986","19.5","26.0","14.1","276.07","8.8","76","1","34","2","0","0"
"22","1987","20.0","26.8","14.1","202.68","8.9","50","2","12","4","0","1"
"23","1988","20.0","26.8","14.1","196.09","9.0","60","0","20","4","0","0"
"24","1989","19.6","26.3","13.9","290.31","-","52","0","19","7","1","2"
"25","1990","19.8","26.2","14.4","508.79","8.0","67","0","33","2","0","2"
"26","1991","19.0","25.5","13.4","330.51","8.0","50","0","20","1","0","1"
"27","1992","19.2","25.8","13.4","587.00","7.3","69","0","22","5","0","0"
"28","1993","-","-","-","-","-","-","-","-","-","-","-"
"29","1994","21.1","27.7","14.9","278.63","8.4","30","0","21","6","0","0"
"30","1995","20.2","26.6","14.4","343.42","8.3","40","0","32","2","0","0"
"31","1996","19.4","25.9","14.1","335.25","8.0","71","0","24","2","0","2"
"32","1997","20.1","26.7","14.8","455.67","7.2","56","0","29","6","0","2"
"33","1998","20.3","26.9","14.4","227.28","7.5","52","0","20","6","0","0"
"34","1999","21.8","27.6","15.3","-","7.9","63","0","28","8","0","0"
"35","2000","21.4","27.6","14.6","144.51","7.7","42","0","20","7","0","0"
"36","2001","21.6","27.8","15.1","253.43","-","47","0","19","8","0","0"
"37","2002","-","-","-","-","-","63","0","27","8","2","1"
"38","2003","21.5","27.0","15.1","518.90","6.8","77","1","28","7","0","0"
"39","2004","20.9","26.7","14.5","187.44","8.6","66","1","22","11","0","0"
"40","2005","-","-","-","-","-","-","-","-","-","-","-"
"41","2006","20.8","27.6","15.2","307.60","-","63","0","31","6","1","0"
"42","2007","20.6","27.1","15.1","335.78","-","74","0","28","8","0","0"
"43","2008","20.8","27.5","15.0","195.57","-","52","0","24","4","0","1"
"44","2009","20.7","27.3","15.0","349.74","5.7","64","1","29","5","0","0"
"45","2010","21.0","27.5","15.5","251.18","5.9","63","0","24","0","0","1"
"46","2011","20.6","26.9","15.2","348.75","5.6","72","0","26","7","0","0"
"47","2012","21.4","28.0","15.6","221.51","5.8","50","2","17","2","0","0"
"48","2013","20.9","27.2","15.4","362.43","6.0","63","0","27","2","0","2"
"49","2014","21.5","27.9","15.6","288.24","5.3","59","0","29","7","0","0"
"50","2015","21.2","27.8","15.6","290.03","3.7","48","0","24","1","0","0"
"51","2016","21.4","28.2","16.0","324.62","3.7","58","0","29","4","0","0"
"52","2017","21.0","27.8","15.2","164.85","4.0","45","0","16","2","0","0"
"53","2018","21.1","27.7","15.8","404.91","6.8","74","0","35","9","0","1"
"54","2019","-","-","-","-","-","-","-","-","-","-","-"
