"","NULL.Year","NULL.T","NULL.TM","NULL.Tm","NULL.PP","NULL.V","NULL.RA","NULL.SN","NULL.TS","NULL.FG","NULL.TN","NULL.GR"
"1","1955","-","-","-","-","-","-","-","-","-","-","-"
"2","1956","-","-","-","-","-","-","-","-","-","-","-"
"3","1957","-","-","-","-","-","-","-","-","-","-","-"
"4","1958","-","-","-","-","-","-","-","-","-","-","-"
"5","1959","-","-","-","-","-","-","-","-","-","-","-"
"6","1960","-","-","-","-","-","-","-","-","-","-","-"
"7","1961","-","-","-","-","-","-","-","-","-","-","-"
"8","1962","-","-","-","-","-","-","-","-","-","-","-"
"9","1963","-","-","-","-","-","-","-","-","-","-","-"
"10","1969","10.2","13.7","6.9","571.50","22.1","77","23","16","23","0","2"
"11","1970","11.6","14.7","8.1","642.14","18.4","92","16","15","16","0","2"
"12","1971","-","-","-","-","-","-","-","-","-","-","-"
"13","1973","10.7","14.1","7.1","630.99","18.5","88","26","17","18","0","7"
"14","1974","11.2","14.7","7.8","462.52","15.6","100","25","12","19","0","5"
"15","1975","12.1","15.7","8.4","248.17","13.7","59","14","11","25","1","3"
"16","1976","9.6","13.0","6.3","439.94","14.0","90","27","12","14","0","0"
"17","1977","10.8","14.1","7.3","548.13","13.7","101","17","16","24","0","5"
"18","1978","11.0","14.3","7.5","508.02","13.6","112","12","16","24","0","2"
"19","1979","11.6","15.2","8.1","471.18","15.7","85","14","15","41","1","3"
"20","1980","10.6","13.9","7.3","653.32","14.0","97","26","8","27","0","5"
"21","1981","12.4","15.9","8.8","491.53","-","110","11","10","29","0","9"
"22","1982","11.0","14.3","7.5","365.50","14.7","51","18","10","25","1","2"
"23","1983","11.4","14.7","7.9","242.29","15.0","64","26","14","13","0","1"
"24","1984","11.1","14.2","7.9","328.18","16.1","61","17","10","24","0","0"
"25","1985","9.6","13.0","6.2","323.10","17.4","70","32","8","33","0","3"
"26","1986","10.9","14.4","7.3","253.95","18.4","69","23","13","13","0","1"
"27","1987","9.4","12.6","6.2","478.55","17.5","79","30","7","19","0","3"
"28","1988","11.0","14.1","7.8","334.00","16.6","74","22","9","19","0","1"
"29","1989","11.8","15.4","8.2","244.33","15.7","58","7","22","25","0","2"
"30","1990","11.6","15.1","7.9","355.14","17.5","73","7","12","25","0","0"
"31","1991","11.1","14.7","7.6","191.30","19.0","62","19","10","24","0","0"
"32","1992","10.8","14.6","7.1","323.11","20.0","72","23","8","11","1","4"
"33","1993","10.0","13.7","6.4","432.81","19.6","40","17","4","27","0","1"
"34","1994","11.7","15.9","7.6","867.94","17.8","58","10","9","27","0","0"
"35","1995","11.5","15.2","7.7","1360.22","17.1","65","16","3","8","1","1"
"36","1996","10.7","14.4","7.2","592.88","17.0","58","18","6","22","1","1"
"37","1997","10.4","13.8","6.9","786.15","17.9","84","20","12","25","1","0"
"38","1998","11.6","15.3","7.9","405.69","17.8","80","19","14","20","0","1"
"39","1999","12.5","16.4","8.7","338.82","17.5","73","10","7","18","1","2"
"40","2000","11.6","15.3","7.9","525.57","17.1","71","13","10","22","0","3"
"41","2001","11.9","16.0","8.0","498.58","17.7","73","21","16","13","0","1"
"42","2002","-","-","-","-","-","-","-","-","-","-","-"
"43","2003","10.8","14.3","7.4","356.38","16.1","60","13","12","27","0","0"
"44","2004","11.9","15.3","8.3","353.56","15.9","68","20","10","17","0","0"
"45","2005","-","-","-","-","-","-","-","-","-","-","-"
"46","2006","11.2","14.7","7.5","-","14.0","77","17","12","30","0","0"
"47","2007","12.9","16.6","9.1","278.34","15.4","62","11","21","19","0","0"
"48","2008","12.0","15.8","8.2","319.77","15.8","57","9","12","27","0","1"
"49","2009","12.7","16.6","8.7","308.10","14.3","68","9","21","24","0","0"
"50","2010","13.0","16.7","9.1","598.43","15.0","71","16","16","14","0","1"
"51","2011","11.3","14.9","7.4","294.10","14.2","47","12","11","19","0","0"
"52","2012","12.5","16.2","8.6","388.11","15.7","51","20","13","8","0","1"
"53","2013","12.6","16.1","9.1","344.67","15.5","51","9","12","23","0","1"
"54","2014","12.3","16.2","8.6","345.17","16.6","56","10","5","24","0","0"
"55","2015","12.7","16.2","8.8","302.49","15.6","62","8","8","15","0","0"
"56","2016","12.5","15.9","8.7","500.43","15.6","79","15","15","15","0","0"
"57","2017","12.4","16.0","8.6","437.15","15.1","70","7","11","22","0","2"
"58","2018","-","-","-","-","-","-","-","-","-","-","-"
"59","2019","-","-","-","-","-","-","-","-","-","-","-"
